"horizon","tot_value","tot_sd_units","marginal_effect","se","ci_lower","ci_upper"
6,-38.053223339439,-2,4.11136801331593,2.54470346413117,-0.0742967091761937,8.29703273580806
6,-36.150562172467,-1.9,3.81247775899977,2.48438193503671,-0.27396687757808,7.89892239557762
6,-34.2479010054951,-1.8,3.51358750468361,2.42576753634892,-0.476445025621052,7.50362003498827
6,-32.3452398385231,-1.7,3.21469725036745,2.36898698691315,-0.68193958725749,7.11133408799239
6,-30.4425786715512,-1.6,2.91580699605129,2.31417527651113,-0.890672600919471,6.72228659302204
6,-28.5399175045792,-1.5,2.61691674173513,2.26147556678352,-1.10287954655089,6.33671303002114
6,-26.6372563376073,-1.4,2.31802648741896,2.21103888034433,-1.31880883424613,5.95486180908406
6,-24.7345951706353,-1.3,2.0191362331028,2.16302352833291,-1.53872086265695,5.57699332886256
6,-22.8319340036634,-1.2,1.72024597878664,2.11759422466656,-1.76288656206764,5.20337851964092
6,-20.9292728366914,-1.1,1.42135572447048,2.07492083681584,-1.99158533960324,4.83429678854419
6,-19.0266116697195,-1,1.12246547015432,2.03517672948958,-2.22510235483385,4.47003329514249
6,-17.1239505027475,-0.9,0.823575215838156,1.99853667065461,-2.4637250754836,4.11087550715992
6,-15.2212893357756,-0.8,0.524684961521995,1.96517429001565,-2.70773909700204,3.75710902004603
6,-13.3186281688036,-0.7,0.225794707205834,1.93525910896133,-2.95742325726009,3.40901267167175
6,-11.4159670018317,-0.6,-0.0730955471103281,1.90895319743284,-3.21304413758834,3.06685304336769
6,-9.51330583485974,-0.5,-0.371985801426489,1.88640755502418,-3.47485011021666,2.73087850736369
6,-7.61064466788779,-0.4,-0.670876055742651,1.86775835691009,-3.74306516337514,2.40131305188984
6,-5.70798350091584,-0.3,-0.969766310058812,1.85312324427024,-4.0178827995848,2.07835017946718
6,-3.80532233394389,-0.2,-1.26865656437497,1.8425978670328,-4.29946034897692,1.76214722022697
6,-1.90266116697195,-0.0999999999999999,-1.56754681869114,1.8362528974041,-4.58791405698642,1.45282041960415
6,0,0,-1.8664370730073,1.83413172082815,-4.88331528631823,1.15044114030364
6,1.90266116697195,0.1,-2.16532732732346,1.83624897493862,-5.18568811373716,0.855033459090248
6,3.8053223339439,0.2,-2.46421758163962,1.84259004910755,-5.49500850689887,0.566573343619627
6,5.70798350091584,0.3,-2.76310783595578,1.85311158397685,-5.81120514600589,0.284989474094329
6,7.6106446678878,0.4,-3.06199809027194,1.86774293165847,-6.13416182562336,0.0101656450794714
6,9.51330583485974,0.5,-3.3608883445881,1.8863884640612,-6.46372125153858,-0.25805543763763
6,11.4159670018317,0.6,-3.65977859890427,1.90893055882557,-6.799689952187,-0.519867245621526
6,13.3186281688036,0.7,-3.95866885322043,1.93523305624543,-7.1418439647821,-0.775493741658752
6,15.2212893357756,0.8,-4.25755910753659,1.96514496870941,-7.4899349368037,-1.02518327826948
6,17.1239505027475,0.9,-4.55644936185275,1.99850423482033,-7.84369630097484,-1.26920242273066
6,19.0266116697195,1,-4.85533961616891,2.03514133849166,-8.20284922814579,-1.50783000419203
6,20.9292728366914,1.1,-5.15422987048507,2.07488265238602,-8.56710812676091,-1.74135161420924
6,22.8319340036634,1.2,-5.45312012480123,2.11755340834635,-8.93618552878318,-1.97005472081929
6,24.7345951706353,1.3,-5.7520103791174,2.16298023932675,-9.30979627079836,-2.19422448743643
6,26.6372563376073,1.4,-6.05090063343356,2.21099327378641,-9.68766093898644,-2.41414032788068
6,28.5399175045792,1.5,-6.34979088774972,2.2614277923983,-10.0695085941649,-2.63007318133451
6,30.4425786715512,1.6,-6.64868114206588,2.31412547763213,-10.4550788271699,-2.84228345696186
6,32.3452398385231,1.7,-6.94757139638204,2.36893529981568,-10.8441232162972,-3.05101957646685
6,34.2479010054951,1.8,-7.2464616506982,2.42571408984889,-11.2364062693334,-3.25651703206297
6,36.150562172467,1.9,-7.54535190501437,2.48432685030816,-11.6317059352767,-3.45899787475207
6,38.053223339439,2,-7.84424215933053,2.54464685469804,-12.0298137675913,-3.6586705510698
12,-38.053223339439,-2,2.39720844643348,3.69524188892795,-3.68092357703267,8.47534046989962
12,-36.150562172467,-1.9,1.9827834550965,3.59110649485869,-3.92406108774081,7.8896279979338
12,-34.2479010054951,-1.8,1.56835846375952,3.48967559733829,-4.17164709940641,7.30836402692545
12,-32.3452398385231,-1.7,1.15393347242254,3.39119188035918,-4.42408079167463,6.73194773651972
12,-30.4425786715512,-1.6,0.739508481085569,3.29591954417629,-4.68179673529305,6.16081369746419
