"Commodity","Corr_FCI_ENDO","Corr_Credit"
"Soybean",-0.159983936891019,-0.0362875130335763
"Soybean_oil",-0.214458316796077,-0.0357984721062632
"Soybean_flour",-0.0747313411908824,-0.0215186019131227
"Cotton",-0.0889684565783748,-0.04866488557203
"Corn",-0.267624762783503,0.0151328132690066
"Wheat",-0.301505357666272,0.0208193592476392
"Meat",-0.121777422701245,-0.0482138610855828
"Sugar",-0.186555424353206,-0.00996160680745218
"Oil_Brent",-0.190913145594579,-0.170085812425261
"Commodities_AGGREGATE",-0.06694453190386,0.257348460746465
