"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","fci_type","credit_type","fci_label","credit_label"
18,-4.86244038911444,4.14663840305488,0.241827760118686,-11.6830536060355,1.95817282780664,328,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
19,-3.29871744334523,3.92906008731282,0.401784745998085,-9.76144617847199,3.16401129178153,327,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
20,-2.34831615576551,4.20744760833745,0.577149907556046,-9.26895161454765,4.57231930301664,326,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
21,-1.83164452168278,4.00564459459712,0.647796169596157,-8.42034356138442,4.75705451801886,325,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
22,0.23819772182217,3.95822467785055,0.952052336845018,-6.27250249582913,6.74889793947347,324,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
23,1.38660366784054,3.70819731468685,0.708710885760066,-4.71283813467383,7.48604547035492,323,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
24,2.66430159368289,3.40476147606433,0.434503127309976,-2.93603266912617,8.26463585649194,322,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
1,-0.702138746961919,0.839864484262209,0.403744518334909,-2.08359289004834,0.679315396124503,345,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
2,-0.758798009813809,0.894042570880395,0.396642946749411,-2.22936717517545,0.711771155547827,344,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
3,-1.96615607261101,1.15767428711115,0.0903753855995089,-3.87036082259424,-0.0619513226277866,343,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
4,-3.9472148788644,1.55219263438872,0.0114455077404185,-6.50034456326603,-1.39408519446276,342,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
5,-4.30932557829293,1.63951613507895,0.00897949948089944,-7.00608963952301,-1.61256151706286,341,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
6,-4.94096070032707,1.99251881036565,0.0136473884609553,-8.21836249232603,-1.6635589083281,340,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
7,-5.81670360179112,2.1002686986379,0.00593372234579343,-9.27133818831832,-2.36206901526391,339,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
8,-6.71066807007326,2.12316745332951,0.00172119517388253,-10.2029677563076,-3.2183683838389,338,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
9,-7.00024603175626,2.3816245416095,0.00352463802992028,-10.9176697970593,-3.08282226645324,337,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
10,-7.44786881506594,2.63383127116355,0.00497809853171014,-11.7801357342175,-3.11560189591437,336,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
11,-8.84868883832223,3.02459415056262,0.00368084027191476,-13.8237034969314,-3.8736741797131,335,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
12,-9.0641538250687,3.30173353987811,0.00638454792738994,-14.4950222133645,-3.63328543677287,334,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
13,-9.23068075672779,3.4330664858266,0.00754513230607044,-14.8775726175052,-3.58378889595036,333,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
14,-9.27120343716588,3.31212800060927,0.00543342338938611,-14.7191691918956,-3.8232376824362,332,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
15,-8.86883698108033,3.05872244497777,0.0039957093503719,-13.8999876885399,-3.83768627362077,331,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
16,-7.78313128857948,2.74461561780391,0.00486336944283851,-12.2976222421119,-3.26864033504706,330,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
17,-6.89959995093825,2.53815285803818,0.00692064523515976,-11.0744898852396,-2.72471001663691,329,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
18,-6.35122394253035,2.52038656968472,0.0122284516761702,-10.496890932996,-2.20555695206466,328,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
19,-5.95534626431936,2.40847918204669,0.0139371669376051,-9.91694198234597,-1.99375054629274,327,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
20,-5.53551862302462,2.30661541163521,0.0169823214963904,-9.32956334883496,-1.74147389721429,326,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
21,-4.72036928237298,2.20186925014629,0.0328165866553183,-8.34212190454902,-1.09861666019694,325,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
22,-4.111484212969,2.00628702498666,0.0412660700060022,-7.41153270272399,-0.811435723214016,324,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
23,-3.25693090962998,1.8693908586837,0.0824515258511406,-6.3318052437258,-0.182056575534169,323,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
24,-3.00779516779056,1.81572760266939,0.0986243819354662,-5.99440130059721,-0.0211890349839168,322,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
1,0.237633325706772,1.00919562519221,0.813989782726295,-1.4223457586942,1.89761241010774,345,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
2,0.406640257919873,1.16466764855262,0.727199598476602,-1.50906754799495,2.3223480638347,344,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
3,-0.840231681657499,1.37401619326339,0.541277105903919,-3.10028720063684,1.41982383732184,343,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
4,-3.15268543483402,1.30658858290544,0.0163685820608195,-5.30183240435942,-1.00353846530861,342,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
5,-4.00247754513901,1.47556588552032,0.00702778485745209,-6.42956744374297,-1.57538764653504,341,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
6,-4.41055175507,1.77783128414571,0.0136059649668551,-7.33482399090487,-1.48627951923514,340,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
7,-4.81073590313019,1.79950173437753,0.00788498565834662,-7.77065285762653,-1.85081894863384,339,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
8,-5.94331823965064,1.95001263731502,0.00249283695353554,-9.15080359873945,-2.73583288056182,338,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
9,-6.15751714886956,2.15468465536632,0.00454108968886576,-9.70165801918554,-2.61337627855359,337,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
10,-7.4925833724874,2.35666627662148,0.00161833249018137,-11.3689544451025,-3.61621229987234,336,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
11,-8.34936088187737,2.60759193657077,0.00150046260724222,-12.6384679363552,-4.06025382739953,335,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
12,-7.94846064735573,2.78870955530668,0.0046495589709702,-12.5354796739161,-3.36144162079531,334,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
13,-8.33178961642027,3.02101964685957,0.00614889248537128,-13.3009247396489,-3.36265449319165,333,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
14,-8.2091894163787,3.08487485398928,0.00817998589617205,-13.2833570086544,-3.13502182410304,332,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
15,-7.03308010425341,2.94232146048783,0.017411870312204,-11.872768230194,-2.19339197831285,331,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
16,-5.41778646657002,2.86293124950302,0.0593441024119944,-10.1268893160278,-0.708683617112276,330,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
17,-4.44773583716058,2.81800621354117,0.115484653038028,-9.08294357827556,0.1874719039544,329,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
18,-3.1602571417638,2.93079196472835,0.281722128009966,-7.98098093478746,1.66046665125985,328,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
19,-2.40892986929354,2.94980450601658,0.414749105263351,-7.26092650981271,2.44306677122563,327,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
20,-2.07555069260033,3.12985073028035,0.507721481156401,-7.22369701811867,3.07259563291801,326,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
21,-1.02717301478894,3.22611234136315,0.750398176444398,-6.33365560043301,4.27930957085514,325,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
22,0.0245163041459899,3.32017988976158,0.994113154904045,-5.43669362965968,5.48572623795166,324,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
23,-0.248014670655437,3.14566266485473,0.937207743235038,-5.42216931410757,4.92613997279669,323,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
24,-0.358637145918204,3.08879511029513,0.907641033099772,-5.43925298599711,4.72197869416071,322,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
1,3.63209397581103,2.1769797215485,0.0961715582073726,0.0512809850221716,7.2129069665999,345,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
2,4.77131985635802,2.85947930293499,0.0961370911257333,0.0678949537327309,9.4747447589833,344,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
3,4.04895785397327,3.23423755149472,0.211485782347815,-1.27088951302548,9.36880522097201,343,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
4,1.19696238772161,3.15043772237881,0.704237133331047,-3.9850465264179,6.37897130186113,342,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
5,0.212649517786553,3.49571457625963,0.951530237178906,-5.53728928176122,5.96258831733433,341,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
6,-0.461851429086821,3.8115700814808,0.90362963215972,-6.73132630199023,5.80762344381659,340,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
7,-1.20982372310096,4.21248150810212,0.77414071445983,-8.13873921016874,5.71909176396682,339,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
8,-2.93649179748068,4.63346079086126,0.526681954062012,-10.5578565846662,4.68487298970489,338,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
9,-2.87280094097962,4.89047561880866,0.557323117744684,-10.9169175000948,5.17131561813555,337,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
10,-5.51860601846522,5.12114685554329,0.282006425625237,-13.9421429979567,2.90493096102629,336,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
11,-6.84082824029065,5.44326125491237,0.209748810421945,-15.7941962578777,2.11253977729638,335,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
12,-6.79588735224136,5.63089681811327,0.228356657034858,-16.0578884065045,2.46611370202176,334,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
13,-7.94584602081171,6.02294579319011,0.188018727579152,-17.8527102536726,1.96101821204916,333,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
14,-8.45318075918926,5.8439647971163,0.149018220889593,-18.0656474515027,1.1592859331242,332,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
15,-7.13944380027116,5.55445927169577,0.19959823793794,-16.2757162790742,1.99682867853186,331,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
16,-5.54261791359392,5.16278483335395,0.283826260516321,-14.0346432719062,2.94940744471837,330,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
17,-3.87075579237457,4.57430741982521,0.398080306997828,-11.3948219426651,3.65331035791595,329,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
18,-1.82320011543994,4.31580346506492,0.67298484849966,-8.9220650981617,5.27566486728181,328,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
19,-0.415158388007214,3.87444785502634,0.914735664096323,-6.78805799478164,5.95774121876721,327,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
20,0.984517238706479,3.98741417558996,0.805141662137243,-5.57419543017038,7.54322990758334,326,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
21,1.68693670947338,3.96657779976015,0.670918278253276,-4.83750317104729,8.21137658999406,325,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
22,3.69262580551923,4.05109584205772,0.362726704111195,-2.97083388341743,10.3560854944559,324,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
23,3.34204856648296,3.90941858781048,0.393278520906593,-3.08837277694861,9.77246990991453,323,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
24,3.68839288084354,4.02590485655226,0.360290242660845,-2.93363132421799,10.3104170859051,322,"FCI_ENDO","USD","Endogenous (Domestic)","USD (Dollarized)"
1,-0.915623507880159,0.867397413255161,0.291914583446206,-2.34236528908123,0.511118273320917,345,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
2,-1.31026931761785,1.03302490516207,0.205547868013657,-3.00944407960488,0.388905444369175,344,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
3,-2.93786510766442,1.28611656529309,0.0229851666635385,-5.05333860476912,-0.822391610559719,343,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
4,-4.88199266032154,1.5712657823617,0.00205326571285184,-7.46649488134393,-2.29749043929916,342,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
5,-5.84920086652686,1.79374911902544,0.00122661767770553,-8.79965561079685,-2.89874612225686,341,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
6,-6.54887770273964,2.16992149968768,0.00274289849450555,-10.1180809517009,-2.97967445377838,340,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
7,-6.84866390736812,2.20317613831353,0.00204471671540503,-10.4725661692861,-3.22476164545017,339,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
8,-7.55691238173632,2.27392585533069,0.000990474694820504,-11.2971875722957,-3.81663719117691,338,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
9,-8.28947429892355,2.64659232802964,0.0018927362578548,-12.642731288745,-3.93621730910206,337,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
10,-9.23826950132359,2.83394009026032,0.00123270741327905,-13.8996861373515,-4.57685286529572,336,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
11,-10.0817763580949,3.09966572119037,0.00126429111883618,-15.180272761932,-4.98327995425778,335,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
12,-10.3192362765822,3.27226505312164,0.00176447970624865,-15.7016333175559,-4.9368392356085,334,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
13,-10.6457073171619,3.52670724937155,0.00274227107957669,-16.4466245274867,-4.84479010683703,333,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
14,-10.2982386479843,3.539602938242,0.003873591165477,-16.1203673789198,-4.47610991704888,332,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
15,-9.29712235383285,3.35488904248424,0.00591141283941363,-14.8154237633828,-3.7788209442829,331,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
16,-8.13051489794779,2.99214616050412,0.00694138639088006,-13.0521573624219,-3.20887243347366,330,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
17,-7.19343680245566,2.82995503687654,0.0114997240511775,-11.8482986089716,-2.5385749959397,329,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
18,-6.09647095230678,2.8284391902151,0.0318815433973037,-10.7488394129438,-1.44410249166979,328,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
19,-5.84664606648817,2.89677282694713,0.044401368013983,-10.6114133573466,-1.08187877562972,327,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
20,-5.78395869431043,2.95552482857015,0.051230614268781,-10.6453644281292,-0.922552960491689,326,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
21,-4.59520536811844,3.08889678660641,0.137846041945471,-9.67598845084675,0.485577714609859,325,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
22,-4.03788879866967,3.10741361737537,0.194750208698193,-9.14912935764795,1.0733517603086,324,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
23,-3.90933741969656,2.99495920167445,0.192750530586115,-8.83560692514246,1.01693208574935,323,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
24,-3.73113804832984,2.7871336102426,0.181645833146843,-8.31556487593573,0.853288779276045,322,"FCI_ENDO","Real_MN","Endogenous (Domestic)","Real MN Credit"
1,0.78744565148926,0.761649791543319,0.301945682471221,-0.4653567705976,2.04024807357612,345,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
2,0.151076335561363,1.12355275224632,0.893117655906366,-1.6970034840423,1.99915615516502,344,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
3,0.208538161058384,1.41118759004491,0.882610092238246,-2.11265886473589,2.52973518685266,343,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
4,-0.0723224110872985,1.73197993033958,0.966717533017402,-2.92117588131351,2.77653105913891,342,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
5,-0.123880420053521,1.86337416832717,0.947034526559744,-3.18885817919414,2.9410973390871,341,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
6,0.287160858369683,1.92492929666859,0.881503041078064,-2.87906607688079,3.45338779362016,340,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
7,-0.74840037324704,1.85946021075772,0.687591068826724,-3.80694024508382,2.31013949858974,339,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
8,-1.68699162362472,1.76703816170272,0.340434561976257,-4.5935107528631,1.21952750561366,338,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
9,-2.02003033877922,1.8226974041445,0.268564687780875,-5.01810077482134,0.978040097262905,337,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
10,-1.49443033670664,1.90429887164839,0.433162020607269,-4.62672324253708,1.63786256912381,336,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
11,-1.87029350886833,2.08088217771253,0.369427531300759,-5.29304010613746,1.5524530884008,335,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
12,-2.68056223298434,2.08634520461295,0.199778448406336,-6.11229470986476,0.75117024389608,334,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
13,-2.77182229323064,1.97637358801721,0.161735642304956,-6.02266755769184,0.479022971230563,333,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
14,-2.39563367233016,1.82544079981187,0.190336633628426,-5.39821659268592,0.606949248025589,332,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
15,-2.81136822078024,1.64272560984441,0.0879754224426876,-5.51341139821888,-0.109325043341594,331,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
16,-3.02530550445886,1.65274330060857,0.068111767394009,-5.74382631688462,-0.30678469203311,330,"FCI_EXO","Total","Exogenous (External)","Real Total Credit"
