"","FCI_COMP_ZSCORE_norm","FCI_COMP_PCA_norm","FCI_COMP_VAR_norm","FCI_COMP_DFM_norm"
"FCI_COMP_ZSCORE_norm",1,0.840338413256595,0.972615992287956,0.813844129923167
"FCI_COMP_PCA_norm",0.840338413256595,1,0.834985738375719,0.835348138435297
"FCI_COMP_VAR_norm",0.972615992287956,0.834985738375719,1,0.816157110214859
"FCI_COMP_DFM_norm",0.813844129923167,0.835348138435297,0.816157110214859,1
