"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","fci_type","credit_type","fci_label","credit_label"
11,-9.55785594015975,2.79878014831131,0.000719183287929173,-14.1614396181494,-4.95427226217011,4.25643886763648,4.05356125944779,0.294480482116171,-2.4110760720362,10.9239538073092,0.00750668793212372,335,"FCI_COMP","Total","Comprehensive","Real Total Credit"
12,-9.4995744250986,2.87061382040317,0.00104146529461426,-14.2213139791658,-4.77783487103143,4.95306799414457,4.38801834785309,0.259834693630903,-2.26457990045118,12.1707158887403,0.0102837120381526,334,"FCI_COMP","Total","Comprehensive","Real Total Credit"
13,-9.36903913632702,2.91796164216559,0.00145756545808407,-14.1686589267484,-4.56941934590567,5.90243308554575,4.69682843479287,0.209781478798822,-1.8231622005921,13.6280283716836,0.0110711823154337,333,"FCI_COMP","Total","Comprehensive","Real Total Credit"
14,-8.94300534629107,2.90451061339256,0.00225677396760197,-13.7205001632489,-4.16551052933328,6.52530262923131,4.81914543168399,0.176679926058246,-1.40148621288072,14.4520914713433,0.0113919036681706,332,"FCI_COMP","Total","Comprehensive","Real Total Credit"
15,-7.95269295048477,2.83262326666416,0.00529952428896059,-12.6119436044444,-3.2934422965251,6.58106152384576,4.76301659397841,0.168030614049151,-1.25340359598966,14.4155266436812,0.0130677202699482,331,"FCI_COMP","Total","Comprehensive","Real Total Credit"
16,-6.26509876725609,2.84927611580445,0.0286092134145612,-10.9517409205232,-1.57845661398893,5.85546587352522,4.70841716658039,0.214556692568598,-1.88919118012511,13.6001229271755,0.0352752650881534,330,"FCI_COMP","Total","Comprehensive","Real Total Credit"
17,-4.816707653231,2.93371939276034,0.101614118970189,-9.64224663687071,0.00883133040870554,5.53377257507191,4.59507099267258,0.229378055863378,-2.02444661332509,13.0919917634689,0.0681116964853153,329,"FCI_COMP","Total","Comprehensive","Real Total Credit"
18,-3.45522741167004,2.92755782268371,0.238791553184509,-8.2706315144215,1.36017669108141,5.49561079254158,4.57626263034883,0.230691320393529,-2.03167139287016,13.0228929779533,0.110889045827916,328,"FCI_COMP","Total","Comprehensive","Real Total Credit"
19,-2.23019091073354,2.72138827112611,0.413118044125554,-6.70647627883852,2.24609445737143,5.4523309161669,4.51234072959623,0.227832268548468,-1.96980909895031,12.8744709312841,0.151190213179246,327,"FCI_COMP","Total","Comprehensive","Real Total Credit"
20,-1.21609564834607,2.70356731395341,0.653156729116337,-5.66306815040979,3.23087685371765,5.5938398882527,4.72116604878637,0.236975574467359,-2.1717872105337,13.3594669870391,0.228373141480086,326,"FCI_COMP","Total","Comprehensive","Real Total Credit"
21,0.114546502964849,2.48419098655303,0.963251833994877,-3.97158405130705,4.20067705723675,5.3015192522352,4.86682964873158,0.276852179357534,-2.7037031472359,13.3067416517063,0.356330451035793,325,"FCI_COMP","Total","Comprehensive","Real Total Credit"
22,1.63676067987436,2.41315522622485,0.498105904824198,-2.33252644637848,5.6060478061272,4.83009531608473,5.12107023222393,0.346318175632081,-3.59331562926202,13.2535062614315,0.588653363481899,324,"FCI_COMP","Total","Comprehensive","Real Total Credit"
23,2.8776031565229,2.38055118578045,0.227659064821547,-1.0380550955517,6.79326140859751,4.77976950129043,5.30204887848591,0.368022901103375,-3.9413248267611,13.500863829342,0.753534277120182,323,"FCI_COMP","Total","Comprehensive","Real Total Credit"
24,3.48664240877804,2.07359265470945,0.0936826406029822,0.0758860098592828,6.89739880769681,5.38025086239822,5.3673891937284,0.316934033515399,-3.44831872016607,14.2088204449625,0.746524038962861,322,"FCI_COMP","Total","Comprehensive","Real Total Credit"
1,2.9118678693471,2.28855873459211,0.204133385449917,-0.852476265738202,6.67621200443241,-5.77498575781225,2.28730922735965,0.0120405929913045,-9.53727463639433,-2.01269687923017,0.0406191764856687,345,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
2,2.7310664070399,2.88105816187821,0.34385014780188,-2.00785255998361,7.46998537406342,-7.61443421411742,3.01303599248017,0.0119626333188459,-12.5704373944837,-2.65843103375109,0.0520645757492318,344,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
3,1.45721588550042,3.2768443268967,0.656826498776704,-3.93271339055098,6.84714516155181,-8.29683611187697,3.35776339438462,0.013978909421972,-13.8198654095754,-2.77380681417853,0.0881245106688248,343,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
4,-1.55343095552888,3.24668197196265,0.632634522684298,-6.8937475726696,3.78688566161184,-6.26063078817345,3.49984901789493,0.0745594944752824,-12.0173701390405,-0.50389143730643,0.368932678913935,342,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
5,-2.26284817705515,3.38760138312646,0.504615016544581,-7.83495659875652,3.30926024464623,-6.09906779642535,4.01547324128061,0.129750192774093,-12.7039335212723,0.505797928421643,0.478401474527972,341,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
6,-2.83446077908898,3.74921833976001,0.450183535278606,-9.0013761634762,3.33245460529825,-6.85080744763092,4.63231570048271,0.140122375102466,-14.4702887287541,0.768673833492309,0.519193728896013,340,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
7,-4.75597558508686,3.73407741233115,0.203685610108256,-10.8979863600773,1.3860351899036,-6.05751117009684,5.418981158721,0.264459272564886,-14.9709419834008,2.85591964320709,0.851486383586427,339,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
8,-7.56921399606331,3.73346470870534,0.0434350961577749,-13.7102169632726,-1.42821102885401,-4.29213890349281,5.90175214656332,0.46758546359124,-13.9996573271361,5.4153795201505,0.66412887031927,338,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
9,-7.35973131896261,3.51185460571751,0.0368836726795884,-13.1362181045033,-1.58324453342193,-5.06169864519896,5.810858825494,0.384355730029467,-14.6197108600157,4.49631356961782,0.748952817733247,337,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
10,-8.5229193816705,3.53210713046379,0.0163772626684858,-14.332718605995,-2.71312015734598,-3.12914023059763,5.96151709883052,0.600018679052429,-12.9349632527422,6.67668279154696,0.467737261964836,336,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
11,-9.79870995692298,3.82978559248339,0.0109665223938941,-16.0981466791658,-3.49927323468019,-1.06021304441657,6.09397709234368,0.861992371302975,-11.0839133673173,8.9634872784841,0.269074462568417,335,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
12,-10.8903651859547,3.87870719877376,0.00529350428036424,-17.2702707897405,-4.51045958216893,1.56832766321309,6.39700448847855,0.806484114882873,-8.95380837128569,12.0904636977119,0.142689669012769,334,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
13,-11.3077352160521,4.31503047929651,0.00919642218418513,-18.4053287503291,-4.21014168177507,3.55886846718272,6.7322542572299,0.597427766829946,-7.51470436538138,14.6324412997468,0.11545286100208,333,"FCI_COMP","USD","Comprehensive","USD (Dollarized)"
