"horizon","variable","coef","se","p_value","ci_lower","ci_upper","n_obs"
1,"FCI_exCredit_AVG",0.227365753473005,1.03251136361195,0.825855248930491,-1.47096430783272,1.92569581477873,323
1,"d_ToT",0.0234389425317548,0.0110664659104184,0.0349693611461496,0.00523622594146832,0.0416416591220414,323
1,"FCI_x_ToT",-0.031523862695159,0.012798484789865,0.0143175617260975,-0.0525754968212517,-0.0104722285690662,323
2,"FCI_exCredit_AVG",0.332446116695957,1.13789408157067,0.770361038095297,-1.53922309046218,2.20411532385409,322
2,"d_ToT",0.0204446854456994,0.0154178900859757,0.18580695347782,-0.00491548698215682,0.0458048578735556,322
2,"FCI_x_ToT",-0.056905599926311,0.0192127595976811,0.00329499430740762,-0.0885077772343035,-0.0253034226183185,322
3,"FCI_exCredit_AVG",-0.0767890261432662,1.37646463812421,0.95554755033398,-2.34087187853232,2.18729382624579,321
3,"d_ToT",0.0176061468476891,0.0180081112190006,0.329000536666081,-0.0120145602054295,0.0472268539008078,321
3,"FCI_x_ToT",-0.08060071993262,0.0256111752471319,0.00181037283635491,-0.122727354428355,-0.0384740854368855,321
4,"FCI_exCredit_AVG",-1.66863208898907,1.34409949386446,0.21538730327759,-3.87947901645566,0.542214838477515,320
4,"d_ToT",0.0154234223858917,0.0225998995908399,0.495465673520247,-0.0217501044248404,0.0525969491966239,320
4,"FCI_x_ToT",-0.105340255616191,0.0318966672815667,0.00107126552372596,-0.157805604481941,-0.0528749067504422,320
5,"FCI_exCredit_AVG",-2.0730677905834,1.5557593206505,0.183683450971416,-4.63206415181894,0.485928570652135,319
5,"d_ToT",0.00464323932262979,0.0246631031445343,0.850792432607782,-0.0359239553365356,0.0452104339817952,319
5,"FCI_x_ToT",-0.126505367208281,0.0385566981678902,0.0011538323243524,-0.189925492033008,-0.0630852423835531,319
6,"FCI_exCredit_AVG",-1.8664370730073,1.83413172082815,0.3096682267741,-4.88331528631823,1.15044114030364,318
6,"d_ToT",-0.00318081943218924,0.027547381000917,0.908150786156063,-0.0484922289845616,0.0421305901201831,318
6,"FCI_x_ToT",-0.157090636790491,0.046353417893718,0.00079375197271414,-0.23333522433457,-0.0808460492464113,318
7,"FCI_exCredit_AVG",-3.37533074072637,1.95090393103915,0.0846207188993349,-6.58428214753001,-0.166379333922743,317
7,"d_ToT",-0.0138464636862551,0.0294518094182657,0.638592331796249,-0.062290379228173,0.0345974518556628,317
