sample,horizon,gamma,coef,se,p_value,ci_lower,ci_upper,first_stage_F,eff_F,partial_R2,ar_lo,ar_hi,n_obs
full,6,0,-66.429966609301,37.5443786446927,0.0778343641140678,-128.184973994663,-4.67495922393879,11.5889700944388,9.90381322640581,0.0367217209491536,-136,-33,318
full,12,0,-187.698782623698,70.8536091708742,0.00850083347128956,-304.242598651013,-71.1549665963839,11.9692347417765,10.6853435625599,0.0386142668376352,-366,-120,312
full,18,0,-168.502093004565,65.7384093477169,0.0108716114220424,-276.632154050177,-60.3720319589522,11.6498539036207,10.7812138438549,0.0383660777499285,-333,-106,306
full,24,0,-101.019191108782,59.7053155739019,0.0917421675028273,-199.225695978796,-2.81268623876689,11.5629100963765,10.9483858222098,0.0388587075339177,-203,-59,300
postIT,6,0,-130.884836149456,81.4424689599264,0.110084489648573,-264.845776606074,3.07610430716116,4.98861240677957,3.23602485291188,0.0313771680327393,-497,-67,168
postIT,12,0,-313.02284817986,190.346752141681,0.102197989551159,-626.115393818537,0.0696974588165631,4.64565968185276,3.54535507114078,0.0304342730185407,-600,-170,162
postIT,18,0,-331.480514543237,242.2822913016,0.173423556418124,-729.999420136786,67.0383910503119,4.58492447694191,3.45992744062874,0.0312782811281738,-600,-181,156
postIT,24,0,-234.149202833166,175.180473989285,0.183579448791124,-522.295440845519,53.9970351791876,4.66317248762878,3.33222291790596,0.0331513387986391,-600,-122,150
