sample,y,x,case,term,estimate,se,t,p
full,FCI_EXP_ENDO_exC_exTCN,DXY,3,(Intercept),-3.32988,0.72127,-4.62,0
full,FCI_EXP_ENDO_exC_exTCN,DXY,3,DXY,0.03264,0.00768,4.25,0
full,FCI_EXP_RATES,DXY,3,(Intercept),-1.75042,0.65719,-2.66,0.0081
full,FCI_EXP_RATES,DXY,3,DXY,0.01442,0.00701,2.06,0.0405
postIT,FCI_EXP_ENDO_exC_exTCN,DXY,3,(Intercept),-1.16262,0.25446,-4.57,0
postIT,FCI_EXP_ENDO_exC_exTCN,DXY,3,DXY,0.00951,0.00269,3.53,5e-04
postIT,FCI_EXP_RATES,DXY,3,(Intercept),-0.07316,0.28439,-0.26,0.7973
postIT,FCI_EXP_RATES,DXY,3,DXY,-0.00308,0.00301,-1.02,0.3071
