instrument,controls,n,coef,t_nw,F_conv,F_eff,partial_R2_pct
DXY level (baseline),TRUE,324,0.00376705379663139,2.49058917112824,6.52077739061006,6.20303441934124,2.04720629028652
Broad dollar level,TRUE,324,-0.000166691095112294,-0.102567733929834,0.0134581281888599,0.0105201400435012,0.0043133165696041
DXY innovation (raw),TRUE,324,0.0154540734853474,3.60111758420799,13.6002359988299,12.968047855292,4.17697363059619
DXY innovation (purged v1),TRUE,324,0.0157274288455083,3.29033985310063,10.7762089219956,10.8263363489023,3.33860074693425
"DXY innovation (purged v2: +Selic,BRL,WuXia)",TRUE,324,0.0161117956824471,3.35118306731347,11.2995507239373,11.2304279506485,3.49507158257265
Broad dollar innovation,TRUE,324,0.02168215248223,2.79666620102386,6.84178619363052,7.82134183994925,2.14582482280902
EUR/USD innovation (mirror of the dollar - NOT a placebo),TRUE,320,-0.0109114817315207,-2.90439985592734,5.54932408803406,8.43553852311075,1.76984087086591
EUR/GBP cross innovation (dollar-free PLACEBO),TRUE,320,0.00135671726718508,0.232874050798038,0.05319869662474,0.0542303235350873,0.0172693212892927
TED spread innovation (funding stress),TRUE,277,-0.0490880798155548,-0.746315692129604,0.829910612909691,0.556987112318889,0.312196099752804
