"index","horizon","beta_FinDep","beta_Insulated","diff_F_minus_I","se","t","p_value","ci_lo","ci_hi","se_clusterdate","p_clusterdate","sd_x","diff_per_sd","se_per_sd","ci_lo_per_sd","ci_hi_per_sd","n_stacked","n_quarters","df"
"FCI_COMP_AVG",1,-2.03932453187923,-1.37602825085953,-0.663296281019698,1.25551679415586,-0.528305383175431,0.598351636984755,-3.15143587481191,1.82484331277251,1.17804734044798,0.574548589275947,0.939615176040857,-0.62324325185757,1.17970263356301,-2.96113697429286,1.71465047057772,224,112,110
"FCI_COMP_AVG",2,-1.90585231448448,-1.15918680808352,-0.746665506400961,1.20546842905047,-0.619398640733458,0.536946316350396,-3.13586474268271,1.64253372988079,0.966422507387005,0.441426645647524,0.940327634087436,-0.702110209088713,1.13353527585613,-2.94874027430504,1.54451985612761,222,111,109
"FCI_COMP_AVG",3,-2.0747205999567,0.0968341752154105,-2.17155477517211,0.999892720161561,-2.17178776421258,0.0320592864665519,-4.15351561122879,-0.189593939115431,1.11730362525689,0.0545498182475731,0.939335957414705,-2.03981948381477,0.939235185604954,-3.90154656331052,-0.178092404319019,220,110,108
"FCI_COMP_AVG",4,-1.49658960610808,1.01506417365187,-2.51165377975995,0.931674695289424,-2.69584844630744,0.00815633894417239,-4.35859020211521,-0.664717357404694,1.46822275774694,0.0900387293603582,0.934813580665627,-2.34792806324976,0.870942157919063,-4.07446931349344,-0.621386813006075,218,109,107
"FCI_COMP_AVG",5,1.29383832442577,3.63216909540357,-2.3383307709778,1.13055124283763,-2.06831029180836,0.0410446947505243,-4.57975856931326,-0.0969029726423329,1.58974828732077,0.144285648311416,0.935204558197146,-2.18681759559108,1.0572966755772,-4.2830110894642,-0.0906241017179631,216,108,106
"FCI_COMP_AVG",6,-0.0402284998495066,2.14264781377608,-2.18287631362559,1.27417478959392,-1.71316865743457,0.0896327165154948,-4.70932954791701,0.343576920665831,1.66661557824925,0.193133507524309,0.93762707117596,-2.04672392468414,1.1947007761332,-4.41559487121584,0.322147021847558,214,107,105
"FCI_COMP_AVG",7,0.815863936343082,1.90605610380822,-1.09019216746514,1.05236721939965,-1.03594272737521,0.302631626577091,-3.17707585517597,0.99669152024569,1.29362865070147,0.401308029799268,0.942076669036524,-1.02704460573527,0.991410604655246,-2.99304903892054,0.938959827450009,212,106,104
"FCI_COMP_AVG",8,1.06518983176921,2.01797625919453,-0.952786427425323,1.51223315661333,-0.630052596888634,0.530055442654761,-3.95194422547412,2.04637137062347,1.4426155207145,0.510434589743129,0.946593466489582,-0.901901407160761,1.43147002585909,-3.74088458376503,1.93708176944351,210,105,103
"FCI_COMP_ZSCORE",1,-4.1946066599796,-4.31731228195784,0.122705621978248,2.30993438684695,0.0531208257156344,0.957731990838194,-4.45504214987877,4.70045339383526,2.11895548844596,0.953926543678011,0.469899740049159,0.057659339870149,1.08543756791,-2.09342314813608,2.20874182787638,224,112,110
"FCI_COMP_ZSCORE",2,-3.48276566267226,-3.89347346654384,0.41070780387158,2.15646736668129,0.190453985169106,0.849307659400002,-3.86334040956838,4.68475601731154,1.64841649000802,0.803711372553666,0.470377990752388,0.19318791157144,1.01435478706264,-1.81723029944528,2.20360612258816,222,111,109
"FCI_COMP_ZSCORE",3,-4.00112728166622,-0.623677457439252,-3.37744982422696,1.59736506241443,-2.11438819071322,0.0367832596569562,-6.54370449410705,-0.211195154346884,1.97459866347954,0.0900540908289696,0.470863666217116,-1.59031840669986,0.752141169575593,-3.08119268873666,-0.0994441246630635,220,110,108
"FCI_COMP_ZSCORE",4,-2.70093388040985,0.133193259548029,-2.83412713995787,1.6465063823957,-1.7212973908028,0.0880869444710208,-6.09813401130725,0.429879731391505,2.46570643427827,0.252946438536372,0.46897414143116,-1.32913234216849,0.77216891704495,-2.85986716228497,0.201602477947988,218,109,107
"FCI_COMP_ZSCORE",5,2.7607654136001,5.18287934404935,-2.42211393044925,2.06095228509384,-1.17524017803205,0.242531756716172,-6.50815228750564,1.66392442660714,2.69156471182111,0.370218291783929,0.469457920368612,-1.13708056868455,0.967530373739092,-3.05530363833462,0.781142500965525,216,108,106
"FCI_COMP_ZSCORE",6,0.347053253511206,3.27046192087785,-2.92340866736664,2.40819288738033,-1.2139429041113,0.227492936857545,-7.69841030670896,1.85159297197567,2.88123803247485,0.312611566476512,0.470318345996115,-1.37493272910658,1.13261729563232,-3.6207036022508,0.870838144037629,214,107,105
"FCI_COMP_ZSCORE",7,1.18949259511316,0.857493903259245,0.331998691853914,1.71504874205855,0.193579741328763,0.846882537620353,-3.0690073233969,3.73300470710473,2.13929740043438,0.876971917657914,0.472384456278502,0.156831021536585,0.810162367508457,-1.44975135577758,1.76341339885075,212,106,104
"FCI_COMP_ZSCORE",8,1.48976612731153,2.41767942249994,-0.927913295188401,2.73268583135644,-0.339560912762448,0.734878621977027,-6.34755112344807,4.49172453307127,2.50402006065974,0.711719247435158,0.474467849783117,-0.440265025953207,1.29657157053648,-3.01170893293081,2.1311788810244,210,105,103
"FCI_exCredit_ZSCORE",1,-3.97199708258808,-4.74668420730661,0.774687124718532,2.12355930327636,0.364805976232119,0.715956662854256,-3.43370897706377,4.98308322650084,1.99998434732288,0.699248073940891,0.448793665604195,0.347674674398805,0.95303996384529,-1.54102683843448,2.23637618723209,224,112,110
