sample,horizon,n,b_rf,se_rf,t_rf_nw,p_rf_nw
full,6,318,-0.2121,0.1164,-1.82,0.0695
full,12,312,-0.6258,0.1543,-4.06,1e-04
full,18,306,-0.5618,0.1748,-3.21,0.0015
full,24,300,-0.3397,0.1912,-1.78,0.0767
postIT,6,168,-0.28,0.1434,-1.95,0.0527
postIT,12,162,-0.6812,0.1525,-4.47,0
postIT,18,156,-0.7276,0.1781,-4.08,1e-04
postIT,24,150,-0.5276,0.1542,-3.42,8e-04
