state,horizon,n,b_fci,se_fci,p_fci,b_state,se_state,p_state,b_inter,se_inter,p_inter,state_label
ToT_MA12,6,306,-1.74323184625418,1.61398603892999,0.280995412586933,-0.167936856949504,0.0537743090638745,0.00196926226096358,-0.152580458872243,0.0653338220777882,0.0201975197027835,"predetermined (MA12 d_ToT, lagged)"
ToT_MA12,12,300,-5.4664702475304,2.38456193079968,0.0226037332623578,-0.327080363141385,0.106236208389324,0.00227947996386903,-0.20862234389988,0.121247737704906,0.0863960171878732,"predetermined (MA12 d_ToT, lagged)"
ToT_MA12,18,294,-5.39740286784805,2.15144854299096,0.0126798869123605,-0.358988976617176,0.0972262614731079,0.000266946878571432,-0.113708001110736,0.111906112071516,0.31045498556753,"predetermined (MA12 d_ToT, lagged)"
d_ToT,6,318,-1.8664370730073,1.83413172082816,0.3096682267741,-0.00318081943218924,0.027547381000917,0.908150786156063,-0.157090636790491,0.0463534178937181,0.00079375197271414,contemporaneous d_ToT
d_ToT,12,312,-5.89129138030607,2.48701550856445,0.0184803835612131,-0.092795140846456,0.0480993762488028,0.0546474811624744,-0.217813344031469,0.074843610942985,0.00388269848308891,contemporaneous d_ToT
d_ToT,18,306,-6.73980278906469,2.24870433175731,0.00295804881584664,-0.172267769318846,0.060000458242542,0.00438858977276676,-0.155020333866435,0.078763277869562,0.049989954328713,contemporaneous d_ToT
