horizon,beta_gamma0,ci_lo_gamma0,ci_hi_gamma0,gamma_breakdown,gamma_full_rf,first_stage_F,eff_F,channel,gamma_calibrated,ratio_cal_to_breakdown
6,-64.6740520228603,-109.972831075437,-19.3752729702834,-0.135240863360688,-0.33810215840172,11.9704988052027,14.2460700544804,DXY->ToT->credit,0.00401012142419633,0.0296516993795087
12,-149.585672762961,-222.765053909708,-76.4062916162131,-0.534838532310438,-0.792353381200648,12.0527353998938,13.3966441741876,DXY->ToT->credit,0.0017511395013236,0.00327414611239561
18,-153.736573590448,-231.246799458018,-76.2263477228786,-0.553852541310796,-0.79121791615828,11.3218729478966,11.3128152079795,DXY->ToT->credit,-0.00863600543886053,0.0155926077696092
