horizon,beta_gamma0,ci_lo_gamma0,ci_hi_gamma0,gamma_breakdown,gamma_calibrated_trade,ratio_cal_to_breakdown
6,-66.429966609301,-128.184973994663,-4.67495922393879,-0.02,0.00401012142419633,0.200506071209817
12,-187.698782623698,-304.242598651013,-71.1549665963839,-0.35,0.0017511395013236,0.00500325571806743
18,-168.502093004565,-276.632154050177,-60.3720319589522,-0.27,-0.00863600543886053,0.0319852053291131
