variant,param,h,b,se_bank,p_bank,p_wcb,n
gradient_baseline,shk_usd_fxsh,1,-0.0870069883679274,0.114594792381679,0.457015501915991,,30626
gradient_baseline,shk_usd_fxsh,2,-0.1531902849233,0.160539674366423,0.351955497412663,,30278
gradient_baseline,shk_usd_fxsh,3,-0.105716910597663,0.219172354199423,0.63507026605841,,29932
gradient_baseline,shk_usd_fxsh,4,0.24535233523124,0.287110021193947,0.403442416066644,,29596
gradient_baseline,shk_usd_fxsh,5,0.148101539997845,0.27701748044461,0.599107807687804,,29180
gradient_baseline,shk_usd_fxsh,6,0.0772500003443312,0.32596062028248,0.815199606068242,0.81981981981982,28772
gradient_baseline,shk_usd_fxsh,7,-0.0126905790070382,0.242336086605191,0.95878239632061,,28384
gradient_baseline,shk_usd_fxsh,8,0.00298692284725838,0.302287333601189,0.992219188287356,,27992
gradient_baseline,shk_usd_fxsh,9,0.426139353095427,0.396759258855184,0.296988070199939,,27586
gradient_baseline,shk_usd_fxsh,10,0.830176598087247,0.481925689534062,0.102093465999107,,27216
gradient_baseline,shk_usd_fxsh,11,0.909637406685031,0.466249542382279,0.0668041574716838,,26852
gradient_baseline,shk_usd_fxsh,12,1.07846956153042,0.470102072807825,0.0347930234536503,0.039039039039039,26482
gradient_baseline,shk_usd_fxsh,13,1.06833458289851,0.509231676767076,0.0511639807113642,,26128
gradient_baseline,shk_usd_fxsh,14,1.02721197942024,0.518838421275321,0.0641476197455485,,25782
gradient_baseline,shk_usd_fxsh,15,1.01474671685535,0.599115790141173,0.10855588177495,,25438
gradient_baseline,shk_usd_fxsh,16,0.959755913791031,0.712620295538594,0.195726662685354,,25102
gradient_baseline,shk_usd_fxsh,17,1.01224828836243,0.638018424419345,0.131038929852262,,24770
gradient_baseline,shk_usd_fxsh,18,1.18602609090596,0.606519709232766,0.0671706541784611,0.0800800800800801,24434
gradient_exCOVID,shk_usd_fxsh,1,-0.155604893485823,0.10279237676065,0.146539794248601,,25798
gradient_exCOVID,shk_usd_fxsh,2,-0.163787589435587,0.139359518364634,0.254398021136467,,25454
gradient_exCOVID,shk_usd_fxsh,3,-0.0837508315625919,0.220897977226241,0.708789241320583,,25118
gradient_exCOVID,shk_usd_fxsh,4,0.307816918246448,0.292996490747355,0.306630103847844,,24792
gradient_exCOVID,shk_usd_fxsh,5,0.213212785416343,0.337652497822631,0.535266161698816,,24380
gradient_exCOVID,shk_usd_fxsh,6,0.132629840611863,0.398186011351442,0.742717426060974,0.720720720720721,23976
