"horizon","n","sd_dxy","b_ols","b_2sls","b_2sls_manual","b_rf","b_fs","F_fs_classical","rf_per_sd_dxy","ols_implied_per_sd_dxy","ar_p_at_ols"
6,318,11.3378747985731,-4.04499831453546,-64.6740520228603,-64.6740520228601,-0.33810215840172,0.00522778684536748,11.9704988052027,-3.83335994108602,-0.239755110677461,1.58044643408783e-07
12,312,11.350482714495,-6.36816907791279,-149.585672762961,-149.585672762962,-0.792353381200648,0.00529698711491062,12.0527353998938,-8.99359335708959,-0.382875726385212,7.37934426936272e-24
18,306,11.3434915565848,-5.94486924531091,-153.736573590448,-153.736573590448,-0.79121791615828,0.00514658221970051,11.3218729478966,-8.97517375136006,-0.347062726582696,1.67072827322578e-22
