sample,y,x,max_order_considered,order_selected,n,bg_p_order1,bg_p_order12,reset_p,rec_cusum_p,ols_cusum_p,supF_p,cusumsq_maxdev,F_stat,F_cv_I0_asy,F_cv_I1_asy,F_p_asy,F_cv_I0_exact,F_cv_I1_exact,F_p_exact,t_stat,t_cv_I0_asy,t_cv_I1_asy,t_p_asy,t_p_exact,F_stat_order2,F_p_order2,order2,F_stat_case2,F_p_case2
full,FCI_EXP_ENDO_exCredit,DXY,8,"2,0",325,0.376,0.001,0,0.226,0.215,0.002,0.392,8.384,4.919,5.743,0.0066,4.941,5.766,0.0067,-3.938,-2.861,-3.224,0.0075,0.0061,7.888,0.0098,"2,1",5.618,0.0093
full,FCI_EXP_ENDO_exC_exTCN,DXY,8,"2,0",325,0.24,0.003,0,0.476,0.302,0.009,0.412,5.85,4.919,5.743,0.046,4.929,5.765,0.0467,-3.359,-2.861,-3.224,0.0359,0.0359,5.42,0.0635,"2,1",3.917,0.0639
postIT,FCI_EXP_ENDO_exCredit,DXY,8,"2,0",176,0.064,0.002,0,0.316,0.822,0,0.34,5.738,4.919,5.743,0.0502,5.015,5.844,0.0536,-3.387,-2.861,-3.224,0.0332,0.0348,5.235,0.0726,"2,1",4.083,0.0529
postIT,FCI_EXP_ENDO_exC_exTCN,DXY,8,"2,0",176,0.255,0.004,0,0.242,0.598,0,0.334,7.2,4.919,5.743,0.0165,5.047,5.856,0.0176,-3.793,-2.861,-3.224,0.0115,0.0117,6.703,0.0242,"2,1",4.892,0.0213
