fecha,FCI_EXP,FCI_EXP_exCredit,FCI_EXP_ENDO_exCredit,FCI_EXP_PCA
1996-01-01,,,,
1996-02-01,,,,
1996-03-01,,,,
1996-04-01,,,,
1996-05-01,,,,
1996-06-01,,,,
1996-07-01,,,,
1996-08-01,,,,
1996-09-01,,,,
1996-10-01,,,,
1996-11-01,,,,
1996-12-01,,,,
1997-01-01,,,,
1997-02-01,,,,
1997-03-01,,,,
1997-04-01,,,,
1997-05-01,,,,
1997-06-01,,,,
1997-07-01,,,,
1997-08-01,,,,
1997-09-01,,,,
1997-10-01,,,,
1997-11-01,,,,
1997-12-01,,,,
1998-01-01,,,,
1998-02-01,,,,
1998-03-01,,,,
1998-04-01,,,,
1998-05-01,,,,
1998-06-01,,,,
1998-07-01,,,,
1998-08-01,,,,
1998-09-01,,,,
1998-10-01,,,,
1998-11-01,,,,
1998-12-01,,0.0155344937469743,0.111252466451435,
1999-01-01,,0.176570160047358,0.30167066591726,
1999-02-01,,0.204321604047537,0.294971339087457,
1999-03-01,,-0.00240582379071501,0.116630190159963,
1999-04-01,,0.171372705398506,0.395316929413546,
1999-05-01,,0.29064495365416,0.34816506129589,
1999-06-01,,0.15813228939007,0.300815391594272,
1999-07-01,,0.299762724482443,0.39674162738241,
1999-08-01,,0.298449127173871,0.356581542118073,
1999-09-01,,0.154932338230099,0.153808911062177,
1999-10-01,,0.0957912013475345,0.19489841257695,
1999-11-01,,0.197734746399274,0.247384894782973,
1999-12-01,0.257178169316713,0.265203014062954,0.37521566886329,-0.713081055421491
2000-01-01,0.399671274476356,0.423691399829325,0.544976187923658,-0.0879525579152433
2000-02-01,0.389774302991841,0.413875322353027,0.408685371881219,-0.558608472229732
2000-03-01,0.51820210169836,0.545757650063762,0.657253966520818,-0.632902875133316
2000-04-01,0.634270947221712,0.619780688983577,0.624146793689485,-0.593251984820964
2000-05-01,0.629949477182578,0.668987775463132,0.481391918215174,-0.221651451442888
2000-06-01,0.713436408377894,0.730140694696872,0.633355436519438,-0.125092598378751
2000-07-01,0.721761892618462,0.750961151301354,0.666705731041296,0.203714199021159
2000-08-01,0.656246604514159,0.680455556643298,0.635199473714125,0.135098891077573
2000-09-01,0.742624521834343,0.760632444115101,0.777441500282305,0.222745333489629
2000-10-01,0.715571770360363,0.735814262872808,0.682354347091913,-0.378944008085575
2000-11-01,0.613591414711156,0.639627612350974,0.638243166863103,-0.952830543353996
2000-12-01,0.461783420956868,0.476974290183887,0.598207467405882,-1.96474816267879
2001-01-01,0.313585320248088,0.318600571861003,0.54405505980555,-1.88309891064433
2001-02-01,0.208713419824029,0.212670564011082,0.598356700301109,-2.35268635404048
2001-03-01,0.301114378471275,0.323122047185437,0.599375668254749,-1.52601244072749
2001-04-01,0.264571962001305,0.291048555514409,0.637618484177396,-1.46883387981117
2001-05-01,0.193392338985271,0.210891968138444,0.645908995727339,-1.0176141271977
2001-06-01,0.0496799296045701,0.0638115217818168,0.569715040421251,-1.51775451406753
2001-07-01,0.0360853921002218,0.0501063620021136,0.568892806261217,-0.960829537844715
2001-08-01,0.177010374484953,0.205382214472502,0.720239778429758,-0.193496291255139
2001-09-01,0.366475273668425,0.427364292380683,0.718956990260272,0.174180759739724
2001-10-01,0.276985716444351,0.350762581653418,0.615753639709324,0.483022683960154
2001-11-01,0.199440580933414,0.255733922015417,0.615938789262462,0.411471103772075
2001-12-01,0.271663314453611,0.327850157753075,0.76823451055711,0.25458990093304
2002-01-01,-0.0161429870935618,0.0142585978355056,0.502520837500125,-0.464395044478132
2002-02-01,0.296792999011328,0.33927788120522,0.948840299176176,-0.208826790125929
2002-03-01,0.310157508920749,0.341419877047811,1.02879332062478,-0.0568528177504698
2002-04-01,0.356373153185453,0.379864199671201,0.861459116050006,0.498636882057732
2002-05-01,0.331563895900684,0.368830072902277,0.694514728322224,0.874670718407601
2002-06-01,0.380641418251409,0.395429050290875,0.617632478374504,0.620694598239482
2002-07-01,0.413439773842607,0.431129159775172,0.527957829070324,1.26139802429232
2002-08-01,0.590893012195395,0.609044190321865,0.781267240489986,2.45840928225804
2002-09-01,0.718910007635583,0.692836359595984,0.917789727046335,1.66177938747706
2002-10-01,0.65332377667113,0.630561981770357,0.862143752070557,1.44707469158419
2002-11-01,0.488426006372353,0.452824905658011,0.959109028109745,0.286560776713443
2002-12-01,0.624170016477464,0.577192698185583,1.13488940804312,0.0852064170688573
2003-01-01,0.498642126451002,0.417812683812871,1.11528173163633,-0.621301653399027
2003-02-01,0.687935696242719,0.611599581643489,1.24930066627263,-0.281593190538827
2003-03-01,0.622330513587551,0.542170772371708,1.02230426693183,0.288239825097921
2003-04-01,0.484847210117555,0.390689156330496,1.04212832159745,-0.939895493859514
2003-05-01,0.413726087181222,0.216741454561791,0.876609015142148,-1.47640521479856
2003-06-01,0.345822228755494,0.145555870889242,0.678566845217203,-0.972353798135524
2003-07-01,0.155558451299553,-0.074493585511586,0.422850133223839,-1.68263627464075
2003-08-01,0.121757816556381,-0.0925358092829859,0.487575452740212,-1.98891494359458
2003-09-01,-0.137300112602833,-0.351670224405768,0.340192919233272,-3.42837260079645
2003-10-01,-0.286508644400383,-0.514262752956948,0.263224769008668,-4.32071247964087
2003-11-01,-0.241455613037047,-0.473641267240006,0.306209087604044,-4.09824904976372
2003-12-01,-0.177084037847317,-0.375541374016294,0.279732203254986,-3.36544191350801
2004-01-01,-0.0864520996143048,-0.25816841749467,0.214550777736153,-2.25416178750228
2004-02-01,-0.0553432031641856,-0.209378594494687,0.283344152649477,-2.1671341744346
2004-03-01,-0.012306687931506,-0.164329261845634,0.419311596538592,-2.7901218633687
2004-04-01,-0.197431499705415,-0.35999538987968,0.182241368753395,-3.11082025547794
2004-05-01,-0.401837669650262,-0.496648305918493,-0.026372369083534,-3.61333196728654
2004-06-01,-0.384037090063575,-0.453699324296876,0.0646559089730983,-3.52424373147282
2004-07-01,-0.523679313988883,-0.574626814953802,-0.201407774050833,-3.70635244327147
2004-08-01,-0.456808997410032,-0.501935024677005,-0.186033490081971,-3.38178238789655
2004-09-01,-0.557575948161823,-0.598372907249262,-0.299181458154321,-3.5232206309837
2004-10-01,-0.631125630526234,-0.660454085967505,-0.390943856988874,-3.91068676554934
2004-11-01,-0.671523889068834,-0.673156022019175,-0.421761290786939,-3.9431166163637
2004-12-01,-0.694505376221887,-0.703109502094827,-0.410502764872258,-4.22005625324893
2005-01-01,-0.831394710616313,-0.845198181869062,-0.596921455425684,-4.56338261773512
2005-02-01,-0.770569422258507,-0.787931113905064,-0.531774277597873,-4.30388884946489
2005-03-01,-0.742502597271695,-0.743440234365737,-0.507163305242694,-4.19169907476039
