horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,outcome,inference
4,-5.08340475733232,1.60553236080544,0.00168817508683045,-7.7242704841911,-2.44253903047354,342,Total_FXadj,baseline + Newey-West
5,-5.79204310261941,1.81591255804977,0.00156134817287193,-8.7789534599543,-2.80513274528451,341,Total_FXadj,baseline + Newey-West
6,-6.60839044054088,2.16154535546377,0.0024168177143166,-10.1638161582956,-3.05296472278619,340,Total_FXadj,baseline + Newey-West
7,-7.05005095214947,2.23957954927499,0.00179526010982751,-10.7338314966208,-3.36627040767817,339,Total_FXadj,baseline + Newey-West
8,-7.65817780884041,2.38510553161026,0.00145495374286176,-11.5813272931716,-3.73502832450925,338,Total_FXadj,baseline + Newey-West
9,-8.04318305480817,2.68999638493984,0.00300171181902276,-12.4678333650628,-3.61853274455354,337,Total_FXadj,baseline + Newey-West
10,-8.51140666050533,2.96126298824387,0.00431672291219165,-13.3822508270754,-3.64056249393525,336,Total_FXadj,baseline + Newey-West
11,-9.60470122806487,3.27594396174294,0.00360880179786384,-14.9931495352275,-4.21625292090223,335,Total_FXadj,baseline + Newey-West
12,-9.53504823981518,3.4957028036768,0.00672751548887679,-15.2849676751874,-3.78512880444297,334,Total_FXadj,baseline + Newey-West
13,-9.37562624768093,3.63090263582781,0.0102592857804669,-15.34792961733,-3.4033228780319,333,Total_FXadj,baseline + Newey-West
14,-9.17544454390092,3.60591171827008,0.0114096577089028,-15.1066415121643,-3.24424757563757,332,Total_FXadj,baseline + Newey-West
15,-8.49262626833231,3.35559703749714,0.0118563621849195,-14.0120922260471,-2.97316031061752,331,Total_FXadj,baseline + Newey-West
16,-7.28906449054751,3.23116943632095,0.0247564620487336,-12.6038652571748,-1.97426372392026,330,Total_FXadj,baseline + Newey-West
17,-6.31907467094044,3.15250616668872,0.045868267727698,-11.5044858732053,-1.13366346867562,329,Total_FXadj,baseline + Newey-West
18,-5.99170845543779,3.03053994543176,0.0488954329629846,-10.9765030763025,-1.00691383457304,328,Total_FXadj,baseline + Newey-West
19,-5.87498002792081,2.72663397722707,0.0319435142488589,-10.3598938147319,-1.39006624110974,327,Total_FXadj,baseline + Newey-West
20,-5.68989366250254,2.50777361257106,0.0239504366413119,-9.81481418471324,-1.56497314029184,326,Total_FXadj,baseline + Newey-West
21,-4.94179198561522,2.24422727483244,0.0283919621165056,-8.63321735832678,-1.25036661290366,325,Total_FXadj,baseline + Newey-West
22,-3.97328350078248,1.98810495016457,0.0465240912485383,-7.24342513882086,-0.703141862744111,324,Total_FXadj,baseline + Newey-West
23,-3.24263259056433,1.74427696388799,0.0639667335477968,-6.1117128810234,-0.373552300105261,323,Total_FXadj,baseline + Newey-West
24,-3.5351705467902,1.59853947844168,0.0277281393059372,-6.16453400573011,-0.905807087850286,322,Total_FXadj,baseline + Newey-West
1,-0.949288998488015,1.00561920230195,0.345870241586871,-2.60338539072642,0.704807393750388,344,Total_FXadj,lag-augmented + EHW
2,-1.45139742221966,1.04721196211562,0.166699613862901,-3.17390781629251,0.271112971853184,343,Total_FXadj,lag-augmented + EHW
3,-2.5044602258645,1.31279519391302,0.0573017328398806,-4.66381616201679,-0.345104289712217,342,Total_FXadj,lag-augmented + EHW
4,-4.69153127153028,1.52307435472389,0.00224387451692875,-7.19676564801465,-2.18629689504592,341,Total_FXadj,lag-augmented + EHW
5,-5.27801150077515,1.70536787050855,0.00213961174812205,-8.08309202786765,-2.47293097368265,340,Total_FXadj,lag-augmented + EHW
6,-6.14318853314725,1.93476165676829,0.00164139132704282,-9.32558826156921,-2.96078880472529,339,Total_FXadj,lag-augmented + EHW
7,-6.5738255723566,2.11016345742154,0.00200223175409462,-10.0447355887569,-3.10291555595632,338,Total_FXadj,lag-augmented + EHW
8,-7.30110187371029,2.20845416998066,0.00105328785222981,-10.9336857251591,-3.6685180222615,337,Total_FXadj,lag-augmented + EHW
9,-7.6461945436331,2.36577407504686,0.00135685124072274,-11.5375466115217,-3.75484247574452,336,Total_FXadj,lag-augmented + EHW
10,-8.25270628460942,2.53998403479365,0.00128065958990876,-12.4306082366386,-4.07480433258026,335,Total_FXadj,lag-augmented + EHW
11,-9.49376385255132,2.73772486877053,0.000596846576947389,-13.9969205325438,-4.99060717255888,334,Total_FXadj,lag-augmented + EHW
12,-9.5482526263747,2.8467494814463,0.000892546730075756,-14.2307388359539,-4.86576641679553,333,Total_FXadj,lag-augmented + EHW
13,-9.36710291774307,2.93001923549828,0.00152900718919664,-14.18655568429,-4.54765015119615,332,Total_FXadj,lag-augmented + EHW
14,-9.28098874743534,2.9145371708555,0.00159524475880348,-14.0749757838019,-4.48700171106879,331,Total_FXadj,lag-augmented + EHW
15,-8.80933678925518,2.94041404748235,0.00295310324917931,-13.6458874999956,-3.97278607851479,330,Total_FXadj,lag-augmented + EHW
16,-7.7807595554262,2.98261880388719,0.00952345864362086,-12.6867309128137,-2.87478819803869,329,Total_FXadj,lag-augmented + EHW
17,-6.94722014180394,3.12134345076111,0.0267452966627641,-12.0813732377496,-1.81306704585831,328,Total_FXadj,lag-augmented + EHW
18,-6.67956527075749,3.11911088323591,0.033008295913188,-11.8100461199119,-1.5490844216031,327,Total_FXadj,lag-augmented + EHW
19,-6.55627100407739,3.13959547780919,0.0375881322458769,-11.7204460129123,-1.3920959952425,326,Total_FXadj,lag-augmented + EHW
20,-6.42053940545316,3.16885728865358,0.0436068041939435,-11.6328458099866,-1.20823300091971,325,Total_FXadj,lag-augmented + EHW
21,-5.85596941240302,3.11387169846507,0.0609657230843931,-10.9778325694848,-0.734106255321207,324,Total_FXadj,lag-augmented + EHW
22,-4.888110976692,3.13418912415033,0.119879094818901,-10.0433933251025,0.26717137171852,323,Total_FXadj,lag-augmented + EHW
23,-4.11292970891455,3.09758646767645,0.18523545195273,-9.20800604506796,0.982146627238859,322,Total_FXadj,lag-augmented + EHW
24,-4.63277201351853,3.1311661874251,0.140017419449307,-9.78308207349252,0.517538046455454,321,Total_FXadj,lag-augmented + EHW
1,-1.49756074010636,1.36178883877027,0.272254353222329,-3.73750405069966,0.742382570486949,345,USD_clean,baseline + Newey-West
2,-2.3498924679756,1.65066395481291,0.155497293045967,-5.06499306092767,0.365208124976476,344,USD_clean,baseline + Newey-West
3,-3.68039713076098,2.08838011227736,0.0789351485614678,-7.11547673289372,-0.245317528628234,343,USD_clean,baseline + Newey-West
4,-6.06497722290185,2.5017589448784,0.0158736983526116,-10.1800044971434,-1.94994994866033,342,USD_clean,baseline + Newey-West
5,-7.07181826821703,3.09197363604089,0.0228194673958002,-12.1576623178972,-1.98597421853684,341,USD_clean,baseline + Newey-West
6,-7.89431007440514,3.50833467461392,0.0250992089805173,-13.6650070885035,-2.12361306030683,340,USD_clean,baseline + Newey-West
7,-7.51590536213901,3.8542417013449,0.0520236404667295,-13.8555688037438,-1.17624192053424,339,USD_clean,baseline + Newey-West
8,-7.73489978830994,4.31283873088654,0.0738234549661443,-14.8288882172655,-0.64091135935443,338,USD_clean,baseline + Newey-West
9,-8.36244473926539,4.73547271339932,0.0783459846274761,-16.15160420723,-0.573285271300785,337,USD_clean,baseline + Newey-West
10,-8.71336401048751,5.0480803487899,0.085284352978642,-17.016717281337,-0.41001073963799,336,USD_clean,baseline + Newey-West
11,-9.47497590876999,5.3009742037864,0.0748070061530295,-18.1943025542442,-0.755649263295744,335,USD_clean,baseline + Newey-West
12,-9.25758496914607,5.36389440583017,0.0853203911588924,-18.0804061371605,-0.434763801131615,334,USD_clean,baseline + Newey-West
13,-9.07290210644237,5.58072600230902,0.104979715474385,-18.2523795123627,0.106575299477999,333,USD_clean,baseline + Newey-West
14,-8.43682865185132,5.51849876793405,0.127292178767546,-17.5139513656149,0.64029406191224,332,USD_clean,baseline + Newey-West
15,-7.42391025910367,5.25894258069294,0.159017697866358,-16.074101036886,1.22628051867864,331,USD_clean,baseline + Newey-West
16,-6.3324682087527,4.98742863607265,0.20512195232247,-14.5360582899584,1.87112187245303,330,USD_clean,baseline + Newey-West
17,-5.34928232738486,4.63992287756385,0.249824792228782,-12.9812763013209,2.28271164655114,329,USD_clean,baseline + Newey-West
18,-5.58262878376209,4.14729194367455,0.179235266144131,-12.4043169793418,1.23905941181762,328,USD_clean,baseline + Newey-West
19,-6.10091096847887,3.79567058140324,0.108979770879479,-12.344233491013,0.142411554055259,327,USD_clean,baseline + Newey-West
20,-6.27834484389772,3.49700466505977,0.073556486209142,-12.0304056506875,-0.526284037107933,326,USD_clean,baseline + Newey-West
21,-5.65172109766094,3.1318583508873,0.0720968304573883,-10.8031696652162,-0.500272530105722,325,USD_clean,baseline + Newey-West
22,-4.24808993079959,2.80167176286424,0.130460434525027,-8.85642989147436,0.360250029875178,324,USD_clean,baseline + Newey-West
23,-3.64283895536442,2.53142477555131,0.151139687071991,-7.80666217878481,0.520984268055976,323,USD_clean,baseline + Newey-West
24,-4.14285558787759,2.58033326695608,0.109387576911339,-8.38712612077383,0.101414945018655,322,USD_clean,baseline + Newey-West
1,-1.14242404015044,1.30242049011307,0.381042756269254,-3.28471510712883,0.999867026827949,344,USD_clean,lag-augmented + EHW
2,-1.9675390240319,1.55058473082129,0.205375982359079,-4.51802394241886,0.582945894355072,343,USD_clean,lag-augmented + EHW
3,-2.98540448716823,1.82950277331681,0.103681722590428,-5.99466875937616,0.0238597850396891,342,USD_clean,lag-augmented + EHW
4,-5.27722399924891,1.98390514348475,0.00819986730341694,-8.54045757003748,-2.01399042846033,341,USD_clean,lag-augmented + EHW
5,-6.10517649012173,2.57663283040041,0.0183989430736829,-10.3433603465281,-1.86699263371538,340,USD_clean,lag-augmented + EHW
6,-7.13802662341244,2.74274343926913,0.00967957318602375,-11.6494381172916,-2.62661512953326,339,USD_clean,lag-augmented + EHW
7,-6.82677462005309,3.01881945996652,0.0243988510278326,-11.7922907578907,-1.86125848221548,338,USD_clean,lag-augmented + EHW
8,-7.24586721852283,3.25354922043285,0.0266339768989478,-12.5974794542169,-1.89425498282872,337,USD_clean,lag-augmented + EHW
9,-8.04250811351218,3.45969151008992,0.0207151342553624,-13.7331942420168,-2.35182198500756,336,USD_clean,lag-augmented + EHW
10,-9.03132202486334,3.62780411412655,0.0133007640169184,-14.9985287798539,-3.06411526987281,335,USD_clean,lag-augmented + EHW
11,-10.0561071248592,3.82227388394228,0.00892875382289394,-16.3431881860636,-3.7690260636549,334,USD_clean,lag-augmented + EHW
12,-10.0578596890585,3.85174553348933,0.00944885409169697,-16.3934172999126,-3.72230207820445,333,USD_clean,lag-augmented + EHW
13,-9.93912962924635,3.88318547186835,0.0109450605431823,-16.3264013367743,-3.55185792171843,332,USD_clean,lag-augmented + EHW
14,-9.52227067413625,3.88942902702539,0.0148988695202068,-15.9198121160093,-3.1247292322632,331,USD_clean,lag-augmented + EHW
15,-8.75250260452854,3.93344575643662,0.02677911452361,-15.2224451234202,-2.28256008563689,330,USD_clean,lag-augmented + EHW
16,-7.99611663986877,3.9673402629339,0.0447054879432201,-14.5218106607062,-1.47042261903134,329,USD_clean,lag-augmented + EHW
17,-7.13859903009752,4.09285858614287,0.0821129123646579,-13.8707523201141,-0.40644574008095,328,USD_clean,lag-augmented + EHW
18,-7.44369825125189,4.05229020491316,0.0671740397620899,-14.1091224922632,-0.778274010240551,327,USD_clean,lag-augmented + EHW
19,-8.00833527075487,4.02995427684889,0.0477769230763266,-14.6370201794784,-1.37965036203138,326,USD_clean,lag-augmented + EHW
20,-8.21587148787807,4.08578643371336,0.0452076782089569,-14.9363921223206,-1.49535085343552,325,USD_clean,lag-augmented + EHW
21,-7.78023476406534,4.0794285819084,0.0574234173414099,-14.4902976629069,-1.07017186522381,324,USD_clean,lag-augmented + EHW
22,-6.37168935124502,4.13871838429527,0.12470117959268,-13.1792752965838,0.435896594093788,323,USD_clean,lag-augmented + EHW
23,-5.7488383007811,4.12463474885965,0.164391764343551,-12.533258727293,1.03558212573077,322,USD_clean,lag-augmented + EHW
24,-6.76622338899922,4.13744876008809,0.103001526733916,-13.571720988356,0.0392742103575552,321,USD_clean,lag-augmented + EHW
