"horizon","gamma_cal","ci_lo","ci_hi","breakdown","max_ci_pct_of_breakdown","includes_zero","B","block_len"
6,0.00381549638317719,-0.0234140410152492,0.0141736276200041,-0.135,17.3437340853697,TRUE,999,18
12,0.00187869026170072,-0.0537502352049345,0.0146468333178684,-0.535,10.0467729355018,TRUE,999,18
18,-0.00481818186405289,-0.0607482185660577,0.0168188024617634,-0.554,10.9653824126458,TRUE,999,18
