"horizon","effF_nw","rf","rf_t","b2sls","ar0_p","ar_lo","ar_up"
6,18.6744661423042,0.0522903337524458,0.493257183521929,10.0955116102285,0.622187003820975,-22,52
12,28.4783493335118,-0.178332030364278,-1.11734047357327,-31.7497097529995,0.264748788163433,-85,15
18,35.697067954271,-0.114634064365984,-0.781950855226125,-20.4161990537556,0.43487704993255,-64,23
