variant,n,b_gradient,se_bank,p_bank,p_wcb
"baseline: 2016-avg exposure, shocks from 2016m1",28048,0.848237178810432,0.427888151772739,0.0638384052671369,0.122122122122122
"leave-2016-out: 2016-avg exposure, shocks from 2017m1",28048,0.848237178810432,0.427888151772739,0.0638384052671369,0.132132132132132
"Jan-2016-only exposure, shocks from 2016m2",28048,0.583743828115065,0.509323705493464,0.267624781305137,0.215215215215215
