"horizon","quantity","est","lo95","hi95"
6,"MN_pre",-8.62063488470968,-12.8472052215789,-4.39406454784045
6,"MN_post",-1.61209685638988,-4.70594159474795,1.4817478819682
6,"USD_pre",4.40943511923059,-3.92315065388584,12.742020892347
6,"USD_post",-0.173925949283037,-7.04593549280132,6.69808359423524
6,"MN_shift",7.0085380283198,2.95175597792355,11.0653200787161
6,"USD_shift",-4.58336106851363,-11.4111760686334,2.24445393160611
6,"triple_diff",-11.5918990968334,-17.9504905230716,-5.23330767059526
12,"MN_pre",-16.0237582400241,-22.9951395392369,-9.05237694081122
12,"MN_post",-4.0082105427869,-8.98693508611423,0.970514000540422
12,"USD_pre",-5.80546728655897,-16.930849593797,5.3199150206791
12,"USD_post",-8.39105295035648,-16.4788138580281,-0.303292042684866
12,"MN_shift",12.0155476972372,4.60989188853003,19.4212035059443
12,"USD_shift",-2.58558566379751,-11.9226349608066,6.75146363321155
12,"triple_diff",-14.6011333610347,-23.0690511792863,-6.13321554278312
18,"MN_pre",-14.9913903368875,-22.6760079911442,-7.30677268263088
18,"MN_post",-0.218458105710505,-6.31465827931341,5.8777420678924
18,"USD_pre",-7.27155758024612,-19.31785990849,4.77474474799774
18,"USD_post",-3.77943435265256,-11.9634433910509,4.40457468574582
18,"MN_shift",14.772932231177,6.718293920851,22.8275705415031
18,"USD_shift",3.49212322759356,-5.32131084469797,12.3055572998851
18,"triple_diff",-11.2808090035835,-19.8682981555987,-2.69331985156821
