"purge","horizon","b","se","p","n","sd_x","b_per_sd"
"purged_full",6,-3.17212266880865,2.29514218954202,0.16791627224509,327,0.599262648374707,-1.90093463147971
"purged_full",12,-2.89453544365132,2.72699203145515,0.289316705362497,321,0.603626813968203,-1.74721920776928
"purged_full",18,1.92406463732047,2.13963597251358,0.369231990533773,315,0.608908030055289,1.17157840800985
"purged_recursive",6,-2.27642195214794,1.51823993170144,0.135006672566373,267,0.709257607970517,-1.61456958851202
"purged_recursive",12,-0.531088551131897,2.19921796915412,0.809373529711739,261,0.715323610815098,-0.379900180058227
"purged_recursive",18,-0.103540468944799,1.4074026795809,0.941414029894327,255,0.723207018437563,-0.074881193833195
