date,share_FC,share_PYG
2016-01-01,0.522349728277999,0.224884801363359
2016-02-01,0.623150976325903,0.385975040483733
2016-03-01,0.790708671350113,0.434807884661092
2016-04-01,0.981195056335235,0.522508937269718
2016-05-01,1.37015219078757,0.648304460754445
2016-06-01,1.58588266627167,0.758982344466469
2016-07-01,1.83056849002697,0.827899867681859
2016-08-01,1.94933239361904,0.878037923432494
2016-09-01,1.94434236707439,0.9299507685565
2016-10-01,1.8760279512288,0.920828370447318
2016-11-01,1.81075211465851,0.923696597572888
2016-12-01,1.77626549096141,0.957767647233449
2017-01-01,1.73501371703493,0.891718588791856
2017-02-01,1.63046959035042,0.850909481031097
2017-03-01,1.56658415237112,0.822240109441454
2017-04-01,1.58162559227806,0.792202216979962
2017-05-01,1.50401256213286,0.737781802602059
2017-06-01,1.31138247612792,0.652586369220116
2017-07-01,1.0916229592591,0.602895604611149
2017-08-01,0.860805217777719,0.505687381235756
2017-09-01,0.796843444834152,0.485304806650501
2017-10-01,0.881876049414905,0.445652602561955
2017-11-01,0.866648627260443,0.42095911275218
2017-12-01,0.871574781780808,0.404492384294116
2018-01-01,0.84357501424371,0.371975173235903
2018-02-01,0.739492375268525,0.341240747025462
2018-03-01,0.740984538529049,0.330429861867894
2018-04-01,0.736677930041064,0.323013502777287
2018-05-01,0.72292155516365,0.30485218508719
2018-06-01,0.683909382907052,0.293278416311589
2018-07-01,0.582514282690434,0.269475595303146
2018-08-01,0.545804055819129,0.241215457266831
2018-09-01,0.536797490052201,0.230599985979306
2018-10-01,0.535792194777106,0.218870257656914
2018-11-01,0.49920930966088,0.207355052792102
2018-12-01,0.470175707056077,0.21130610076426
2019-01-01,0.463111173050699,0.205161860508278
2019-02-01,0.362618589215046,0.162646270637734
2019-03-01,0.359104094879979,0.155267307911421
2019-04-01,0.348476952502189,0.149278082301432
2019-05-01,0.318726513995275,0.141041540411338
2019-06-01,0.31048284749654,0.130850862230966
2019-07-01,0.382801344640026,0.150228766167982
2019-08-01,0.432556909934844,0.231572195986118
2019-09-01,0.485090233648625,0.26883241760528
2019-10-01,0.530062675038747,0.279002678231991
2019-11-01,0.547290835289433,0.275863799782207
2019-12-01,2.04057859113898,0.355163223890591
2020-01-01,2.0307716123364,0.354351464913832
2020-02-01,2.02881543428628,0.340851675030794
2020-03-01,1.82275951305107,0.326298837968118
2020-04-01,4.10387325110643,10.6268585535959
2020-05-01,5.70583200747109,13.5940433002234
2020-06-01,6.64246405010555,15.541257126354
2020-07-01,7.37302998205635,16.3177710535667
2020-08-01,8.09902876953087,16.2713598187272
2020-09-01,8.35045471038454,16.7072071191437
2020-10-01,11.2025271470267,17.7214769737583
2020-11-01,11.2244875155388,17.4911720935102
2020-12-01,12.0203733528266,19.0335393897469
2021-01-01,11.7135818289434,18.9141272912211
2021-02-01,11.2531782143585,18.4542556723596
2021-03-01,10.2710527937866,18.0464197921877
2021-04-01,9.57771065076324,17.6149552476749
2021-05-01,9.06446832372534,17.191209333227
2021-06-01,8.68975786103976,16.53859887173
2021-07-01,7.64147746105346,15.7390795159902
2021-08-01,7.23161989834477,15.2597495079517
2021-09-01,6.7732265005751,14.5355407967805
2021-10-01,6.49193545819097,14.1504588066382
2021-11-01,6.15462975722283,13.597279813177
2021-12-01,5.77638331898791,13.1307848182541
2022-01-01,5.62998397487192,12.7958776704574
2022-02-01,5.51200934358198,12.3518108797798
2022-03-01,5.30009237761835,11.9702097474116
2022-04-01,5.14805913189172,11.6624923351219
2022-05-01,5.07257827445736,11.1925466785411
2022-06-01,4.90375927669322,10.7692982153141
2022-07-01,4.74998255602146,10.4020471879197
2022-08-01,4.36609479130598,9.87684242481982
2022-09-01,4.27833254988152,9.45085928223347
2022-10-01,4.21612134755422,9.05965319752668
2022-11-01,4.15532794079947,8.53397436544753
2022-12-01,3.90554364277371,8.06129190051974
2023-01-01,3.82040562284287,7.69705152500796
2023-02-01,3.7290279405125,7.39156459640379
2023-03-01,3.69744199108998,6.99247533611647
2023-04-01,3.57843258888339,6.59877523528077
2023-05-01,3.54473279567166,6.2800140566204
2023-06-01,3.38067705270333,5.89412108297776
2023-07-01,3.00602787766933,5.56008107355331
2023-08-01,2.79694709639813,5.17139709144268
2023-09-01,2.60252772250428,4.80258879508716
2023-10-01,2.55040522890757,4.43729949830941
2023-11-01,2.43123226954237,3.97277775113174
2023-12-01,2.27907121552414,3.57544370624842
2024-01-01,2.19715924270828,3.49118913926031
2024-02-01,2.11987575595316,3.29042588130115
2024-03-01,2.10432110081492,3.22004337283485
2024-04-01,1.96531890351271,3.01422827278601
2024-05-01,1.94224523613107,2.85149363890529
2024-06-01,1.73932293272953,2.50383348177873
2024-07-01,1.72519090164449,2.37195165127645
2024-08-01,1.75319048200384,2.17752462298562
2024-09-01,1.87207226202628,2.15004149277003
2024-10-01,1.78472564870289,2.01406264520875
2024-11-01,1.70254248188508,1.89707496882951
2024-12-01,1.61729769749862,1.7493435593377
2025-01-01,1.60137829107615,1.69936332925196
2025-02-01,1.61232008115923,1.67230332791681
2025-03-01,1.65202147559639,1.58851973477936
2025-04-01,1.68889301862179,1.51696371656644
2025-05-01,1.6954290909608,1.55020109645548
2025-06-01,2.00689177358703,1.63239269448208
2025-07-01,1.88372355344918,1.53640903297498
2025-08-01,1.60183449957551,1.41021365689921
2025-09-01,1.54237572359684,1.36759831684479
2025-10-01,1.48188855645816,1.31766305466905
