"horizon","a","se_a","b","se_b","gamma_cal","se_gamma","ci_lo","ci_hi","breakdown","max_ci_pct_of_breakdown"
6,0.111609641136414,0.233664703774803,0.0359298836853618,0.0339288057558166,0.00401012142419633,0.00921004359678567,-0.0111404002925161,0.0191606431409088,-0.135,14.1930689932657
12,0.111609641136414,0.233664703774803,0.0156898587209261,0.0495213805827397,0.0017511395013236,0.00663243587517682,-0.00915921751334227,0.0126614965159895,-0.535,2.36663486280177
18,0.111609641136414,0.233664703774803,-0.0773768766831284,0.0559253069948735,-0.00863600543886053,0.0191273460882829,-0.040100489754086,0.0228284788763649,-0.554,7.23835555127905
