fecha,BroadDollar,BRL,EUR,GBP,TED
1995-01-01,94.1001789473684,0.846090909090909,,1.574605,0.6335
1995-02-01,93.6274947368421,0.84115,,1.57201578947368,0.492105263157895
1995-03-01,92.7380130434783,0.890521739130435,,1.60018695652174,0.539130434782609
1995-04-01,90.187785,0.9074,,1.60728,0.581111111111111
1995-05-01,90.1369272727272,0.8975,,1.58737272727273,0.454761904761905
1995-06-01,90.3097454545455,0.913727272727273,,1.59481363636364,0.533636363636364
1995-07-01,90.345165,0.928825,,1.59516,0.47
1995-08-01,92.483347826087,0.941260869565218,,1.56679565217391,0.501818181818182
1995-09-01,93.844815,0.951915,,1.55897,0.585
1995-10-01,93.6617285714286,0.959276190476191,,1.57792857142857,0.661428571428571
1995-11-01,94.883485,0.963,,1.56247619047619,0.522857142857143
1995-12-01,95.5669588235294,0.967576470588235,,1.540505,0.605789473684211
1996-01-01,96.4501095238095,0.97452380952381,,1.52877142857143,0.545714285714286
1996-02-01,96.60934,0.98096,,1.53596,0.449
1996-03-01,96.600695,0.986175,,1.5270619047619,0.431904761904762
1996-04-01,96.8903045454545,0.989781818181818,,1.51604090909091,0.548
1996-05-01,97.3537,0.995031818181818,,1.51523636363636,0.48
1996-06-01,97.81277,1.00133,,1.54159,0.476
1996-07-01,97.6822863636364,1.0069,,1.55300454545455,0.493181818181818
1996-08-01,97.2600045454545,1.01469090909091,,1.54988181818182,0.480952380952381
1996-09-01,97.79269,1.019425,,1.55929,0.5285
1996-10-01,98.2433590909091,1.02535,,1.58631363636364,0.559545454545455
1996-11-01,97.8597526315789,1.03037368421053,,1.66231052631579,0.471578947368421
1996-12-01,98.9295523809524,1.03717142857143,,1.66393333333333,0.643
1997-01-01,99.9999904761905,1.04255238095238,,1.65851428571429,0.529047619047619
1997-02-01,101.851578947368,1.04878947368421,,1.62563157894737,0.505789473684211
1997-03-01,102.654623809524,1.05700476190476,,1.60955714285714,0.482631578947369
1997-04-01,103.452040909091,1.06100454545455,,1.62932272727273,0.667727272727273
1997-05-01,102.441395238095,1.068,,1.63216666666667,0.7695
1997-06-01,102.095471428571,1.07461428571429,,1.64487142857143,0.91047619047619
1997-07-01,103.296804545455,1.08047727272727,,1.66938181818182,0.693181818181818
1997-08-01,105.178638095238,1.0878619047619,,1.60352380952381,0.585
1997-09-01,105.66407,1.09354761904762,,1.60127619047619,0.772380952380953
1997-10-01,106.274077272727,1.09989545454545,,1.63300909090909,0.793181818181818
