"horizon","n","delta","se_nw","p_nw","p_movingblock","b_FCI_pre","p_FCI_pre"
6,340,-12.1685270320485,3.39042222614592,0.000382326454436955,0.01500300060012,14.2971287997565,0.00465083204988828
12,334,-16.2018634306302,4.21639435593034,0.000146576599593327,0.0102020404080816,12.9893262867095,0.0122471732993154
18,328,-13.2917581937232,4.12723499677228,0.0014124118158497,0.0408081616323265,11.3923555352642,0.018201969947601
