"horizon","rf","rf_t_nw","sd_dxy_resid","rf_per_10pt","rf_per_1sd_resid","ar0_p_hac","ar_hac_lo","ar_hac_up","unbounded_below"
6,-0.33810215840172,-3.07076901304136,6.0657336746442,-3.3810215840172,-2.0508376476872,0.00232796647504257,-133,-28,FALSE
12,-0.792353381200648,-4.92902592017427,6.07805861754483,-7.92353381200648,-4.81597029674739,1.3739718619359e-06,-268,-93,FALSE
18,-0.79121791615828,-5.31756830696637,6.11025401495257,-7.9121791615828,-4.83454244890854,2.09433287589529e-07,-292,-97,FALSE
24,-0.688696544239029,-3.42983116585921,6.09799176182045,-6.88696544239029,-4.19966585316381,0.000692907383392166,-329,-60,FALSE
