y,horizon,coef,se,p_value,n_obs,q_bh
AG_Agricultura,1,-3.67618107583855,4.18152848772106,0.381347993656938,112,0.548718986420125
AG_Agricultura,2,-4.07153796504354,4.98540229062483,0.415989406992018,111,0.570499758160482
AG_Agricultura,3,-0.363175272561652,3.74029834236556,0.92283915031646,110,0.93837620773099
AG_Agricultura,4,3.63104900436739,3.24189863656339,0.265354013184673,109,0.439206642512562
AG_Agricultura,5,8.99533378954459,5.31256826902796,0.0935271419157527,108,0.264076635997419
AG_Agricultura,6,9.36148177429495,5.75024145996729,0.106700081800442,107,0.26955810139059
AG_Agricultura,7,7.30952551410428,4.40479920707344,0.100222960423936,106,0.267261227797163
AG_Agricultura,8,4.57906539271099,5.00301834107058,0.362324565532516,105,0.548718986420125
AG_Ganaderia_fp,1,-3.91978765092031,1.48252768958291,0.00946196911499189,112,0.0963304370806877
AG_Ganaderia_fp,2,-4.86359186306828,1.93590143555643,0.0135459869559821,111,0.106350463410219
AG_Ganaderia_fp,3,-4.52651490013327,1.83885286326451,0.015509442580657,110,0.106350463410219
AG_Ganaderia_fp,4,-1.01265604093106,1.53596086937232,0.511204824035556,109,0.631408645741488
AG_Ganaderia_fp,5,0.80481447555023,1.66430274008462,0.629745028728277,108,0.737262472657495
AG_Ganaderia_fp,6,-0.667174863964474,1.94281521664138,0.732021067110776,107,0.836595505269459
AG_Ganaderia_fp,7,1.78647346327631,2.51590638581093,0.479346038460765,106,0.631408645741488
AG_Ganaderia_fp,8,-0.287020211089444,1.66347838031791,0.863370793353614,105,0.914348990370418
AG_Manufactura,1,-2.2441183938304,1.12956342047462,0.0495846184312857,112,0.176306877474311
AG_Manufactura,2,-1.31812674297359,1.13000778649949,0.246115855414713,111,0.437539298515046
AG_Manufactura,3,-1.18353326265766,1.04608087119874,0.260540866481654,110,0.439206642512562
AG_Manufactura,4,0.217741572815148,1.3947184951299,0.87625111577165,109,0.914348990370418
AG_Manufactura,5,3.05762989256614,0.966049497395105,0.00205479135262432,108,0.0963304370806877
AG_Manufactura,6,0.955988511225963,1.37963936016667,0.489978099329401,107,0.631408645741488
AG_Manufactura,7,2.14124509816473,1.01104021607482,0.0367169273204245,106,0.160219319216398
AG_Manufactura,8,2.36543055623872,0.897196551812232,0.009756116013091,105,0.0963304370806877
AG_Electricidad_y_agua,1,3.39197616875179,1.88408819612548,0.0747077504415848,112,0.224123251324754
AG_Electricidad_y_agua,2,2.99701617480569,1.99908625048668,0.136882396384608,111,0.285667609846139
AG_Electricidad_y_agua,3,3.89054740910479,1.9738035113974,0.0514228392633408,110,0.176306877474311
AG_Electricidad_y_agua,4,1.43079200436242,1.65265075311926,0.388675948714255,109,0.548718986420125
AG_Electricidad_y_agua,5,-0.254480869478906,1.53694657498946,0.868825220132781,108,0.914348990370418
AG_Electricidad_y_agua,6,-3.36394606401063,1.62358630059607,0.0408722868329368,107,0.163489147331747
AG_Electricidad_y_agua,7,-4.30706816111939,1.60338071790605,0.0084886235592464,106,0.0963304370806877
AG_Electricidad_y_agua,8,-3.01309237291734,2.35909582844243,0.204572139854198,105,0.409144279708397
AG_Construccion,1,-5.85876089674566,2.23388172783777,0.0100344205292383,112,0.0963304370806877
AG_Construccion,2,-4.89534463096501,3.086536292636,0.115797522336982,111,0.277914053608756
AG_Construccion,3,-3.55062033106503,2.35565600314422,0.134831297183388,110,0.285667609846139
AG_Construccion,4,0.173658086631435,2.240643566542,0.93837620773099,109,0.93837620773099
AG_Construccion,5,5.76345957546669,2.57475554823004,0.0274087257993496,108,0.146179870929865
AG_Construccion,6,1.46492599870068,2.6895633297048,0.587204929582711,107,0.704645915499253
AG_Construccion,7,3.15548184448726,2.6684224367506,0.239857730545452,106,0.437539298515046
AG_Construccion,8,1.89820391350156,2.17357821665748,0.384651903091434,105,0.548718986420125
AG_Servicios,1,-1.51245972152485,1.25518928812773,0.230951407239546,112,0.437539298515046
AG_Servicios,2,-1.47158976442099,0.798500141681481,0.0682132292967149,111,0.218282333749488
AG_Servicios,3,-1.72467012480093,0.755844225040704,0.0245795695537145,110,0.146179870929865
AG_Servicios,4,-1.8201326729378,0.850727545830442,0.0348044511155204,109,0.160219319216398
AG_Servicios,5,0.816899848747657,0.936067186295496,0.3849207732186,108,0.548718986420125
AG_Servicios,6,-0.206541150405519,0.909450020399139,0.820809980002014,107,0.914348990370418
AG_Servicios,7,0.462624314675848,0.704646758401773,0.513019524664959,106,0.631408645741488
AG_Servicios,8,0.90942877991259,0.595728422660024,0.130118997398587,105,0.285667609846139
