date,h,diff_agg,within,between,n_cells
2016-01-01,6,-6.43227362443325,-11.3540377088554,4.92176408442216,139
2016-01-01,12,-4.36652665943789,-8.39448626826476,4.02795960882686,139
2016-01-01,18,-6.94215665023742,-6.40588264510125,-0.536274005136164,136
2016-02-01,6,-3.86641299365732,-4.94806134542381,1.08164835176649,139
2016-02-01,12,-5.57514409345473,-6.93373485559264,1.35859076213791,136
2016-02-01,18,-4.8808598841703,-3.31666825838805,-1.56419162578226,135
2016-03-01,6,-2.57274669659612,-4.14014513856045,1.56739844196433,140
2016-03-01,12,0.719333903531167,-0.0423394495318546,0.761673353063022,138
2016-03-01,18,-5.80135122853462,-6.04616352460437,0.244812296069751,135
2016-04-01,6,-1.90315550925644,-3.76608704451929,1.86293153526285,141
2016-04-01,12,-1.87928186832835,-0.528802569254198,-1.35047929907415,137
2016-04-01,18,-7.06350850224119,-5.15398434173242,-1.90952416050876,136
2016-05-01,6,-2.03853027858925,-3.373933160047,1.33540288145776,143
2016-05-01,12,-2.55037730139346,-0.89640544677904,-1.65397185461442,137
2016-05-01,18,-6.35649146157946,-2.90078490435468,-3.45570655722478,137
2016-06-01,6,-0.0537934350011269,-0.767431582014805,0.713638147013678,142
2016-06-01,12,-0.055450226013166,3.252302148069,-3.30775237408217,136
2016-06-01,18,-2.72357445104956,2.07139072760323,-4.79496517865279,136
2016-07-01,6,1.60933782561107,2.29940289837606,-0.690065072764988,139
2016-07-01,12,-1.38885559526795,3.15135301734284,-4.54020861261078,136
2016-07-01,18,-1.04761950439348,4.59392885736163,-5.64154836175511,136
2016-08-01,6,-2.29555599556343,-2.9035950853595,0.608039089796068,139
2016-08-01,12,-1.58417262649139,-0.03934772576355,-1.54482490072784,138
2016-08-01,18,-1.47368866959164,1.26008982041017,-2.73377849000181,138
2016-09-01,6,2.54304647582463,3.0533878859454,-0.510341410120774,140
2016-09-01,12,-4.09718993476504,-3.62194137513919,-0.475248559625845,137
2016-09-01,18,-2.07663618041322,1.43422941266528,-3.5108655930785,136
2016-10-01,6,-0.592853999785797,2.17263655552724,-2.76549055531304,139
2016-10-01,12,-5.73178586622202,-3.15681152529305,-2.57497434092897,138
2016-10-01,18,-3.32303320051772,0.713104659164108,-4.03613785968183,137
2016-11-01,6,-0.663420907767095,2.19569532904311,-2.8591162368102,138
2016-11-01,12,-4.19376042213853,-0.515126897179885,-3.67863352495864,138
2016-11-01,18,-4.29365765789891,-0.904376890184522,-3.38928076771439,137
2016-12-01,6,-0.0955786379551729,3.8198987536616,-3.91547739161677,140
2016-12-01,12,-3.09443536138564,1.87107326123976,-4.9655086226254,140
2016-12-01,18,-5.36410753431726,-2.9376991684962,-2.42640836582106,139
2017-01-01,6,-2.77089206490104,0.593032336886465,-3.3639244017875,140
2017-01-01,12,-2.58008206700668,1.4247032488107,-4.00478531581738,140
2017-01-01,18,-8.23969132152348,-6.01867133626615,-2.22101998525733,139
2017-02-01,6,0.397313182705422,2.30324634027659,-1.90593315757117,139
2017-02-01,12,1.03542974395796,3.96974151203716,-2.9343117680792,139
2017-02-01,18,-2.78913998628107,0.491028957593283,-3.28016894387435,139
2017-03-01,6,-6.64346957570004,-6.89352217571539,0.25005260001535,140
2017-03-01,12,-4.55797325038925,-2.15657756436118,-2.40139568602807,139
2017-03-01,18,-8.58198003021003,-6.24128094048628,-2.34069908972375,141
2017-04-01,6,-5.44821550171293,-5.2034170251701,-0.244798476542827,141
2017-04-01,12,-3.16573967455316,-1.73538390790257,-1.43035576665058,140
2017-04-01,18,-6.44287616145121,-3.48715047377603,-2.95572568767517,142
2017-05-01,6,-3.74776548220885,-2.20391958121482,-1.54384590099403,141
2017-05-01,12,-3.88656758483742,-2.9740155471045,-0.912552037732923,140
2017-05-01,18,-7.26857667211861,-4.5985128915534,-2.67006378056521,141
2017-06-01,6,-2.50250358999486,-1.55010567670935,-0.952397913285502,141
2017-06-01,12,-4.77755554394088,-5.97360725744239,1.19605171350151,140
2017-06-01,18,-6.05021988731628,-4.41993100623126,-1.63028888108502,141
2017-07-01,6,0.280778232804564,1.07944025838701,-0.798662025582442,144
2017-07-01,12,-5.49611066080187,-5.75777676376618,0.261666102964304,142
2017-07-01,18,-6.32974596798278,-5.14080296150231,-1.18894300648046,143
2017-08-01,6,0.336632932933879,1.52401126489627,-1.18737833196239,144
2017-08-01,12,-3.49666572035997,-1.8748001596702,-1.62186556068976,144
2017-08-01,18,-7.92994662497931,-6.40927006673278,-1.52067655824653,142
2017-09-01,6,1.50422260591373,4.24008069484243,-2.7358580889287,146
2017-09-01,12,-2.12133326472251,0.389948476982996,-2.51128174170551,147
2017-09-01,18,-6.25903886165541,-2.67578238145767,-3.58325648019774,146
2017-10-01,6,1.21857356603079,3.20853920292024,-1.98996563688946,147
2017-10-01,12,-1.42919571572539,1.50011612533976,-2.92931184106516,148
2017-10-01,18,-5.84063269956128,-1.49586740910763,-4.34476529045364,145
2017-11-01,6,-0.682653413015145,-0.913411435627642,0.230758022612497,147
2017-11-01,12,-3.59780474606063,-2.64902339292534,-0.948781353135292,148
2017-11-01,18,-10.5416269260628,-8.17111902533407,-2.37050790072877,145
2017-12-01,6,-2.82096750220258,-4.4709846500097,1.65001714780712,146
2017-12-01,12,-3.33367043829298,-2.55385400048838,-0.779816437804596,147
2017-12-01,18,-11.6126412614854,-10.0846517354617,-1.52798952602366,144
2018-01-01,6,-5.80665629853753,-7.43718958930873,1.6305332907712,147
2018-01-01,12,-6.37293858115474,-6.48037765485199,0.107439073697241,148
2018-01-01,18,-15.0333511138523,-13.9980167451666,-1.03533436868567,145
2018-02-01,6,-3.55576809220205,-3.3759741844918,-0.179793907710252,150
2018-02-01,12,-8.09319091650692,-7.86960317143152,-0.223587745075402,147
2018-02-01,18,-12.6189784933442,-10.2570840684611,-2.36189442488309,146
2018-03-01,6,-3.61596946588054,-3.55996248885556,-0.0560069770249738,148
2018-03-01,12,-7.90405071021929,-6.52903572689757,-1.37501498332172,145
2018-03-01,18,-13.3619308048969,-11.1905061057083,-2.17142469918858,145
2018-04-01,6,-2.62220302175102,-1.22296607182806,-1.39923694992296,148
2018-04-01,12,-7.59687665343131,-4.39214231266954,-3.20473434076177,145
2018-04-01,18,-14.659084173988,-13.3963648950752,-1.26271927891284,145
2018-05-01,6,-3.16899236885354,-1.42685984794734,-1.74213252090621,149
2018-05-01,12,-10.6882242918972,-6.41894714842746,-4.26927714346978,146
2018-05-01,18,-16.0909304965408,-12.4458837311287,-3.64504676541208,145
2018-06-01,6,-0.51313097024478,2.78989493625736,-3.30302590650214,148
2018-06-01,12,-10.4578396826231,-5.3731589305995,-5.08468075202358,145
2018-06-01,18,-15.082864256972,-9.7466470326632,-5.33621722430876,146
2018-07-01,6,-1.09669483949963,1.66581665819874,-2.76251149769837,148
2018-07-01,12,-11.1600991153544,-6.68395213203796,-4.47614698331648,145
2018-07-01,18,-14.1049829339858,-9.50406626548323,-4.6009166685026,146
2018-08-01,6,-4.11711393942851,-3.64159419966366,-0.475519739764857,148
2018-08-01,12,-9.83533766047571,-6.80965228631979,-3.02568537415591,147
2018-08-01,18,-15.4858335581502,-13.1361910506661,-2.34964250748411,147
2018-09-01,6,-4.02773768772532,-2.48626520250672,-1.5414724852186,149
2018-09-01,12,-10.0958545612377,-7.63364857980355,-2.46220598143415,149
2018-09-01,18,-15.7759377004557,-13.1192985828217,-2.65663911763402,150
2018-10-01,6,-4.50399668838662,-2.73820990495342,-1.7657867834332,151
2018-10-01,12,-11.7155281777504,-11.9181788811678,0.202650703417396,150
2018-10-01,18,-16.217532396024,-14.7199709155165,-1.4975614805075,151
2018-11-01,6,-6.88436885279638,-5.16914775355447,-1.71522109924191,149
2018-11-01,12,-11.6658267545244,-11.4405493725332,-0.225277381991239,149
2018-11-01,18,-15.6226081382877,-13.1978199241541,-2.42478821413358,151
2018-12-01,6,-8.85417384882914,-8.39355286465829,-0.460620984170845,149
2018-12-01,12,-13.0828012717896,-13.0596436182645,-0.0231576535251339,149
2018-12-01,18,-19.5990800653036,-20.2192338592619,0.620153793958313,150
2019-01-01,6,-10.1246383883577,-8.38355309897354,-1.74108528938416,151
2019-01-01,12,-13.3920189519627,-11.6764104034319,-1.71560854853079,151
2019-01-01,18,-25.0094976753234,-17.3858350680925,-7.6236626072309,150
2019-02-01,6,-6.46202418252327,-2.99227595888007,-3.4697482236432,150
2019-02-01,12,-13.0451808157336,-9.87336409210811,-3.17181672362553,150
2019-02-01,18,-26.2689018723662,-17.200701790113,-9.06820008225316,151
2019-03-01,6,-7.06104741180345,-5.66032745227262,-1.40071995953083,151
2019-03-01,12,-13.6943299887183,-11.9997829276292,-1.69454706108909,151
2019-03-01,18,-30.2888926823015,-20.8120499006969,-9.47684278160457,152
2019-04-01,6,-8.67586912635978,-10.3771737775484,1.70130465118867,151
2019-04-01,12,-12.9499627366193,-12.0584519118583,-0.891510824760955,151
2019-04-01,18,-29.743662560408,-22.5261020482134,-7.21756051219467,152
2019-05-01,6,-5.40839313618153,-6.67137329943951,1.26298016325799,148
2019-05-01,12,-10.7617222935172,-6.88824681664679,-3.87347547687044,150
2019-05-01,18,-26.4991068321874,-20.0524944206233,-6.4466124115641,152
2019-06-01,6,-4.61061726665759,-5.22052820423623,0.609910937578638,149
2019-06-01,12,-12.6884320461969,-9.82202070226986,-2.86641134392704,150
2019-06-01,18,-25.9883954253279,-22.167026355256,-3.82136907007189,151
2019-07-01,6,-3.38702961713337,-3.41982887353786,0.0327992564044872,150
2019-07-01,12,-14.9275766018931,-8.1815397448811,-6.74603685701203,151
2019-07-01,18,-23.5011702585368,-21.2460536854489,-2.25511657308786,151
2019-08-01,6,-6.39210578424157,-6.69323769320592,0.301131908964353,151
2019-08-01,12,-20.196064608517,-13.0327508840397,-7.16331372447724,152
2019-08-01,18,-26.8206977594896,-23.7659172896183,-3.05478046987139,151
2019-09-01,6,-6.49079102776714,-5.86201770749195,-0.628773320275191,154
2019-09-01,12,-23.2712194540997,-13.5788588697828,-9.69236058431691,153
2019-09-01,18,-25.7952706135223,-22.2746739284368,-3.52059668508557,152
2019-10-01,6,-4.41555687413386,-1.19688146760871,-3.21867540652514,157
2019-10-01,12,-22.4579263728931,-11.4467032757267,-11.0112230971664,153
2019-10-01,18,-17.1063479965277,-13.0433857783568,-4.0629622181709,153
2019-11-01,6,-5.14739862524096,0.778180062680988,-5.92557868792195,157
2019-11-01,12,-21.4262462891907,-12.1838599016826,-9.24238638750811,154
2019-11-01,18,-19.642492699847,-15.2929879411925,-4.34950475865453,153
2019-12-01,6,-7.80792618553183,-3.23429115698794,-4.57363502854389,159
2019-12-01,12,-22.1259168818862,-16.2681971480137,-5.85771973387253,156
2019-12-01,18,-24.6059952708417,-16.0810332400514,-8.52496203079035,153
2020-01-01,6,-11.765030574989,-3.9949434231928,-7.77008715179623,155
2020-01-01,12,-20.4059354868139,-17.1835138043674,-3.22242168244651,155
2020-01-01,18,-25.0852593393431,-17.7603504203861,-7.32490891895704,153
2020-02-01,6,-13.7380492403154,-7.19115675655324,-6.54689248376221,156
2020-02-01,12,-20.9947729724806,-16.873845914941,-4.12092705753957,156
2020-02-01,18,-25.3732243815297,-19.0368740560533,-6.33635032547644,155
2020-03-01,6,-16.7949373214062,-9.83386345898792,-6.96107386241827,156
2020-03-01,12,-19.8369446102279,-16.4840775451851,-3.35286706504281,156
2020-03-01,18,-23.0730083604767,-18.6078912396181,-4.46511712085855,155
2020-04-01,6,-17.1970479392694,-10.6170361375109,-6.58001180175853,156
2020-04-01,12,-11.7676364900168,-10.7261083281316,-1.04152816188516,156
2020-04-01,18,-20.8741889593292,-17.2246511234064,-3.64953783592283,156
2020-05-01,6,-16.1329359570048,-10.862892943316,-5.27004301368875,158
