state,horizon,state_value,state_sd_units,marginal_effect,se,ci_lower,ci_upper
predetermined,6,-27.8004591534614,-2,2.49857496824001,2.70965126236224,-1.95840473843015,6.95555467491018
predetermined,6,-26.4104361957883,-1.9,2.2864846275153,2.63602832361183,-2.04939612132442,6.62236537635503
predetermined,6,-25.0204132381152,-1.8,2.07439428679059,2.5635084545997,-2.14220189247849,6.29099046605967
predetermined,6,-23.6303902804422,-1.7,1.86230394606588,2.49218795145598,-2.23698044493124,5.96158833706301
predetermined,6,-22.2403673227691,-1.6,1.65021360534117,2.42217276192644,-2.3339060472166,5.63433325789895
predetermined,6,-20.850344365096,-1.5,1.43812326461646,2.35357938181661,-2.43317031788278,5.30941684711571
predetermined,6,-19.460321407423,-1.4,1.22603292389176,2.286535772531,-2.53498373471015,4.98704958249366
predetermined,6,-18.0702984497499,-1.3,1.01394258316704,2.22118227218603,-2.63957713335846,4.66746229969255
predetermined,6,-16.6802754920768,-1.2,0.801852242442336,2.15767246081069,-2.74720313049544,4.35090761538011
predetermined,6,-15.2902525344038,-1.1,0.589761901717626,2.09617392519469,-2.85813738185996,4.03766118529521
predetermined,6,-13.9002295767307,-1,0.377671560992916,2.03686885092025,-2.97267955606773,3.72802267805356
predetermined,6,-12.5102066190576,-0.9,0.165581220268206,1.97995434838535,-3.09115387087178,3.42231631140819
predetermined,6,-11.1201836613846,-0.8,-0.0465091204565034,1.9256423972765,-3.21390900182829,3.12089076091528
predetermined,6,-9.73016070371148,-0.7,-0.258599461181213,1.87415927213921,-3.34131713744413,2.8241182150817
predetermined,6,-8.34013774603841,-0.6,-0.470689801905923,1.82574429402362,-3.47377192581663,2.53239232200478
predetermined,6,-6.95011478836534,-0.5,-0.682780142630633,1.78064774496026,-3.61168504425147,2.24612475899021
predetermined,6,-5.56009183069228,-0.4,-0.894870483355342,1.73912779023341,-3.75548113685287,1.96574017014218
predetermined,6,-4.17006887301921,-0.3,-1.10696082408005,1.70144628611957,-3.90559091886694,1.69166927070684
predetermined,6,-2.78004591534614,-0.2,-1.31905116480476,1.66786341556971,-4.06244235316427,1.42434002355474
predetermined,6,-1.39002295767307,-0.1,-1.53114150552947,1.63863119587645,-4.22644997130267,1.16416696024373
predetermined,6,0,0,-1.74323184625418,1.61398603892999,-4.39800263623721,0.911538943728852
predetermined,6,1.39002295767307,0.1,-1.95532218697889,1.59414070466826,-4.57745030692345,0.666805932965668
predetermined,6,2.78004591534614,0.2,-2.1674125277036,1.57927614854317,-4.76509062859278,0.430265573185578
predetermined,6,4.17006887301921,0.3,-2.37950286842831,1.56953389103017,-4.96115638171254,0.20215064485592
predetermined,6,5.56009183069228,0.4,-2.59159320915302,1.56500959469427,-5.16580491719974,-0.0173815011063039
predetermined,6,6.95011478836534,0.5,-2.80368354987773,1.5657484927458,-5.37911063706446,-0.228256462690995
predetermined,6,8.34013774603841,0.6,-3.01577389060244,1.57174316230237,-5.60106133175166,-0.430486449453218
predetermined,6,9.73016070371148,0.7,-3.22786423132715,1.5829338926849,-5.83155878593431,-0.624169676719984
predetermined,6,11.1201836613846,0.8,-3.43995457205186,1.5992116068972,-6.07042358391961,-0.80948556018411
predetermined,6,12.5102066190576,0.9,-3.65204491277657,1.62042301061072,-6.31740357897524,-0.986686246577897
predetermined,6,13.9002295767307,1,-3.86413525350128,1.6463774226029,-6.57218512840067,-1.15608537860189
predetermined,6,15.2902525344038,1.1,-4.07622559422599,1.6768546200116,-6.8344059978224,-1.31804519062958
predetermined,6,16.6802754920768,1.2,-4.2883159349507,1.71161302002227,-7.10366881887169,-1.47296305102971
predetermined,6,18.0702984497499,1.3,-4.50040627567541,1.75039760015349,-7.37955411689503,-1.62125843445578
predetermined,6,19.460321407423,1.4,-4.71249661640012,1.79294709949689,-7.66163215593969,-1.76336107686054
predetermined,6,20.850344365096,1.5,-4.92458695712483,1.83900020642286,-7.94947311662398,-1.89970079762567
predetermined,6,22.2403673227691,1.6,-5.13667729784954,1.88830059352588,-8.2426553778852,-2.03069921781387
predetermined,6,23.6303902804422,1.7,-5.34876763857425,1.9406007880177,-8.54077188321004,-2.15676339393845
predetermined,6,25.0204132381152,1.8,-5.56085797929896,1.99566495686462,-8.84343472177768,-2.27828123682023
predetermined,6,26.4104361957883,1.9,-5.77294832002367,2.05327074111474,-9.15027814565958,-2.39561849438776
predetermined,6,27.8004591534614,2,-5.98503866074838,2.11321029886665,-9.46096028535039,-2.50911703614636
predetermined,12,-27.8004591534614,-2,0.333326702557595,4.58498926273962,-7.20830951579322,7.87496292090841
predetermined,12,-26.4104361957883,-1.9,0.0433368550531954,4.44022932014645,-7.26019044668597,7.34686415679236
predetermined,12,-25.0204132381152,-1.8,-0.246652992451205,4.29720325630137,-7.31492335432619,6.82161736942378
predetermined,12,-23.6303902804422,-1.7,-0.536642839955604,4.15609008214142,-7.37280268550296,6.29951700559175
predetermined,12,-22.2403673227691,-1.6,-0.826632687460004,4.01709139181693,-7.43416003308562,5.78089465816561
predetermined,12,-20.850344365096,-1.5,-1.1166225349644,3.88043441691434,-7.49936915977328,5.26612408984447
predetermined,12,-19.460321407423,-1.4,-1.4066123824688,3.74637542328118,-7.56885158537471,4.75562682043711
predetermined,12,-18.0702984497499,-1.3,-1.6966022299732,3.61520343753784,-7.64308271637475,4.24987825642835
predetermined,12,-16.6802754920768,-1.2,-1.9865920774776,3.48724425755264,-7.72259844257875,3.74941428762355
predetermined,12,-15.2902525344038,-1.1,-2.276581924982,3.36286465135167,-7.80800204370468,3.25483819374068
predetermined,12,-13.9002295767307,-1,-2.5665717724864,3.24247657650992,-7.89997112966394,2.76682758469113
predetermined,12,-12.5102066190576,-0.9,-2.8565616199908,3.12654115110432,-7.99926417219777,2.28614093221616
predetermined,12,-11.1201836613846,-0.8,-3.1465514674952,3.01557197299454,-8.10672596460847,1.81362302961807
predetermined,12,-9.73016070371148,-0.7,-3.4365413149996,2.91013721557934,-8.22329106897174,1.35020843897254
predetermined,12,-8.34013774603841,-0.6,-3.726531162504,2.81085973273621,-8.34998398874699,0.896921663738991
predetermined,12,-6.95011478836534,-0.5,-4.0165210100084,2.71841420595981,-8.48791447623779,0.454872456220991
predetermined,12,-5.56009183069228,-0.4,-4.3065108575128,2.63352020832166,-8.63826612382068,0.0252444087950803
predetermined,12,-4.17006887301921,-0.3,-4.5965007050172,2.55693001752909,-8.80227631821101,-0.390725091823386
predetermined,12,-2.78004591534614,-0.2,-4.8864905525216,2.48941018634381,-8.98120592649915,-0.791775178544047
predetermined,12,-1.39002295767307,-0.1,-5.176480400026,2.43171638388024,-9.17629791376872,-1.17666288628328
