book,h,b,se_bank,p_bank,p_wcb,n
baseline_excl_COVID_cats,1,0.667797564638175,0.242238472962602,0.012549143339771,,3894
baseline_excl_COVID_cats,2,1.1263662752314,0.501323481623586,0.0367325548153401,,3862
baseline_excl_COVID_cats,3,1.43452023791734,0.650164862629862,0.0398635508254531,,3830
baseline_excl_COVID_cats,4,1.54245936798509,0.81285991186981,0.0730549727511946,,3798
baseline_excl_COVID_cats,5,1.21299802421273,0.474055793780542,0.0191985068188643,,3758
baseline_excl_COVID_cats,6,0.971252667706619,0.431739622832565,0.0365210983706413,0.0301507537688442,3718
baseline_excl_COVID_cats,7,1.45652557021345,0.606070655314011,0.0266256921444855,,3678
baseline_excl_COVID_cats,8,1.46760491254942,0.685856216068912,0.0455619863834984,,3638
baseline_excl_COVID_cats,9,1.69474196127588,0.5965786427827,0.0108449424386543,,3596
baseline_excl_COVID_cats,10,2.00139688797185,0.611660151216434,0.00423431559034902,,3558
baseline_excl_COVID_cats,11,2.26725034332945,0.519344326450292,0.000372784818903741,,3520
baseline_excl_COVID_cats,12,2.43000599932067,0.481280436692072,9.89041641383898e-05,0,3480
baseline_excl_COVID_cats,13,2.23232354281948,0.449649133580488,0.000118012948673912,,3444
baseline_excl_COVID_cats,14,1.91156602012087,0.477449728961899,0.000919800478339136,,3408
baseline_excl_COVID_cats,15,1.86033820588455,0.515504483649423,0.00216724507186996,,3372
baseline_excl_COVID_cats,16,1.65634369846815,0.531768626086863,0.00630166397855993,,3336
baseline_excl_COVID_cats,17,1.48607000898258,0.565259360440027,0.017590892677458,,3300
baseline_excl_COVID_cats,18,1.71204867528125,0.603414316922015,0.0113759254336341,0.0150753768844221,3264
inclusive_addback,1,0.694181415332359,0.246989490070434,0.011163497542237,,3894
inclusive_addback,2,1.17796685417644,0.497202486916194,0.0285750169031475,,3862
inclusive_addback,3,1.44143248239041,0.654545149432004,0.040203200993995,,3830
inclusive_addback,4,1.57640732415021,0.802810602214139,0.0643794887998025,,3798
inclusive_addback,5,1.24541040033237,0.467004669684682,0.0152407427996832,,3758
inclusive_addback,6,1.08761574888754,0.434922739765464,0.0217078837084869,0.0402010050251256,3718
inclusive_addback,7,1.60421566056559,0.606410107432915,0.0159565440297917,,3678
inclusive_addback,8,1.64679436040577,0.679166546957276,0.0254589965032011,,3638
inclusive_addback,9,1.77455206684828,0.588701022904859,0.00744915297734291,,3596
inclusive_addback,10,2.04410366446552,0.610493560924411,0.0035785073854614,,3558
inclusive_addback,11,2.32947933630918,0.529360101144246,0.000345038335470347,,3520
inclusive_addback,12,2.50213980629531,0.502211883572505,0.000113728794970478,0,3480
inclusive_addback,13,2.2164126166625,0.480495432006713,0.000248217795194142,,3444
inclusive_addback,14,1.84198391661505,0.506377668919611,0.00203591395920315,,3408
inclusive_addback,15,1.71988397944927,0.565737606151297,0.00739442283912975,,3372
inclusive_addback,16,1.62493991885388,0.569734318266977,0.0110252003046583,,3336
inclusive_addback,17,1.48369287435061,0.598858064728575,0.0240260703301015,,3300
inclusive_addback,18,1.68708589686754,0.639428350831426,0.0172502943623482,0.0201005025125628,3264
