book,test,h,b,se_bank,p_bank,p_wcb,n
baseline_excl_COVID_cats,gradient,6,0.0732855137212875,0.325895147624723,0.824477698919509,0.829145728643216,28772
baseline_excl_COVID_cats,sharp_triple,6,-0.898532482027347,0.983239954359424,0.372248059933537,,19190
baseline_excl_COVID_cats,gradient,12,1.07442629941914,0.471353943985287,0.0358251232967682,0.0552763819095477,26482
baseline_excl_COVID_cats,sharp_triple,12,-1.56005856400693,1.44126586019474,0.294180033591416,,17616
baseline_excl_COVID_cats,gradient,18,1.18694233166606,0.608326089137135,0.0677172202292003,0.085427135678392,24434
baseline_excl_COVID_cats,sharp_triple,18,-1.11976358225327,1.72736129920448,0.525482632514106,,16214
inclusive_apportioned,gradient,6,0.0855034702489668,0.326935453289236,0.796497790317153,0.758793969849246,28790
inclusive_apportioned,sharp_triple,6,-0.96080160727747,0.964201157158151,0.331542065089406,,19230
inclusive_apportioned,gradient,12,1.0685844057574,0.4632532509417,0.0339302387954183,0.0452261306532663,26502
inclusive_apportioned,sharp_triple,12,-1.55881300078016,1.4289442091413,0.290544665373204,,17656
inclusive_apportioned,gradient,18,1.21876416491313,0.603325347226516,0.0594218904401611,0.0552763819095477,24454
inclusive_apportioned,sharp_triple,18,-1.13909886599376,1.72758155846751,0.518497383433417,,16254
