sample,method,variable,effective_weight,weight_share_abs,R2,n
postIT,FCI_COMP_PCA,Spread_mercado_TPM,-0.2935,0.1213,1,176
postIT,FCI_COMP_PCA,Crecimiento_creditos,0.335,0.1385,1,176
postIT,FCI_COMP_PCA,Ratio_Cred_Depo,-0.0343,0.0142,1,176
postIT,FCI_COMP_PCA,Morosidad,0.3718,0.1537,1,176
postIT,FCI_COMP_PCA,Rentabilidad,0.21,0.0868,1,176
postIT,FCI_COMP_PCA,Liquidez,0.0727,0.0301,1,176
postIT,FCI_COMP_PCA,TCN,0.2185,0.0903,1,176
postIT,FCI_COMP_PCA,Commodities,0.1604,0.0663,1,176
postIT,FCI_COMP_PCA,FFER,0.0555,0.0229,1,176
postIT,FCI_COMP_PCA,VIX,0.0164,0.0068,1,176
postIT,FCI_COMP_VAR,TPM,0.0651,0.089,0.95,176
postIT,FCI_COMP_VAR,Spread_activas_pasivas,0.0167,0.0227,0.95,176
postIT,FCI_COMP_VAR,Spread_mercado_TPM,0.0548,0.0749,0.95,176
postIT,FCI_COMP_VAR,Crecimiento_creditos,0.0942,0.1286,0.95,176
postIT,FCI_COMP_VAR,Ratio_Cred_Depo,0.0286,0.0391,0.95,176
postIT,FCI_COMP_VAR,Morosidad,0.082,0.1119,0.95,176
postIT,FCI_COMP_VAR,Rentabilidad,0.0795,0.1086,0.95,176
postIT,FCI_COMP_VAR,Liquidez,0.0247,0.0338,0.95,176
postIT,FCI_COMP_VAR,TCN,0.0788,0.1076,0.95,176
postIT,FCI_COMP_VAR,Commodities,0.0801,0.1094,0.95,176
postIT,FCI_COMP_VAR,FFER,0.0865,0.1181,0.95,176
postIT,FCI_COMP_VAR,VIX,0.0412,0.0563,0.95,176
postIT,FCI_COMP_DFM,TPM,8e-04,4e-04,1,176
postIT,FCI_COMP_DFM,Spread_activas_pasivas,-1e-04,0,1,176
postIT,FCI_COMP_DFM,Spread_mercado_TPM,-9e-04,4e-04,1,176
postIT,FCI_COMP_DFM,Crecimiento_creditos,0.0042,0.0018,1,176
