"variant","horizon","beta_FinDep","beta_Insulated","diff_F_minus_I","se","t","p_value","ci_lo","ci_hi","se_clusterdate","p_clusterdate","share_fin","share_ins","n_stacked","n_quarters","df"
"baseline",1,-2.03932453187923,-1.37602825085953,-0.663296281019698,1.25551679415586,-0.528305383175431,0.598351636984755,-3.15143587481191,1.82484331277251,1.17804734044798,0.574548589275947,0.56401109086827,0.43598890913173,224,112,110
"baseline",2,-1.90585231448448,-1.15918680808352,-0.746665506400961,1.20546842905047,-0.619398640733458,0.536946316350396,-3.13586474268271,1.64253372988079,0.966422507387005,0.441426645647524,0.56401109086827,0.43598890913173,222,111,109
"baseline",3,-2.0747205999567,0.0968341752154105,-2.17155477517211,0.999892720161561,-2.17178776421258,0.0320592864665519,-4.15351561122879,-0.189593939115431,1.11730362525689,0.0545498182475731,0.56401109086827,0.43598890913173,220,110,108
"baseline",4,-1.49658960610808,1.01506417365187,-2.51165377975995,0.931674695289424,-2.69584844630744,0.00815633894417239,-4.35859020211521,-0.664717357404694,1.46822275774694,0.0900387293603582,0.56401109086827,0.43598890913173,218,109,107
"baseline",5,1.29383832442577,3.63216909540357,-2.3383307709778,1.13055124283763,-2.06831029180836,0.0410446947505243,-4.57975856931326,-0.0969029726423329,1.58974828732077,0.144285648311416,0.56401109086827,0.43598890913173,216,108,106
"baseline",6,-0.0402284998495066,2.14264781377608,-2.18287631362559,1.27417478959392,-1.71316865743457,0.0896327165154948,-4.70932954791701,0.343576920665831,1.66661557824925,0.193133507524309,0.56401109086827,0.43598890913173,214,107,105
"baseline",7,0.815863936343082,1.90605610380822,-1.09019216746514,1.05236721939965,-1.03594272737521,0.302631626577091,-3.17707585517597,0.99669152024569,1.29362865070147,0.401308029799268,0.56401109086827,0.43598890913173,212,106,104
"baseline",8,1.06518983176921,2.01797625919453,-0.952786427425323,1.51223315661333,-0.630052596888634,0.530055442654761,-3.95194422547412,2.04637137062347,1.4426155207145,0.510434589743129,0.56401109086827,0.43598890913173,210,105,103
"drop_Agricultura",1,-2.03932453187923,-0.948227349096415,-1.09109718278282,0.935877927099628,-1.16585416878484,0.24619507784377,-2.94578756702287,0.763593201457236,0.877643795147896,0.216433034161763,0.56401109086827,0.36658915633444,224,112,110
"drop_Agricultura",2,-1.90585231448448,-0.67552142560826,-1.23033088887622,0.866556013981108,-1.41979383793538,0.158521467009024,-2.94781673662241,0.487154958869966,0.802223351592847,0.128012951000406,0.56401109086827,0.36658915633444,222,111,109
"drop_Agricultura",3,-2.0747205999567,0.237483331410642,-2.31220393136734,0.82524876187035,-2.80182659847552,0.00602355528488469,-3.94799014427928,-0.676417718455397,0.815907968147952,0.00548894121702847,0.56401109086827,0.36658915633444,220,110,108
"drop_Agricultura",4,-1.49658960610808,0.450056435247338,-1.94664604135542,0.966548721909997,-2.01401750085464,0.0465171343940233,-3.86271615413437,-0.0305759285764722,0.914674308241822,0.0356128030240935,0.56401109086827,0.36658915633444,218,109,107
"drop_Agricultura",5,1.29383832442577,2.61799535274286,-1.32415702831709,0.671522937462239,-1.97187162857196,0.0512297950173237,-2.65551656534245,0.00720250870827033,0.868491000122244,0.130321014312809,0.56401109086827,0.36658915633444,216,108,106
"drop_Agricultura",6,-0.0402284998495076,0.632456867004708,-0.672685366854216,0.76944222499728,-0.874250651966226,0.383977008507087,-2.19834716288167,0.852976429173237,0.956418965961258,0.483402077220234,0.56401109086827,0.36658915633444,214,107,105
"drop_Agricultura",7,0.815863936343082,0.849709652726172,-0.0338457163830894,0.727429767412968,-0.0465278132670572,0.962978793888209,-1.47636624304433,1.40867481027815,0.727013969407158,0.962957635941764,0.56401109086827,0.36658915633444,212,106,104
"drop_Agricultura",8,1.06518983176921,1.3671120409458,-0.30192220917659,0.931762498956329,-0.324033441477602,0.746569792428808,-2.14985336480119,1.54600894644801,0.922322793114634,0.744067687177,0.56401109086827,0.36658915633444,210,105,103
"drop_Ganaderia_fp",1,-1.95347262020918,-1.37602825085953,-0.577444369349652,1.31302421787754,-0.439781964024299,0.660957872520037,-3.17955017893837,2.02466144023906,1.23207669937524,0.64022895338528,0.530373804762989,0.43598890913173,224,112,110
"drop_Ganaderia_fp",2,-1.7501301358074,-1.15918680808352,-0.590943327723872,1.21117375031887,-0.487909622849979,0.62659385632316,-2.99145032527807,1.80956366983033,0.980890274503225,0.548121872708234,0.530373804762989,0.43598890913173,222,111,109
"drop_Ganaderia_fp",3,-1.94023436697299,0.0968341752154134,-2.0370685421884,1.00619960521791,-2.02451733396103,0.0453846845931907,-4.03153071856604,-0.04260636581076,1.12741133970797,0.0735692785698433,0.530373804762989,0.43598890913173,220,110,108
"drop_Ganaderia_fp",4,-1.54436195840712,1.01506417365187,-2.55942613205899,0.930748536235227,-2.74985781058714,0.00700138926592458,-4.40452655210707,-0.71432571201091,1.49313066722621,0.0893994671616395,0.530373804762989,0.43598890913173,218,109,107
"drop_Ganaderia_fp",5,1.30409638284711,3.63216909540357,-2.32807271255645,1.12073059622291,-2.07728130239553,0.0401924258894806,-4.55003012380481,-0.106115301308092,1.6095203089845,0.151004705684994,0.530373804762989,0.43598890913173,216,108,106
"drop_Ganaderia_fp",6,-0.0439655296061727,2.14264781377608,-2.18661334338225,1.25084368177498,-1.74811079533087,0.0833678189184722,-4.66680530073572,0.293578613971207,1.66880007862029,0.19295659482718,0.530373804762989,0.43598890913173,214,107,105
"drop_Ganaderia_fp",7,0.705018426931559,1.90605610380822,-1.20103767687666,1.06226913790791,-1.13063406816285,0.260809809461853,-3.30755724057357,0.905481886820239,1.330021499803,0.368601433547287,0.530373804762989,0.43598890913173,212,106,104
