y,horizon,coef,se,p_value,n_obs,share_pct
AG_FinDep,1,-2.03932453187923,1.14461459492578,0.0777219974175583,112,
AG_FinDep,2,-1.90585231448448,0.909018905905374,0.0384781004127171,111,
AG_FinDep,3,-2.0747205999567,0.804247153419884,0.0113132935422659,110,
AG_FinDep,4,-1.49658960610808,0.808921247039984,0.0672217206630502,109,
AG_FinDep,5,1.29383832442578,0.953924515599256,0.178048035555363,108,
AG_FinDep,6,-0.0402284998495055,0.908752838368294,0.96478009518954,107,
AG_FinDep,7,0.815863936343081,0.803373254938007,0.312345478924275,106,
AG_FinDep,8,1.06518983176921,0.564061384053841,0.0619564830209347,105,
AG_Insulated,1,-1.37602825085953,1.48376617464996,0.355871917549917,112,
AG_Insulated,2,-1.15918680808352,1.40212929294514,0.410299421101311,111,
AG_Insulated,3,0.0968341752154115,1.20365077971068,0.936036689729669,110,
AG_Insulated,4,1.01506417365187,1.23237509910246,0.412070679336069,109,
AG_Insulated,5,3.63216909540357,1.33986096386464,0.00789958436022404,108,
AG_Insulated,6,2.14264781377609,1.46881494198676,0.147796787879389,107,
AG_Insulated,7,1.90605610380822,1.2977950254965,0.14512006330809,106,
AG_Insulated,8,2.01797625919454,1.37605439546373,0.145748147652729,105,
AG_GroupDiff,1,-0.551371376321667,1.19250663638898,0.644786637164814,112,
AG_GroupDiff,2,-0.564961812038576,1.08547112492904,0.60384877454073,111,
AG_GroupDiff,3,-1.95228403712096,0.964997515036203,0.0456793442706526,110,
AG_GroupDiff,4,-2.27769630344743,0.86423962160661,0.00972597234378908,109,
AG_GroupDiff,5,-2.09385385886157,1.13886366812163,0.0689498805341234,108,
AG_GroupDiff,6,-2.06541530954383,1.18101830546156,0.0834176565776507,107,
AG_GroupDiff,7,-1.0810875815617,1.05932883668614,0.309985117761584,106,
AG_GroupDiff,8,-1.02437655718998,1.48654509827363,0.492406106846335,105,
AG_PIB,1,-1.7677292748259,1.16888746353242,0.133485914553985,112,100
AG_PIB,2,-1.58773291586628,1.01843321299932,0.122064835378489,111,100
AG_PIB,3,-1.07526725311941,0.908481961751368,0.239327766814342,110,100
AG_PIB,4,-0.302945821002026,0.941846818612707,0.748381952513971,109,100
AG_PIB,5,2.42199889516834,0.948057201811763,0.0121354487197739,108,100
AG_PIB,6,0.990488897209323,1.03230207015958,0.339646821419397,107,100
AG_PIB,7,1.33134069990656,0.932647948993815,0.156618978436966,106,100
AG_PIB,8,1.49574593432224,0.68430188859669,0.0312368854592199,105,100
