convention,h,b,se,p,n
baseline_t,1,0.383424013603132,0.169813710349754,0.0359108287634503,32688
baseline_t,2,0.600608207024018,0.32758346731797,0.0824506692965791,32280
baseline_t,3,0.699118764427506,0.386948308808647,0.0866655621193355,31886
lag1,1,0.531608265894503,0.166558619318294,0.00480250274479838,32688
lag1,2,1.074901747219,0.325173770506605,0.00371795455383422,32280
lag1,3,1.21118718517801,0.39089864183641,0.00591527592570473,31886
avg_t_t1,1,0.458169951727682,0.168041539952903,0.0133990287515585,32688
avg_t_t1,2,0.837327984380426,0.326274179471848,0.018892385415587,32280
avg_t_t1,3,0.956781808154262,0.388621640212181,0.0235495668090291,31886
