sample,series,n,adf_p,pp_p,kpss_p,verdict
full,FCI_OS_EXP (level),325,0.717,0.76,0.01,I(1)-consistent
full,FCI_OS_EXP (d1),324,0.01,0.01,0.1,I(0)-consistent
full,FCI_OS_ROLL (level),349,0.477,0.05,0.1,mixed/borderline
full,DXY (level),336,0.629,0.74,0.01,I(1)-consistent
postIT,FCI_OS_EXP (level),176,0.175,0.01,0.01,I(1)-consistent
postIT,FCI_OS_EXP (d1),175,0.01,0.01,0.1,I(0)-consistent
postIT,FCI_OS_ROLL (level),176,0.094,0.01,0.01,mixed/borderline
postIT,DXY (level),176,0.377,0.387,0.01,I(1)-consistent
