"horizon","beta_FinDep","beta_Insulated","diff_F_minus_I","se","t","p_value","ci_lo","ci_hi","se_clusterdate","p_clusterdate","n_stacked","n_quarters","df"
1,-2.03932453187923,-1.37602825085953,-0.663296281019698,1.25551679415586,-0.528305383175431,0.598351636984755,-3.15143587481191,1.82484331277251,1.17804734044798,0.574548589275947,224,112,110
2,-1.90585231448448,-1.15918680808352,-0.746665506400961,1.20546842905047,-0.619398640733458,0.536946316350396,-3.13586474268271,1.64253372988079,0.966422507387005,0.441426645647524,222,111,109
3,-2.0747205999567,0.0968341752154105,-2.17155477517211,0.999892720161561,-2.17178776421258,0.0320592864665519,-4.15351561122879,-0.189593939115431,1.11730362525689,0.0545498182475731,220,110,108
4,-1.49658960610808,1.01506417365187,-2.51165377975995,0.931674695289424,-2.69584844630744,0.00815633894417239,-4.35859020211521,-0.664717357404694,1.46822275774694,0.0900387293603582,218,109,107
5,1.29383832442577,3.63216909540357,-2.3383307709778,1.13055124283763,-2.06831029180836,0.0410446947505243,-4.57975856931326,-0.0969029726423329,1.58974828732077,0.144285648311416,216,108,106
6,-0.0402284998495066,2.14264781377608,-2.18287631362559,1.27417478959392,-1.71316865743457,0.0896327165154948,-4.70932954791701,0.343576920665831,1.66661557824925,0.193133507524309,214,107,105
7,0.815863936343082,1.90605610380822,-1.09019216746514,1.05236721939965,-1.03594272737521,0.302631626577091,-3.17707585517597,0.99669152024569,1.29362865070147,0.401308029799268,212,106,104
8,1.06518983176921,2.01797625919453,-0.952786427425323,1.51223315661333,-0.630052596888634,0.530055442654761,-3.95194422547412,2.04637137062347,1.4426155207145,0.510434589743129,210,105,103
