horizon,n,ar0_p_hac,ar_hac_lo,ar_hac_up,unbounded_below
6,318,0.0694593345944227,-155,-8,FALSE
12,312,6.35044562446198e-05,-395,-100,FALSE
18,306,0.00145414519549648,-347,-81,FALSE
24,300,0.0767345992740115,-239,-8,FALSE
