horizon,gamma,coef,se,p_value,ci_lower,ci_upper,first_stage_F,eff_F,partial_R2,ar_lo,ar_hi,n_obs
6,0,-64.6740520228603,27.5397022022759,0.019495042239734,-109.972831075437,-19.3752729702834,11.9704988052027,14.2460700544804,0.0378848621958932,-127,-39,318
6,-0.008452553960043,-63.0572007222888,27.2654912445143,0.0214060974973446,-107.904942886442,-18.2094585581359,11.9704988052027,14.2460700544804,0.0378848621958932,-124,-38,318
6,-0.016905107920086,-61.4403494217173,26.9952928459294,0.023543500980636,-105.843654769961,-17.0370440734732,11.9704988052027,14.2460700544804,0.0378848621958932,-121,-37,318
6,-0.025357661880129,-59.8234981211458,26.7292286923725,0.0259364403942086,-103.78916688141,-15.8578293608816,11.9704988052027,14.2460700544804,0.0378848621958932,-118,-36,318
6,-0.033810215840172,-58.2066468205742,26.4674234628162,0.0286179110976972,-101.741684299448,-14.6716093417006,11.9704988052027,14.2460700544804,0.0378848621958932,-115,-35,318
6,-0.042262769800215,-56.5897955200028,26.2100047815868,0.0316251687038605,-99.7014169474113,-13.4781740925942,11.9704988052027,14.2460700544804,0.0378848621958932,-112,-33,318
6,-0.050715323760258,-54.9729442194315,25.9571031542593,0.0350002176289831,-97.6685794878683,-12.2773089509946,11.9704988052027,14.2460700544804,0.0378848621958932,-109,-32,318
6,-0.059167877720301,-53.3560929188598,25.7088518858848,0.0387903325614925,-95.6433911881155,-11.0687946496039,11.9704988052027,14.2460700544804,0.0378848621958932,-106,-31,318
6,-0.067620431680344,-51.7392416182883,25.4653869799722,0.0430486074676874,-93.6260757540183,-9.85240748255833,11.9704988052027,14.2460700544804,0.0378848621958932,-103,-30,318
6,-0.076072985640387,-50.1223903177168,25.2268470167772,0.0478345237705466,-91.6168611298127,-8.62791950562095,11.9704988052027,14.2460700544804,0.0378848621958932,-101,-28,318
6,-0.08452553960043,-48.5055390171453,24.9933730095517,0.0532145256333646,-89.6159792616575,-7.39509877263306,11.9704988052027,14.2460700544804,0.0378848621958932,-98,-27,318
6,-0.092978093560473,-46.8886877165738,24.76510823728,0.0592625857864858,-87.6236658225095,-6.15370961063798,11.9704988052027,14.2460700544804,0.0378848621958932,-95,-26,318
6,-0.101430647520516,-45.2718364160023,24.5421980521097,0.0660607400165965,-85.6401598953762,-4.90351293662828,11.9704988052027,14.2460700544804,0.0378848621958932,-92,-24,318
6,-0.109883201480559,-43.6549851154307,24.3247896614754,0.0736995623354575,-83.6657036149401,-3.64426661592124,11.9704988052027,14.2460700544804,0.0378848621958932,-89,-23,318
6,-0.118335755440602,-42.0381338148591,24.1130318819665,0.0822785459797835,-81.7005417627081,-2.3757258670101,11.9704988052027,14.2460700544804,0.0378848621958932,-86,-22,318
6,-0.126788309400645,-40.4212825142878,23.9070748655344,0.0919063480705586,-79.7449213166624,-1.09764371191324,11.9704988052027,14.2460700544804,0.0378848621958932,-83,-20,318
6,-0.135240863360688,-38.8044312137162,23.7070697963458,0.102700848177988,-77.7990909526273,0.190228525194946,11.9704988052027,14.2460700544804,0.0378848621958932,-80,-19,318
6,-0.143693417320731,-37.1875799131447,23.5131685583544,0.114788963781902,-75.8633004974752,1.48814067118576,11.9704988052027,14.2460700544804,0.0378848621958932,-78,-18,318
6,-0.152145971280774,-35.5707286125732,23.3255233723699,0.128306159273079,-73.9378003321571,2.79634310701071,11.9704988052027,14.2460700544804,0.0378848621958932,-75,-16,318
6,-0.160598525240817,-33.9538773120018,23.1442864041553,0.143395580666363,-72.0228407470803,4.11508612307673,11.9704988052027,14.2460700544804,0.0378848621958932,-72,-15,318
6,-0.16905107920086,-32.3370260114302,22.9696093423475,0.160206746511126,-70.1186712478488,5.44461922498847,11.9704988052027,14.2460700544804,0.0378848621958932,-69,-13,318
6,-0.177503633160903,-30.7201747108587,22.8016429482648,0.17889372796848,-68.2255398147645,6.78519039304707,11.9704988052027,14.2460700544804,0.0378848621958932,-67,-12,318
6,-0.185956187120946,-29.1033234102872,22.6405365784635,0.199612758823223,-66.3436921175004,8.13704529692597,11.9704988052027,14.2460700544804,0.0378848621958932,-64,-11,318
6,-0.194408741080989,-27.4864721097156,22.4864376814105,0.222519230669844,-64.4733706872019,9.50042646777078,11.9704988052027,14.2460700544804,0.0378848621958932,-61,-9,318
6,-0.202861295041032,-25.869620809144,22.3394912712885,0.247764050738368,-62.6148140509737,10.8755724326856,11.9704988052027,14.2460700544804,0.0378848621958932,-58,-8,318
6,-0.211313849001075,-24.2527695085727,22.1998393809214,0.275489370408746,-60.7682558320214,12.262716814876,11.9704988052027,14.2460700544804,0.0378848621958932,-56,-6,318
6,-0.219766402961118,-22.6359182080011,22.0676204978309,0.305823731548645,-58.9339238220469,13.6620874060447,11.9704988052027,14.2460700544804,0.0378848621958932,-53,-5,318
6,-0.228218956921161,-21.0190669074295,21.9429689867553,0.338876724433596,-57.1120390313777,15.0739052165186,11.9704988052027,14.2460700544804,0.0378848621958932,-51,-3,318
6,-0.236671510881204,-19.402215606858,21.8260145031233,0.374733303303252,-55.3028147242159,16.4983835104998,11.9704988052027,14.2460700544804,0.0378848621958932,-48,-1,318
6,-0.245124064841247,-17.7853643062866,21.7168814024049,0.413447960323869,-53.5064554471072,17.935726834534,11.9704988052027,14.2460700544804,0.0378848621958932,-45,0,318
6,-0.25357661880129,-16.1685130057152,21.6156881505253,0.455039011439899,-51.7231560591587,19.3861300477284,11.9704988052027,14.2460700544804,0.0378848621958932,-43,2,318
6,-0.262029172761333,-14.5516617051436,21.5225467409562,0.499483292829739,-49.9531007732379,20.8497773629507,11.9704988052027,14.2460700544804,0.0378848621958932,-40,4,318
6,-0.270481726721376,-12.9348104045721,21.4375621242507,0.546711598301073,-48.1964622176435,22.3268414084992,11.9704988052027,14.2460700544804,0.0378848621958932,-38,6,318
6,-0.278934280681419,-11.3179591040006,21.3608316566706,0.596605199864118,-46.4534005291751,23.8174823211739,11.9704988052027,14.2460700544804,0.0378848621958932,-36,7,318
