spec,horizon,gamma,coef,se,p_value,ci_lower,ci_upper,first_stage_F,eff_F,partial_R2,ar_lo,ar_hi,n_obs
postIT_expandingFCI,1,0,-3.56790324796737,16.3663606447633,0.827706900148963,-30.4881709145021,23.3523644185673,10.5286356804549,9.41802555949997,0.0621053525157858,-26,17,173
postIT_expandingFCI,2,0,-17.7781376951331,22.8481059692431,0.437673014095115,-55.3599276676142,19.8036522773481,10.6543260392839,9.26917588334937,0.0631725630139023,-53,5,172
postIT_expandingFCI,3,0,-26.0449135852818,29.093087080775,0.372036270500805,-73.8987833893097,21.808956218746,10.5886464538265,8.68228119070104,0.0631823615613715,-73,-1,171
postIT_expandingFCI,4,0,-46.9853338421071,36.8183664483671,0.203803258406215,-107.546157433132,13.5754897489179,10.5209172279702,8.22401044355246,0.0631807547250469,-113,-17,170
postIT_expandingFCI,5,0,-64.6543824588796,42.6917997977253,0.131949539686059,-134.876144197254,5.56737927949504,9.91736557284401,7.59223406277026,0.0601353625701928,-149,-31,169
postIT_expandingFCI,6,0,-73.7028412288432,44.9269764428612,0.102941550369835,-147.601141378847,0.19545892116038,9.89344278848918,7.46012516433581,0.0603650922218838,-167,-38,168
postIT_expandingFCI,7,0,-96.5898765224933,52.15411256603,0.065951655782397,-182.375757737163,-10.8039953078236,9.24306152722421,6.80470547749972,0.0569704580289446,-221,-54,167
postIT_expandingFCI,8,0,-132.943475171815,70.1521258418479,0.0599812714030581,-248.333453801135,-17.5534965424957,7.29620589150133,4.8975451532962,0.0458027600260038,-300,-76,166
postIT_expandingFCI,9,0,-135.810903013849,68.1705660476403,0.0481494667127651,-247.941505828645,-23.6803001990529,9.21090305647258,5.9694611614764,0.0574923608864862,-300,-81,165
postIT_expandingFCI,10,0,-144.723044154829,73.7319661190661,0.051516267519444,-266.001336048038,-23.4447522616203,9.50293815611879,6.18894533100175,0.059578452071005,-300,-86,164
postIT_expandingFCI,11,0,-166.408267341794,83.6011490185946,0.0483647909440002,-303.91992052234,-28.8966141612485,9.4392356246772,6.24815542168549,0.0595763769464123,-300,-101,163
postIT_expandingFCI,12,0,-190.671301188716,92.526348611738,0.0410799313944811,-342.86360129131,-38.4790010861226,9.14140888592366,6.15639216382367,0.0581731381354729,-300,-117,162
postIT_expandingFCI,13,0,-199.478539486365,96.5816764709014,0.0406425832712884,-358.341260326581,-40.6158186461491,9.63584258782911,6.32620322232594,0.0615174817502328,-300,-124,161
postIT_expandingFCI,14,0,-198.090506995434,99.852046493536,0.0491487853104481,-362.332507828853,-33.848506162014,9.62689989068953,6.36141443804404,0.0618588425102045,-300,-123,160
postIT_expandingFCI,15,0,-205.610904511301,104.930619089871,0.0519728427495545,-378.206413899539,-33.0153951230636,9.56497522458966,6.3710840951449,0.0618831996750321,-300,-130,159
postIT_expandingFCI,16,0,-206.642351608524,106.999533809252,0.0554171516000007,-382.640922876788,-30.6437803402593,9.52825466992052,6.30010391513826,0.0620618966222594,-300,-131,158
postIT_expandingFCI,17,0,-202.966618708722,110.261898919848,0.0677281102541573,-384.33130306159,-21.6019343558542,9.56966189650636,6.20568386653947,0.0627232293599616,-300,-128,157
postIT_expandingFCI,18,0,-203.747000021306,112.19342280093,0.0714747031581807,-388.288758435515,-19.205241607097,9.4980823296453,6.05055214602004,0.0626944063158396,-300,-129,156
full_expandingFCI,6,0,-50.0013433095319,30.476959449713,0.101908938417583,-100.131480598845,0.128793979781385,18.8092462691615,12.8113280858633,0.0582673714788151,-94,-22,318
full_rollingFCI_baseline,6,0,-64.6740520228603,27.5397022022759,0.019495042239734,-109.972831075437,-19.3752729702834,11.9704988052027,14.2460700544804,0.0378848621958932,-127.5,-39,318
full_expandingFCI,12,0,-181.186900801971,58.4309784596837,0.00211413346427839,-277.297307647705,-85.0764939562369,17.8746141447494,10.8180772024665,0.056587688102591,-250,-124,312
full_rollingFCI_baseline,12,0,-149.585672762961,44.4899047232405,0.00087407141496746,-222.765053909708,-76.4062916162131,12.0527353998938,13.3966441741876,0.0388731787331231,-250,-98.5,312
full_expandingFCI,18,0,-224.36296534618,98.6515454345372,0.0236735373034042,-386.630317658546,-62.0956130338132,17.9399300900932,9.79064500943879,0.057881958239064,-250,-155.5,306
full_rollingFCI_baseline,18,0,-153.736573590448,47.1228713592135,0.00123553930671159,-231.246799458018,-76.2263477228786,11.3218729478966,11.3128152079795,0.0373262661141532,-250,-100,306
