group,h,b,se_bank,p_bank,se_twoway,p_twoway,se_dk,p_dk,n
hedged,1,0.196753637466256,0.349919242045673,0.580858791120652,0.376874321942358,0.601623698973195,0.397107796828213,0.620270815058842,6066
hedged,2,0.410093071319033,0.42122004353294,0.343166135869101,0.423236971902753,0.332572957423233,0.45644852075952,0.368949312089699,6008
hedged,3,0.684366497624066,0.532652372547913,0.215141016967667,0.549338597099696,0.212837513165872,0.577949563890124,0.236362235914347,5948
hedged,4,0.768752396793932,0.550224509037356,0.17935193122949,0.587265183254369,0.19052150452847,0.819663942085339,0.348302333446483,5888
hedged,5,0.697361112669339,0.60319997425925,0.262753990966947,0.693819055425855,0.314846215739551,1.10913193730256,0.529516040370719,5812
hedged,6,0.973699112822022,0.628438033312139,0.138689731426952,0.739278584951969,0.1878072429748,1.24477570726626,0.434080261060208,5736
hedged,7,1.18187457825386,0.62577905907819,0.0751632380621445,0.648200929898791,0.0682556724494977,1.22082596116626,0.332997307437195,5662
hedged,8,1.25659884219232,0.728777419784731,0.101792458599675,0.758488788013891,0.0975773516485369,1.41629562732131,0.374947911131408,5586
hedged,9,1.39430206659293,0.800286256410279,0.0995245203426727,0.932898632611349,0.135021169842602,1.63091402402032,0.392595081501395,5508
hedged,10,1.88139686394517,0.965780425997684,0.0681140330127299,1.17271315725729,0.108645471432572,1.69817735634275,0.267908522982554,5436
hedged,11,1.90585858433937,0.902201071505281,0.049744788887263,1.14785965606787,0.0968423452305013,1.74094569721521,0.273636678033482,5368
hedged,12,2.0609312166795,0.93654693288407,0.0427995834310719,1.23534994113124,0.0952566842527494,2.02466379113533,0.308719391528098,5298
hedged,13,1.93232639179826,0.786504820362953,0.0258161349145993,1.1547737663502,0.0942608494762588,2.13150120886937,0.36464134520704,5232
hedged,14,1.77963501377175,0.946548421660668,0.0784236643593743,1.27509629791337,0.162808844685906,2.11810958767498,0.400796433570976,5166
hedged,15,1.85056882201313,0.95020845599528,0.0692382935564926,1.25486252595831,0.140288274533854,2.37464102717652,0.435800269348664,5100
hedged,16,1.43322865652512,0.93693063092051,0.145618592370462,1.21885113961692,0.239640871676375,2.08846930759932,0.49255046323507,5036
hedged,17,1.42196054170392,0.969564036009395,0.161864422430534,1.25689385412098,0.257916617758024,2.13265326494205,0.504927648187544,4972
hedged,18,1.64586685968203,0.877006633648658,0.0789209227530914,1.25195917200976,0.188633269170669,2.16386013782968,0.446886400331975,4908
unhedged,1,0.446513492082516,0.260950690533313,0.103339492653308,0.295247102224209,0.130447829783311,0.360981563165678,0.216108373889516,14402
unhedged,2,0.771164723002301,0.39728662854337,0.0672305680789814,0.466059380490343,0.0979957025461722,0.592463444077689,0.193044902260063,14224
unhedged,3,0.693289345595673,0.491524866928813,0.174558558305979,0.573732207107185,0.226899238637761,0.765813745687288,0.365307747827043,14046
unhedged,4,0.338027420918093,0.620701627992594,0.592371049241348,0.658129376381353,0.607518745023769,0.70981745521777,0.633919506611814,13874
unhedged,5,0.291137252832317,0.594217715153944,0.629778412872209,0.661171648988011,0.659694237692762,0.828842703572874,0.725395142693534,13666
unhedged,6,0.0344793762039536,0.730775462171098,0.962860662478943,0.789049029094299,0.965145626730218,1.13904243560669,0.975851328868141,13454
unhedged,7,0.518834032660653,0.937570839683502,0.586455941977119,0.971798395770546,0.593417223044685,1.1681463351457,0.656933001522966,13262
unhedged,8,0.514013277562545,0.998781643260212,0.612739273697653,1.05148322609454,0.624950790191813,1.292638789312,0.690890786202286,13066
unhedged,9,0.200830847486236,0.94927495738514,0.834825409450533,0.996806637754187,0.840327779571149,1.27295980689502,0.874640528400249,12864
unhedged,10,0.610918994458185,0.948754965335301,0.527749879471672,1.10510426944451,0.580389614147104,1.41529811745518,0.665992955821079,12680
unhedged,11,0.777598240822265,0.979208960522893,0.43747697303671,1.15135891456444,0.499437978382733,1.64155924512112,0.635717491404429,12498
unhedged,12,0.428229940716499,0.985784187086707,0.669457627886624,1.14668314916604,0.708812826110694,1.73271588473054,0.804796958516143,12318
unhedged,13,0.256548091196443,1.01018881964039,0.8025722067874,1.25682557745429,0.838256707423077,2.12346434525943,0.903836917450544,12138
unhedged,14,-0.161291660607643,0.988421475829874,0.872300030873348,1.21868078982799,0.894707942407554,2.08333890915273,0.938289597978216,11964
unhedged,15,-0.169072390695534,1.03291024541953,0.871909009546533,1.26665873071675,0.893814540019516,1.86590342799046,0.927801258828735,11796
unhedged,16,-0.158611465761846,0.978322925693042,0.873118125988881,1.27644418424247,0.901109099932197,2.04609147724563,0.938210482336519,11632
unhedged,17,-0.168100005849578,1.03176479820899,0.872498747759233,1.36512322449819,0.901996972408559,2.15688229393253,0.93787850996516,11470
unhedged,18,0.372299511290706,1.11666137082903,0.742906138105113,1.46702542988005,0.799666685240427,2.39354361257233,0.876393073825759,11306
