h,b,se_bank,p_bank,n
3,0.12707024944067,0.251277585087496,0.619965037521705,20991
6,0.309176001398365,0.348737932097543,0.388449088100018,20407
12,0.818838381503043,0.411448715009996,0.063944632038442,19164
