h,b,se_bank,p_bank,se_twoway,p_twoway,se_dk,p_dk,p_wcb_month,n
3,-0.107445662258623,0.218865886854079,0.629105132296364,0.237467943708204,0.650934851501644,0.360112018926384,0.765422819576022,,29932
6,0.0732855137212875,0.325895147624723,0.824477698919509,0.337080765643976,0.827887025215965,0.591843426636037,0.901453166189755,,28772
12,1.07442629941914,0.471353943985287,0.0358251232967682,0.473451900195522,0.0232472774002278,0.708777222794649,0.129547884683256,0.0510510510510511,26482
18,1.18694233166606,0.608326089137135,0.0677172202292003,0.690584608697305,0.0856598940490651,0.575238034728549,0.0390752718945202,0.121121121121121,24434
