variant,shock,h,b,se_bank,p_bank,se_twoway,p_twoway,se_dk,p_dk,p_wcb_month,n
sym,DXY,3,-0.120376727740848,0.215364217880683,0.58272807154131,0.233884460230913,0.606773442855727,0.355299521631952,0.734757751163352,,29932
sym,DXY,6,0.0748246604896137,0.322015735541155,0.818740340898811,0.331660404022111,0.821507678286061,0.58378847071322,0.898013773555277,,28772
sym,DXY,12,1.06003567056667,0.46756772283574,0.0367136785095113,0.46957208184588,0.0239799472465791,0.709337039707076,0.135070218353634,0.0599059905990599,26482
sym,DXY,18,1.18779863612656,0.606101371935204,0.06663134700272,0.688071823510695,0.084298617429625,0.586538230252407,0.0428570853585773,0.107610761076108,24434
sym,VIX,3,0.255553031679852,0.222809163568507,0.265637305279005,0.233025601324847,0.272784088632385,0.301320358067698,0.396376301232861,,29932
sym,VIX,6,-0.0430569342605239,0.268100247287237,0.874103587764632,0.063146412676787,0.495328268468427,0.388995714464323,0.911864217505059,,28772
sym,VIX,12,0.161348925925425,0.254027631055239,0.533778848032821,0.274284979422498,0.556362575917959,0.49263444207323,0.743272633038769,0.824582458245825,26482
sym,VIX,18,-0.316128252599134,0.351090543451348,0.380476675670154,0.135582940342358,0.0197205520002199,0.646130095546942,0.624654741491547,0.414841484148415,24434
mutual,DXY,3,-0.105716910597659,0.219172354199424,0.635070266058423,0.237958721053313,0.656850457758971,0.360695767583018,0.769452113985299,,29932
mutual,DXY,6,0.0772500003443304,0.32596062028248,0.815199606068244,0.337214174041159,0.818804485216918,0.592185963368131,0.896211290056715,,28772
mutual,DXY,12,1.07846956153041,0.470102072807821,0.0347930234536506,0.472509074898801,0.0224638817483441,0.710885424798111,0.129246664216242,0.0552055205520552,26482
mutual,DXY,18,1.18602609090596,0.606519709232767,0.0671706541784621,0.689400161720323,0.0853644860231567,0.576702461595314,0.0397280890027667,0.107010701070107,24434
mutual,VIX,3,0.253700617862589,0.223395038845218,0.270222251412059,0.23458257670025,0.279475592384373,0.303814188459262,0.403688482505408,,29932
mutual,VIX,6,-0.0408739814304642,0.269293091391999,0.880958556142238,0.0669648288693224,0.54161022054486,0.392694556368693,0.917101149720376,,28772
mutual,VIX,12,0.183232240050489,0.2549602038511,0.482106283274883,0.267586380204237,0.493495874823609,0.488335150541804,0.707498189842401,0.791079107910791,26482
mutual,VIX,18,-0.292371757805019,0.351843726522326,0.417509033767251,0.139978057061937,0.0367350006828648,0.646718686273599,0.651207815544961,0.448644864486449,24434
