variant,param,h,b,se_bank,p_bank,p_wcb,se_dk,p_dk,n
sharp,shk_usd,1,0.279663410023905,0.34640288942824,0.429464749034296,,0.393939788223406,0.477757406455502,20468
sharp,shk_usd_unh,1,0.222953670162558,0.443554507258567,0.620985141005353,,0.450646862304831,0.62078265727977,20468
sharp,shk_usd,2,0.555646300782374,0.422184519043089,0.203791445530143,,0.477795606245815,0.244854969153065,20232
sharp,shk_usd_unh,2,0.317892205708982,0.626544387181281,0.617731236380202,,0.829413617784202,0.701517034492623,20232
sharp,shk_usd,3,0.868678341075146,0.527906288353593,0.116305806356052,,0.617530810493625,0.159517446644649,19994
sharp,shk_usd_unh,3,-0.0044287550009245,0.736236973167576,0.99526315073258,0.994994994994995,0.881185827418072,0.995989926015044,19994
sharp,shk_usd,4,1.02894228618256,0.539145327419838,0.0715555760143694,,0.884914580110187,0.244927344872628,19762
sharp,shk_usd_unh,4,-0.431436922989026,0.845228374133325,0.615623637027645,,0.929267213401988,0.642449663381728,19762
sharp,shk_usd,5,0.954803912055571,0.577785935766002,0.114857810790638,,1.1684698519973,0.413848202648696,19478
sharp,shk_usd_unh,5,-0.432782581914259,0.840116788497772,0.612392759503816,,1.18294288040197,0.714475160004288,19478
sharp,shk_usd,6,1.27645762448767,0.620240301135148,0.053573731785065,,1.33368258553111,0.338520559541032,19190
sharp,shk_usd_unh,6,-0.898532482027347,0.983239954359424,0.372248059933537,0.385385385385385,1.43530721658956,0.531301156769553,19190
sharp,shk_usd,7,1.55205799040482,0.60484306490153,0.0189036969864173,,1.3795636909007,0.260574033218391,18924
sharp,shk_usd_unh,7,-0.604339772834021,1.1176371647391,0.59497691022007,,1.2220442415453,0.620930633989142,18924
sharp,shk_usd,8,1.70099631444084,0.694793640127985,0.0242397882934113,,1.6016492466394,0.288222983061333,18652
sharp,shk_usd_unh,8,-0.655921426421998,1.18039626915343,0.584914861576327,,0.879140715211532,0.455610761588136,18652
sharp,shk_usd,9,1.90921678234748,0.819704832734761,0.0316975054215298,,1.87805813927684,0.30934809303553,18372
sharp,shk_usd_unh,9,-1.18780769364364,1.19637648844958,0.333949050210388,,1.1752730975438,0.312176668394868,18372
sharp,shk_usd,10,2.32949437672277,1.05728810025694,0.0408412626007889,,2.01260932875874,0.247088615100777,18116
sharp,shk_usd_unh,10,-1.26612291601852,1.3798757616728,0.370979230014971,,1.42206985286239,0.373284389673136,18116
sharp,shk_usd,11,2.33782045713629,1.00454820675859,0.0318211568576533,,2.11172875434887,0.268265936272188,17866
sharp,shk_usd_unh,11,-1.1025279220123,1.45964583697051,0.459815871224302,,1.65829083268224,0.506141323036376,17866
sharp,shk_usd,12,2.44151843876072,0.97934211419143,0.0232779090242733,,2.44009469301507,0.317028220224798,17616
sharp,shk_usd_unh,12,-1.56005856400693,1.44126586019474,0.294180033591416,0.287287287287287,2.07584372651243,0.452333831829901,17616
sharp,shk_usd,13,2.33091193045647,0.748949946472696,0.00633611345909937,,2.53948690465376,0.358688355029418,17370
sharp,shk_usd_unh,13,-1.58183020161576,1.37116555604252,0.264610267297707,,1.73361760289549,0.361534665364927,17370
sharp,shk_usd,14,2.14652464338396,0.794375447124491,0.0151069605543056,,2.53518867771754,0.397166671306098,17130
sharp,shk_usd_unh,14,-1.81487536030519,1.3542785013167,0.197849019874149,,1.65475266957328,0.272743988870575,17130
sharp,shk_usd,15,2.14425819636343,0.706127535492384,0.00744879464162129,,2.74843668333531,0.43528860200585,16896
sharp,shk_usd_unh,15,-1.8925609483114,1.27826487247344,0.157016451335948,,1.1939912987308,0.112950210026795,16896
sharp,shk_usd,16,1.71581843463968,0.731829960022496,0.0314518548261873,,2.47043570910216,0.487343112981752,16668
sharp,shk_usd_unh,16,-1.47575193197086,1.36927787894025,0.296197562825691,,0.840232713822103,0.0790267952460963,16668
sharp,shk_usd,17,1.63190332105653,0.847716936779916,0.0711212741434394,,2.53063836219002,0.519018973826815,16442
sharp,shk_usd_unh,17,-1.42587071435074,1.59419702534468,0.383589455971725,,0.937230967313077,0.128168180293747,16442
