h,b,se_bank,p_bank,se_twoway,p_twoway,se_dk,p_dk,p_wcb_month,n
3,0.494587765310913,0.219370114934363,0.0361548933349119,0.135066602393587,0.000250442977328521,0.226007882126983,0.0286430171408362,,29932
6,0.263084947991491,0.336479170563527,0.443922585438377,0.139683294168215,0.0596409146612086,0.301476293455783,0.382850875473415,,28772
12,0.667450845498164,0.336910148070277,0.0639941661262655,0.155102894999875,1.68289616524513e-05,0.292389734254035,0.0224454656596244,0.322632263226323,26482
18,0.181466178886702,0.29905040724795,0.5519970180886,0.286032294213918,0.525803177734339,0.494641975044838,0.713720698982572,0.676967696769677,24434
