draw,beta12_perm,beta12_obs,p_perm
1,-0.116057625045617,1.3473959804755,0.182
2,0.577720662401976,1.3473959804755,0.182
3,0.234355991019497,1.3473959804755,0.182
4,0.244006797277576,1.3473959804755,0.182
5,0.059467781570186,1.3473959804755,0.182
6,0.498598741389245,1.3473959804755,0.182
7,-1.40321465144705,1.3473959804755,0.182
8,1.29050537358076,1.3473959804755,0.182
9,-0.144873121101019,1.3473959804755,0.182
10,1.38066131419765,1.3473959804755,0.182
11,0.571910847738249,1.3473959804755,0.182
12,1.80775988887473,1.3473959804755,0.182
13,-0.164745164939613,1.3473959804755,0.182
14,0.212595914238014,1.3473959804755,0.182
15,-0.274420704159446,1.3473959804755,0.182
16,0.454390599919786,1.3473959804755,0.182
17,0.394744693146517,1.3473959804755,0.182
18,1.13712334964214,1.3473959804755,0.182
19,0.498064448093629,1.3473959804755,0.182
20,-0.391283017945518,1.3473959804755,0.182
21,0.87544295044209,1.3473959804755,0.182
22,1.1812991416744,1.3473959804755,0.182
23,-0.767805429493664,1.3473959804755,0.182
24,1.07695680291092,1.3473959804755,0.182
25,-0.113735734379666,1.3473959804755,0.182
26,0.620596902817357,1.3473959804755,0.182
27,-2.13382255636208,1.3473959804755,0.182
28,0.915461721853542,1.3473959804755,0.182
29,0.143332055271902,1.3473959804755,0.182
30,0.439851026288515,1.3473959804755,0.182
31,-2.09318186995581,1.3473959804755,0.182
32,0.195691212409171,1.3473959804755,0.182
33,-0.56636686898727,1.3473959804755,0.182
34,-1.39563730357823,1.3473959804755,0.182
35,0.640662500404873,1.3473959804755,0.182
36,0.85520879288947,1.3473959804755,0.182
37,-0.589708724171163,1.3473959804755,0.182
38,-0.790538811481138,1.3473959804755,0.182
39,2.02707849533562,1.3473959804755,0.182
40,-0.235065113630319,1.3473959804755,0.182
41,0.140998505018885,1.3473959804755,0.182
42,-0.107692776719286,1.3473959804755,0.182
43,0.892370529276847,1.3473959804755,0.182
44,-2.87412937395639,1.3473959804755,0.182
45,-0.245372167112476,1.3473959804755,0.182
46,-0.0719923008926354,1.3473959804755,0.182
47,0.892865851226897,1.3473959804755,0.182
48,0.835631054466729,1.3473959804755,0.182
49,-0.322043881060955,1.3473959804755,0.182
50,0.604757704388599,1.3473959804755,0.182
51,-1.90209591899249,1.3473959804755,0.182
52,-1.11853549388584,1.3473959804755,0.182
53,-0.247312412279501,1.3473959804755,0.182
54,-0.132282572762153,1.3473959804755,0.182
55,-0.422020076306553,1.3473959804755,0.182
56,0.189771620967346,1.3473959804755,0.182
57,0.647834366445919,1.3473959804755,0.182
58,-0.733357853218723,1.3473959804755,0.182
59,0.122373092371861,1.3473959804755,0.182
60,0.265044306445577,1.3473959804755,0.182
61,-0.328732554087853,1.3473959804755,0.182
62,1.08240491321659,1.3473959804755,0.182
63,0.114554385289685,1.3473959804755,0.182
64,-0.165749505348289,1.3473959804755,0.182
65,0.360989485209718,1.3473959804755,0.182
66,-0.47689230157132,1.3473959804755,0.182
67,0.269414274166659,1.3473959804755,0.182
68,1.40248728999275,1.3473959804755,0.182
69,-0.75187608770446,1.3473959804755,0.182
70,1.87209387699914,1.3473959804755,0.182
