h,b,se_bank,p_bank,n
6,0.00370419085951987,0.00201534135224284,0.0817512425236447,20916
12,-0.00585368756493043,0.00325458939679146,0.0879897852402546,20916
18,0.0263052139068726,0.00437656428646369,8.7819086705002e-06,20916
