group,h,b,se_bank,p_bank,n
hedged,1,0.256386178117985,0.350755053268022,0.474214942724412,6066
hedged,2,0.518969859161694,0.420649156862541,0.233168897971367,6008
hedged,3,0.849263821155572,0.532088907110876,0.127874723668554,5948
hedged,4,1.01496298338368,0.550679995797752,0.0818440269267459,5888
hedged,5,0.913400333999933,0.602227880745749,0.146707909770438,5812
hedged,6,1.28120195200694,0.628782409370836,0.0565654750017391,5736
hedged,7,1.56340731145223,0.626650306811207,0.0225473773924863,5662
hedged,8,1.72681971898913,0.728725462383438,0.0291863775616155,5586
hedged,9,1.87677097811855,0.800850784953101,0.0315206116175842,5508
hedged,10,2.29946726841649,0.967983707176929,0.029551834959216,5436
hedged,11,2.3219360170143,0.904354211514149,0.019976377926496,5368
hedged,12,2.45871925112322,0.936378734913585,0.0183532482577982,5298
hedged,13,2.35766780031343,0.78351787757019,0.00832037146276489,5232
hedged,14,2.1930435397644,0.938041799191282,0.0327091770825527,5166
hedged,15,2.18786087104078,0.933703160406346,0.0323675693536513,5100
hedged,16,1.74777744378426,0.926889724534602,0.0776345197823266,5036
hedged,17,1.69951072254162,0.97025953552495,0.0989838889123282,4972
hedged,18,1.87028177372865,0.881220003551746,0.0497636561991574,4908
unhedged,1,0.498925240996397,0.261442051638921,0.071570635584751,14402
unhedged,2,0.865942391546441,0.396987412531502,0.0419314117260058,14224
unhedged,3,0.844916356189332,0.490689223505265,0.101328871882716,14046
unhedged,4,0.566023784891221,0.61893628291877,0.371909124357039,13874
unhedged,5,0.486568571347742,0.591674349087079,0.421073851218464,13666
unhedged,6,0.323239172262059,0.730220156279628,0.663010065235486,13454
unhedged,7,0.886393434497659,0.937052567873052,0.356056023216943,13262
unhedged,8,0.97489489321212,1.00025431845146,0.341981891808577,13066
unhedged,9,0.669512565422852,0.947288117923493,0.488760071338354,12864
unhedged,10,1.01801768246541,0.94619789476342,0.296180537505935,12680
unhedged,11,1.18491994380248,0.976364350625133,0.240583810205945,12498
unhedged,12,0.82191060137453,0.986165452820296,0.416153085554086,12318
unhedged,13,0.690864246579188,1.01163895528993,0.503861167383968,12138
unhedged,14,0.26485796465375,0.994261309947223,0.793145540012444,11964
unhedged,15,0.175041422753071,1.03993542001825,0.868318247342506,11796
unhedged,16,0.174906226129519,0.986152816875561,0.86131998666771,11632
unhedged,17,0.139481822305357,1.0396258954748,0.894847353491915,11470
unhedged,18,0.626270067930873,1.13018253605653,0.586704794545378,11306
