shock,h,b,se_bank,p_bank,p_wcb,se_twoway,p_twoway,se_dk,p_dk,n,n_banks
purged_DXY,1,0.330240144921144,0.169057951862936,0.0656561315502847,0.0605060506050605,0.222390418954719,0.137555291920129,0.304917080796433,0.278786666276075,32688,20
purged_DXY,2,0.501828685261021,0.326887759965998,0.141226680139256,0.112211221122112,0.389952552806591,0.198130267151423,0.447554381907101,0.262173537517131,32280,20
purged_DXY,3,0.543702242315215,0.38669522394278,0.175861101596313,0.158515851585159,0.478548205263256,0.25589405547964,0.560358970641119,0.331909486711653,31886,20
purged_DXY,4,0.410892108147147,0.470518881652844,0.393416967233408,0.423042304230423,0.5298880971642,0.438084520199428,0.619929046537636,0.507455413276738,31508,20
purged_DXY,5,0.258534562553702,0.454835142454452,0.576411219944472,0.591359135913591,0.503572705056725,0.607671079260979,0.708207866311545,0.715070625099975,31042,20
purged_DXY,6,0.20449236291192,0.535764537904122,0.706931439975593,0.708770877087709,0.586334404323819,0.7272664528775,0.921825978811551,0.824443094813585,30590,20
purged_DXY,7,0.530741434242875,0.695717897755411,0.454909626967966,0.481048104810481,0.713423575150313,0.456915234251872,0.949426852043353,0.576153220841753,30160,20
purged_DXY,8,0.258832343137034,0.748076881802208,0.73314677468978,0.747174717471747,0.792124608404434,0.743851605930844,1.05357733078575,0.805937696900345,29722,20
purged_DXY,9,0.182522531657652,0.782830404095157,0.818270184838126,0.828282828282828,0.901566206555531,0.839564550313707,1.36822937050336,0.893876621379456,29274,19
purged_DXY,10,0.576262602870764,0.930478853064635,0.543466726349479,0.554355435543554,1.13492469313964,0.611625842088396,1.78072435554192,0.746232298119986,28860,19
purged_DXY,11,1.15369036368785,0.915310077980993,0.223607101978219,0.22022202220222,1.12629710454776,0.305683435999971,1.73713228621219,0.506603906123295,28456,19
purged_DXY,12,1.3473959804755,0.867287936924539,0.138704029771457,0.145314531453145,1.05344098083985,0.200882025035615,1.65257586500677,0.414882990635614,28048,18
purged_DXY,13,1.24005814084123,0.977915546824615,0.221867869801246,0.231823182318232,1.22252224267151,0.310418620309424,1.96207335007492,0.527377624332035,27670,18
purged_DXY,14,0.740823521276962,1.05829470114235,0.493386287180485,0.500650065006501,1.31443506289155,0.573022285349222,1.87713991249298,0.69309717551078,27298,18
purged_DXY,15,0.944429940438661,0.971577678844212,0.34465054251659,0.34973497349735,1.21831540753801,0.438225447018212,1.885361754101,0.616422002052725,26922,18
purged_DXY,16,0.840217323790371,1.00549035471927,0.414954201107219,0.433543354335434,1.32414115521683,0.525730049850535,2.01450993446257,0.676617888951045,26552,18
purged_DXY,17,0.773247055078585,1.06117900843894,0.476123896764178,0.494249424942494,1.38305530259,0.576102931103406,2.097180732564,0.71234547699306,26192,18
purged_DXY,18,1.16407115426247,1.01447115973457,0.267081809674697,0.292129212921292,1.36704870907638,0.394479811862427,2.20760388517814,0.597984762988314,25828,18
VIX_placebo,1,-0.0726462156773619,0.137363025611011,0.603024692987721,,0.137696141305201,0.597788429920197,0.16607140414006,0.661792539657119,32688,20
VIX_placebo,2,-0.0629098992020268,0.195755389843908,0.751438470334143,,0.24394264008571,0.796493284187824,0.337833684647278,0.852275698049672,32280,20
VIX_placebo,3,0.0329247233738586,0.276016903933738,0.906301651342948,0.904390439043904,0.29153735021925,0.910082216394335,0.500426317810572,0.947542351497755,31886,20
VIX_placebo,4,0.0612206301847585,0.294544741786696,0.837559082434147,,0.378841552487266,0.871621199684249,0.491883533861634,0.90094977283124,31508,20
VIX_placebo,5,0.0788611172139101,0.346819575463894,0.822554218892243,,0.521087759723774,0.879707977911357,0.514310594117557,0.878135170804337,31042,20
VIX_placebo,6,0.032998278772035,0.396117859340325,0.934481080340854,0.929292929292929,0.639169265530929,0.958826045880444,0.580767441036747,0.954689853791146,30590,20
VIX_placebo,7,0.0516328516246672,0.408066056601434,0.900641329173623,,0.765038208966875,0.946191182664146,0.725996062678457,0.943302238008391,30160,20
VIX_placebo,8,-0.141549433217225,0.474891791800838,0.768887220259833,,0.850966201666399,0.867889652388582,0.726943571433621,0.845613251316756,29722,20
VIX_placebo,9,-0.67739772306279,0.469299733112029,0.166080465199436,,0.726699103236575,0.351255346392141,0.652745197936129,0.299378331736177,29274,19
VIX_placebo,10,-0.320978548614788,0.469719058125717,0.503092967625586,,0.746572147978068,0.66724189939927,0.627937084754445,0.609236540461435,28860,19
VIX_placebo,11,-0.299134590934281,0.464989802590395,0.528131639686509,,0.797294738095255,0.707521425677868,0.643556053694914,0.64206385168167,28456,19
VIX_placebo,12,-0.0981717015438086,0.480416672811985,0.840508798034851,0.841784178417842,0.83710600617624,0.906642045801068,0.677974646019726,0.884867649310658,28048,18
VIX_placebo,13,0.309062694068875,0.597078683186558,0.611390369194367,,0.868204914270505,0.721856311922443,0.509628229413289,0.544217727816074,27670,18
VIX_placebo,14,0.217347892567827,0.489702353485859,0.662758088412568,,1.1104107229919,0.844816425316966,0.602029671565643,0.718080596454817,27298,18
VIX_placebo,15,-0.366053431387555,0.440962476391911,0.417974445163989,,1.09148082997798,0.737343573040645,0.569024870213149,0.52002976140656,26922,18
VIX_placebo,16,-0.507219281840234,0.431191088364069,0.255676507679269,,1.06261651487129,0.633126789238824,0.570838123041524,0.37424396732804,26552,18
VIX_placebo,17,-0.314536369108636,0.364647781399684,0.400375882416051,,1.0838098632994,0.77165282752385,0.692648901329305,0.649752174291244,26192,18
VIX_placebo,18,-0.333539677989623,0.385370250120834,0.398811894572841,,1.10669277705739,0.763121568178179,0.83119221645581,0.688214991694563,25828,18
