fecha,Cred_Total,Cred_Total_FXadj,gap,tcn_yoy,fx_share
1997-01-01,14.1648780184237,11.450315086418,2.71456293200567,6.09430848915979,0.294677316017878
1997-02-01,14.5236969460457,11.9055660263665,2.61813091967915,5.40957962893289,0.293484780246974
1997-03-01,16.5172668560622,13.611843904702,2.90542295136027,5.75447507151712,0.299788577284791
1997-04-01,17.5425975160953,15.1467289226491,2.39586859344621,5.36328360698355,0.308560194222105
1997-05-01,18.6258247997289,15.6202133280834,3.00561147164547,5.75086593217351,0.318586524686195
1997-06-01,19.1082606625167,15.3606345049479,3.74762615756885,5.13339233784291,0.327246119864308
1997-07-01,10.7452298507533,6.39065318755507,4.35457666319821,5.29270442810501,0.327725904456883
1997-08-01,10.1603252550976,6.55054570287943,3.60977955221813,5.01105450350856,0.331167263693661
1997-09-01,13.5502504033348,8.67318308460534,4.87706731872941,5.14831443427539,0.348719034974837
1997-10-01,13.7162555039865,8.57080251869677,5.14545298528972,5.6335745407049,0.355851739726228
1997-11-01,14.2832397813428,9.23096669746135,5.05227308388143,6.25234617413246,0.354940402162765
1997-12-01,12.0040962498424,6.55063283619886,5.45346341364354,11.8658368370409,0.37989880832332
1998-01-01,16.7588381183926,9.00545987570451,7.75337824268807,18.5009068611328,0.38740158852845
1998-02-01,13.0596447931938,5.30286934427759,7.75677544891622,18.6118155348924,0.394015441578152
1998-03-01,12.655518434294,4.10962826465748,8.54589016963652,20.6147276753595,0.402688494795194
1998-04-01,14.2075895969842,3.75208496551467,10.4555046314695,27.8882774161708,0.40005481308634
1998-05-01,9.57606351666742,-0.64369211665618,10.2197556333236,25.0329618475289,0.414294401494845
1998-06-01,10.2216384333569,-0.626249981158389,10.8478884145153,28.1335861973264,0.429791674605703
1998-07-01,15.7158593622776,4.08776878167709,11.6280905806005,29.4009136033048,0.426723309127306
1998-08-01,8.06800970268631,-3.26039941281319,11.3284091154995,29.058612451141,0.433735540467419
1998-09-01,4.64967524635644,-5.91703354431791,10.5667087906744,28.5636082460118,0.436153857508662
1998-10-01,-10.2425380304273,-20.4801600997311,10.2376220693039,27.6683694651528,0.444126407722203
1998-11-01,-12.0083760612871,-22.2237882708648,10.2154122095777,26.955775087542,0.442159056828995
1998-12-01,-12.135742045303,-20.9104553513531,8.77471330605007,20.3470338983051,0.445692331527176
1999-01-01,-15.4005876392243,-22.3159412451511,6.9153536059268,13.0049643927739,0.453129233533104
1999-02-01,-13.2623589444735,-20.2064622059683,6.94410326149486,14.7613353815942,0.461495487127701
1999-03-01,-14.3209882577482,-20.4734063312315,6.15241807348329,12.5137989936902,0.465260276850104
1999-04-01,-11.2954820336601,-16.0599715230125,4.76448948935236,6.01279302172337,0.475089306886217
1999-05-01,-13.7825063352015,-18.435769341253,4.65326300605148,9.13012913012914,0.473766801012479
1999-06-01,-11.0150257037142,-17.8182653892615,6.80323968554728,16.8241809019104,0.485359401362562
1999-07-01,-11.2711289048366,-19.2016619172686,7.93053301243202,17.1173829423413,0.493736646412932
1999-08-01,-7.80980926431559,-15.9311182021362,8.12130893782064,17.3479918432485,0.491583095865958
1999-09-01,-5.52077752140759,-14.4398049912679,8.91902746986029,17.4815398317384,0.49753599482701
1999-10-01,6.17460027158565,-2.74012760577944,8.91472787736509,17.0758691871562,0.48568254548261
1999-11-01,5.34555470421816,-2.83553828882863,8.18109299304679,16.824948394051,0.476718439337751
1999-12-01,5.60651342095389,-3.12833931332321,8.7348527342771,17.2055390660484,0.47073380330564
2000-01-01,4.5531800550302,-3.87051222832199,8.42369228335219,18.0723102942518,0.469327940971097
2000-02-01,4.1784003972315,-5.96218302185377,10.1405834190853,20.3843300960825,0.471065142058142
2000-03-01,0.43677869106733,-8.5866503137121,9.02342900477943,20.3292504079483,0.462366631551229
2000-04-01,-6.77632686282553,-15.047977916961,8.2716510541355,19.9359883515283,0.466591176163879
2000-05-01,-0.675870437545012,-9.48800580603293,8.81213536848792,18.5810283916378,0.469555161915567
2000-06-01,-3.59070787994625,-8.8684205738068,5.27771269386055,8.13708797745483,0.46160993118933
2000-07-01,-2.07323068035062,-4.60134640016434,2.52811571981372,6.29759928121103,0.459198406776059
2000-08-01,-2.51385237417414,-4.2161752765033,1.70232290232916,5.60545434764213,0.452199783772592
2000-09-01,-7.0720301286054,-7.03468332723822,-0.0373468013671774,5.18288078770122,0.446803452508211
