variant,h,b_dxy_gradient,b_vix_gradient,diff,se_bank,p_bank,se_twoway,p_twoway,se_sector,p_sector,se_dk,p_dk,p_wcb_month,p_wcb_webb_sector,n
sym,12,1.08346635262441,0.242608851188069,0.840857501436338,0.477809111195204,0.0784385185450387,0.514828900802758,0.102411038146773,0.535224058306539,0.11617374980399,0.857114305829577,0.326576420803779,0.243724372437244,0.0783078307830783,26482
sym,18,1.17012527704914,-0.245660458097384,1.41578573514652,0.630862190992573,0.0248190460988324,0.648328832885407,0.0289808904042552,0.627671041657465,0.0240946013427184,0.963627312093857,0.141771659708143,0.088008800880088,0.0163016301630163,24434
mutual,12,1.08019382818245,0.190261048785947,0.889932779396508,0.500603772848933,0.0754500369313167,0.537725488350735,0.0979255933259225,0.562089088026771,0.113362374042558,0.897705918072961,0.321519046519504,0.243024302430243,0.0761076107610761,26482
mutual,18,1.19130597324065,-0.301112208029503,1.49241818127015,0.659941575725965,0.0237320331460747,0.671825634390794,0.0263213914739623,0.657345360317353,0.0231850513045574,1.00640235369644,0.138094610119494,0.0857085708570857,0.0174017401740174,24434
