outcome,param,h,b,se_bank,p_bank,p_wcb,se_dk,p_dk,n
deposits,shk_usd,1,0.0406096887013226,0.260384310641685,0.877709214487976,,0.342420648028258,0.905595505031209,3894
deposits,shk_usd,2,-0.304492398179915,0.407170902618002,0.463722174282056,,0.446360654662058,0.495133515327165,3862
deposits,shk_usd,3,-0.278044651185961,0.296620864494186,0.360329738491378,0.413541354135414,0.583381763882513,0.633640998180104,3830
deposits,shk_usd,4,-0.735379080495203,0.370294512526436,0.0616619588540079,,0.798412723690975,0.35702364212136,3798
deposits,shk_usd,5,-1.10034146442651,0.580255630651444,0.0732309783370235,,1.03673477967657,0.288529553525435,3758
deposits,shk_usd,6,-1.15345368442318,0.538316165583661,0.0452997584501439,0.0143014301430143,1.3164263319221,0.380920931559686,3718
deposits,shk_usd,7,-1.15126935703707,0.642831537788628,0.0892496535087593,,1.39421761487894,0.408948298590364,3678
deposits,shk_usd,8,-1.10277623836135,0.709539152169024,0.136632479438737,,1.17869011634497,0.349481898923862,3638
deposits,shk_usd,9,-0.946270209253452,0.727789001495606,0.209935815729776,,1.12720464638948,0.401197791955289,3596
deposits,shk_usd,10,-0.51472611705272,0.537384679272954,0.350835189320683,,1.20208374272634,0.66850923568546,3558
deposits,shk_usd,11,-0.731996912679897,0.734653578750312,0.332270541873691,,1.2677475502058,0.563669552726654,3520
deposits,shk_usd,12,-0.314134292638619,0.596401574556917,0.605196093990963,0.617061706170617,1.25155974946767,0.801818559708823,3480
deposits,shk_usd,13,-0.281609759396895,0.547810743279815,0.613824782977347,,1.18985340063921,0.81290814485258,3444
deposits,shk_usd,14,-0.418520394215605,0.70601526067524,0.561123788228422,,1.23997280457522,0.735722036588953,3408
deposits,shk_usd,15,-0.658423917240967,0.854346689203533,0.451478007810291,,1.06771390645212,0.537454400813567,3372
deposits,shk_usd,16,-1.00223874108388,0.875824905437297,0.268341208907459,,1.12385097969586,0.372505657287199,3336
deposits,shk_usd,17,-1.09822033851315,0.861887012742672,0.219734967726287,,1.13381863641043,0.332743215366919,3300
