group,h,b,p_bank,p_wcb,n
hedged,6,1.28120195200694,0.0565654750017391,0.0569056905690569,5736
hedged,12,2.45871925112322,0.0183532482577982,0.0152015201520152,5298
unhedged,6,0.323239172262059,0.663010065235486,0.658565856585659,13454
unhedged,12,0.82191060137453,0.416153085554086,0.419341934193419,12318
