horizon,fci_type,credit_measure,coef_pub,n_pub,coef_rep,n_rep,dcoef,dn
1,FCI_COMP,Real_MN,-0.702138746961919,345,-0.70213874696191,345,8.65973959207622e-15,0
1,FCI_COMP,Total,0.632230892281841,345,0.632230892281842,345,5.55111512312578e-16,0
1,FCI_COMP,USD,4.023240135817,345,4.023240135817,345,3.5527136788005e-15,0
1,FCI_ENDO,Real_MN,-0.915623507880159,345,-0.915623507880125,345,3.44169137633799e-14,0
1,FCI_ENDO,Total,0.237633325706772,345,0.237633325706807,345,3.46389583683049e-14,0
1,FCI_ENDO,USD,3.63209397581103,345,3.63209397581105,345,2.44249065417534e-14,0
1,FCI_EXO,Real_MN,0.00704067535085991,345,0.00704067535085707,345,2.84407913886398e-15,0
1,FCI_EXO,Total,0.78744565148926,345,0.787445651489267,345,6.55031584528842e-15,0
1,FCI_EXO,USD,2.19607451580316,345,2.19607451580316,345,1.33226762955019e-15,0
2,FCI_COMP,Real_MN,-0.758798009813809,344,-0.758798009813801,344,8.32667268468867e-15,0
2,FCI_COMP,Total,0.695913520987755,344,0.695913520987763,344,7.54951656745106e-15,0
2,FCI_COMP,USD,4.62657307745578,344,4.62657307745578,344,3.5527136788005e-15,0
2,FCI_ENDO,Real_MN,-1.31026931761785,344,-1.31026931761784,344,7.32747196252603e-15,0
2,FCI_ENDO,Total,0.406640257919873,344,0.406640257919877,344,3.83026943495679e-15,0
2,FCI_ENDO,USD,4.77131985635802,344,4.77131985635803,344,9.76996261670138e-15,0
2,FCI_EXO,Real_MN,-0.186013225792629,344,-0.186013225792625,344,4.32986979603811e-15,0
2,FCI_EXO,Total,0.151076335561363,344,0.151076335561366,344,3.24740234702858e-15,0
2,FCI_EXO,USD,1.27137321429621,344,1.2713732142962,344,5.32907051820075e-15,0
3,FCI_COMP,Real_MN,-1.96615607261101,343,-1.96615607261102,343,1.17683640610267e-14,0
3,FCI_COMP,Total,-0.245538929167265,343,-0.245538929167275,343,1.0325074129014e-14,0
3,FCI_COMP,USD,4.11265233944028,343,4.11265233944027,343,1.06581410364015e-14,0
3,FCI_ENDO,Real_MN,-2.93786510766442,343,-2.93786510766437,343,5.06261699229071e-14,0
3,FCI_ENDO,Total,-0.840231681657499,343,-0.84023168165746,343,3.85247389544929e-14,0
3,FCI_ENDO,USD,4.04895785397327,343,4.0489578539733,343,3.19744231092045e-14,0
3,FCI_EXO,Real_MN,-0.0709595612355069,343,-0.0709595612355088,343,1.90125692967058e-15,0
3,FCI_EXO,Total,0.208538161058384,343,0.208538161058381,343,2.80331313717852e-15,0
3,FCI_EXO,USD,1.32549344682517,343,1.32549344682516,343,6.66133814775094e-15,0
4,FCI_COMP,Real_MN,-3.9472148788644,342,-3.9472148788644,342,4.88498130835069e-15,0
4,FCI_COMP,Total,-2.48161857406135,342,-2.48161857406136,342,7.54951656745106e-15,0
4,FCI_COMP,USD,1.47824629693331,342,1.47824629693331,342,4.66293670342566e-15,0
4,FCI_ENDO,Real_MN,-4.88199266032154,342,-4.88199266032154,342,1.77635683940025e-15,0
4,FCI_ENDO,Total,-3.15268543483402,342,-3.152685434834,342,2.30926389122033e-14,0
4,FCI_ENDO,USD,1.19696238772161,342,1.19696238772163,342,2.30926389122033e-14,0
4,FCI_EXO,Real_MN,-0.796062208926446,342,-0.796062208926443,342,2.99760216648792e-15,0
4,FCI_EXO,Total,-0.0723224110872985,342,-0.0723224110872883,342,1.02140518265514e-14,0
4,FCI_EXO,USD,1.73548591643698,342,1.73548591643699,342,1.08801856413265e-14,0
5,FCI_COMP,Real_MN,-4.30932557829293,341,-4.30932557829292,341,6.21724893790088e-15,0
5,FCI_COMP,Total,-3.01555763461931,341,-3.01555763461932,341,9.32587340685131e-15,0
5,FCI_COMP,USD,0.973458510326795,341,0.973458510326784,341,1.04360964314765e-14,0
5,FCI_ENDO,Real_MN,-5.84920086652686,341,-5.84920086652683,341,2.8421709430404e-14,0
5,FCI_ENDO,Total,-4.00247754513901,341,-4.00247754513899,341,1.86517468137026e-14,0
5,FCI_ENDO,USD,0.212649517786553,341,0.212649517786568,341,1.49324996812084e-14,0
5,FCI_EXO,Real_MN,-0.462085855123415,341,-0.462085855123416,341,9.99200722162641e-16,0
5,FCI_EXO,Total,-0.123880420053521,341,-0.123880420053515,341,5.8564264548977e-15,0
5,FCI_EXO,USD,1.27582335841789,341,1.2758233584179,341,1.28785870856518e-14,0
6,FCI_COMP,Real_MN,-4.94096070032707,340,-4.94096070032705,340,1.68753899743024e-14,0
6,FCI_COMP,Total,-3.23940612126516,340,-3.23940612126517,340,4.88498130835069e-15,0
6,FCI_COMP,USD,0.912762749161843,340,0.912762749161843,340,2.22044604925031e-16,0
6,FCI_ENDO,Real_MN,-6.54887770273964,340,-6.54887770273964,340,2.66453525910038e-15,0
6,FCI_ENDO,Total,-4.41055175507,340,-4.41055175507,340,5.32907051820075e-15,0
6,FCI_ENDO,USD,-0.461851429086821,340,-0.461851429086802,340,1.88182802673964e-14,0
6,FCI_EXO,Real_MN,-0.177541664279469,340,-0.177541664279462,340,7.27196081129478e-15,0
6,FCI_EXO,Total,0.287160858369683,340,0.287160858369685,340,1.55431223447522e-15,0
6,FCI_EXO,USD,2.12117238993669,340,2.12117238993669,340,4.44089209850063e-16,0
7,FCI_COMP,Real_MN,-5.81670360179112,339,-5.81670360179112,339,2.66453525910038e-15,0
7,FCI_COMP,Total,-4.19826897028935,339,-4.19826897028935,339,4.44089209850063e-15,0
7,FCI_COMP,USD,-0.559670437468391,339,-0.5596704374684,339,8.65973959207622e-15,0
7,FCI_ENDO,Real_MN,-6.84866390736812,339,-6.84866390736812,339,1.77635683940025e-15,0
7,FCI_ENDO,Total,-4.81073590313019,339,-4.8107359031302,339,7.99360577730113e-15,0
7,FCI_ENDO,USD,-1.20982372310096,339,-1.20982372310097,339,1.22124532708767e-14,0
7,FCI_EXO,Real_MN,-1.10843305451107,339,-1.10843305451107,339,2.66453525910038e-15,0
7,FCI_EXO,Total,-0.74840037324704,339,-0.748400373247037,339,2.77555756156289e-15,0
7,FCI_EXO,USD,0.614468167082158,339,0.614468167082176,339,1.79856129989275e-14,0
8,FCI_COMP,Real_MN,-6.71066807007326,338,-6.71066807007327,338,8.88178419700125e-15,0
8,FCI_COMP,Total,-5.74198219306852,338,-5.74198219306852,338,1.77635683940025e-15,0
8,FCI_COMP,USD,-2.96122506967899,338,-2.96122506967897,338,2.30926389122033e-14,0
8,FCI_ENDO,Real_MN,-7.55691238173632,338,-7.5569123817363,338,1.86517468137026e-14,0
8,FCI_ENDO,Total,-5.94331823965064,338,-5.94331823965064,338,8.88178419700125e-16,0
8,FCI_ENDO,USD,-2.93649179748068,338,-2.9364917974807,338,1.73194791841524e-14,0
8,FCI_EXO,Real_MN,-1.57232476031577,338,-1.57232476031577,338,1.55431223447522e-15,0
8,FCI_EXO,Total,-1.68699162362472,338,-1.68699162362473,338,6.21724893790088e-15,0
8,FCI_EXO,USD,-0.911838038360749,338,-0.911838038360755,338,6.43929354282591e-15,0
9,FCI_COMP,Real_MN,-7.00024603175626,337,-7.00024603175626,337,4.44089209850063e-15,0
9,FCI_COMP,Total,-5.71522151462667,337,-5.71522151462664,337,3.01980662698043e-14,0
