level,spec,exposure,h,b,se_bank,p_bank,p_wcb,se_twoway,p_twoway,se_dk,p_dk,n
bank,single,fc_dep_share,1,0.0303664392462452,0.0875988263371785,0.732661327623133,,0.0837835702911101,0.717023948104698,0.0764299118864621,0.691138189551396,1742
bank,single,ext_fund_share,1,-0.0630399149762283,0.0593380612764099,0.301378075415355,,0.0627832202426736,0.315335915469316,0.0832491989959215,0.448903992338282,1742
bank,single,tier1,1,-0.0282006104603732,0.050132973356288,0.580341480847241,,0.0423484496404833,0.505463279526681,0.0780325244933838,0.717803742005811,1742
bank,single,size,1,0.0146284834429702,0.0864361484994786,0.867396423965712,,0.0771436203964814,0.849601731489773,0.0807274967065589,0.856204167485688,1742
bank,single,liquidity,1,-0.0284911796283222,0.127599996412246,0.825696689344023,,0.128163332118241,0.824077492060608,0.132069940773039,0.829199801120902,1742
bank,single,fc_dep_share,2,0.116466047824604,0.142049256699277,0.422440526775099,,0.153647405170601,0.448445860293442,0.133704273913581,0.383714847331321,1726
bank,single,ext_fund_share,2,-0.100294147985403,0.0710567235703757,0.174273904013625,,0.0867655667077417,0.247713437414318,0.126144401627944,0.426570393184681,1726
bank,single,tier1,2,-0.0368018716231827,0.0704902917805095,0.607645450999636,,0.0697359901823964,0.597685777255367,0.125602391963852,0.769519895304208,1726
bank,single,size,2,0.0412327662817173,0.113331177855548,0.720005417961157,,0.145088492686412,0.776264421767458,0.136177318127171,0.762051941221025,1726
bank,single,liquidity,2,-0.0768112136784753,0.129940107134916,0.56140205881681,,0.135482125280291,0.570750044273645,0.181257176093221,0.671734121599414,1726
bank,single,fc_dep_share,3,0.115536573239353,0.154810851719776,0.464616221833712,0.521521521521522,0.165095202186203,0.484041051429376,0.157856732979253,0.464224848553742,1710
bank,single,ext_fund_share,3,-0.0329768830639747,0.112817442736385,0.773222872168794,0.821821821821822,0.129226279640265,0.798578572997291,0.164413853808371,0.841032932473419,1710
bank,single,tier1,3,-0.0653300447692013,0.121312446260725,0.596466712631858,0.602602602602603,0.11969322239505,0.58519489991274,0.154604316854086,0.672614217171042,1710
bank,single,size,3,0.0891959235977814,0.135689505214846,0.518838579337361,0.514514514514515,0.154292163848628,0.563198253654153,0.145786078570483,0.540651931174948,1710
bank,single,liquidity,3,-0.203526136381242,0.141332869683938,0.166128591526317,0.516516516516517,0.14675798035044,0.165498248755793,0.193838963651098,0.293729439735811,1710
bank,single,fc_dep_share,4,0.244113590057001,0.175949127164777,0.181376382483221,,0.181680471947885,0.179064043298473,0.18814655176839,0.19447119585161,1694
bank,single,ext_fund_share,4,-0.0512750080110964,0.111052725691118,0.649526412393404,,0.129709929254579,0.692617670858143,0.183191067099509,0.7795549462031,1694
bank,single,tier1,4,0.133971583889365,0.0858825725569332,0.135276087791777,,0.0888322915869826,0.131518550802727,0.180297817977533,0.457447077091775,1694
bank,single,size,4,-0.154374721048663,0.15546645209294,0.333199307575103,,0.177178511538168,0.383593192772939,0.184293040696059,0.402222255968249,1694
bank,single,liquidity,4,0.0263422727865835,0.105776875285299,0.806005003065702,,0.117692686231123,0.822895411545137,0.226195095503513,0.907289415291155,1694
bank,single,fc_dep_share,5,0.303186476108842,0.14254709771281,0.0467477003570255,,0.155025873562665,0.0504986988613984,0.212286552688889,0.153235897982003,1674
bank,single,ext_fund_share,5,-0.0641490079589938,0.0970761491135096,0.516666436825171,,0.138519266086946,0.643288882516328,0.218279118682845,0.768845608390779,1674
bank,single,tier1,5,0.179247515346739,0.0994242831446494,0.0872959031204829,,0.0786685367173572,0.0226958555433643,0.226849054134896,0.429433131607592,1674
bank,single,size,5,-0.207780259359466,0.189479751779893,0.286528457637539,,0.186186136560125,0.264430110133703,0.207759887167992,0.317263056621821,1674
bank,single,liquidity,5,0.157452876210018,0.189882597094758,0.417280970562048,,0.201023455092758,0.433476653080306,0.309311732471151,0.610722301584599,1674
bank,single,fc_dep_share,6,0.26276335686099,0.204625981827553,0.21453996377729,0.274274274274274,0.223287308303927,0.239277394408351,0.260735236595256,0.313560825762896,1654
bank,single,ext_fund_share,6,-0.186928350688964,0.177369044524058,0.305149515801699,0.552552552552553,0.22370444959313,0.403377672973769,0.257448725692868,0.467789776755269,1654
bank,single,tier1,6,0.220313024331554,0.226815083554793,0.343586536524539,0.331331331331331,0.198889338450677,0.267984222393508,0.290134980080622,0.447645220128216,1654
