variant,param,h,b,se_bank,p_bank,p_wcb,n
baseline_purgedDXY,shk_usd,6,0.500531188086251,0.537545509781522,0.36346148262966,,30590
baseline_purgedDXY,shk_usd,12,1.74329584062587,0.876220599818695,0.0629748325228852,0.0600600600600601,28048
baseline_purgedDXY,shk_usd,18,1.4154498398273,1.03225965539186,0.188138601671035,,25828
covid_excluded,shk_usd,6,0.198442554053349,0.653307628895606,0.764619238948066,,25562
covid_excluded,shk_usd,12,0.895225523331493,0.936508823551212,0.352510907527904,0.385385385385385,23066
covid_excluded,shk_usd,18,0.721189519574525,1.0680257690508,0.508595150307501,,20922
covid_interaction,shk_usd,6,0.188005597763596,0.658974534997148,0.778500960028452,,30590
covid_interaction,shk_usd_cov,6,2.10438807449266,1.5154868079092,0.181023019005722,,30590
covid_interaction,shk_usd,12,0.964861728186788,0.958418770362963,0.328183470129555,0.354354354354354,28048
covid_interaction,shk_usd_cov,12,4.25797691935287,1.82683145576357,0.032332315296612,0.036036036036036,28048
covid_interaction,shk_usd,18,0.563790683983236,1.05847107217135,0.601172199254499,,25828
covid_interaction,shk_usd_cov,18,4.47374164096695,1.5078489874795,0.00864180720332701,,25828
raw_DXY,shkraw_usd,6,0.646036151645851,0.556094797084317,0.259728830508591,,30590
raw_DXY,shkraw_usd,12,1.50925678086022,0.699093116640706,0.0454453741194329,0.0600600600600601,28048
raw_DXY,shkraw_usd,18,1.0476211780103,0.918921744418275,0.270071838850495,,25828
FCI_shock,fci_usd,6,0.678691242997142,0.603124584830378,0.274480000922443,,30590
FCI_shock,fci_usd,12,1.03058156138228,0.680193258196236,0.148111463117182,0.137137137137137,28048
FCI_shock,fci_usd,18,0.326790659112099,0.936034006792094,0.731284192075191,,25828
VIX,vix_usd,6,-0.0428855849587199,0.395674463075743,0.914825921912892,,30590
VIX,vix_usd,12,-0.227650276639066,0.483056877821769,0.643439083714348,0.624624624624625,28048
VIX,vix_usd,18,-0.515853224131264,0.385933074911334,0.198955175680561,,25828
no_event_drop,shk_usd,6,0.509861315331615,0.535907591626645,0.353349354069852,,30934
no_event_drop,shk_usd,12,1.6541310288563,0.872810472887664,0.0752044170553703,0.0810810810810811,28392
no_event_drop,shk_usd,18,1.31877486305682,1.00285077858301,0.205964508976632,,26172
balanced_13banks,shk_usd,6,0.762977863313911,0.609741430815148,0.234664905028428,,24362
balanced_13banks,shk_usd,12,2.24600626267653,0.934852225193177,0.033364630127585,0.033033033033033,22726
balanced_13banks,shk_usd,18,1.8914433298909,1.15667720759707,0.127940125799425,,21106
proforma_mergers,shk_usd,6,0.660655109482672,0.548300756955956,0.245756688268927,,27232
proforma_mergers,shk_usd,12,2.1435127323426,0.841215916449236,0.0232021671305439,0.025025025025025,25094
proforma_mergers,shk_usd,18,1.77267244504787,0.998710624175546,0.0976403809317058,,23232
threshold_5bn,shk_usd,6,0.595965525463821,0.532040526569641,0.27660979756582,,27460
threshold_5bn,shk_usd,12,2.17679035066897,0.582138501069536,0.00163241484512323,0.003003003003003,25030
threshold_5bn,shk_usd,18,1.54057518047736,0.643778800645332,0.0285262627424888,,22968
threshold_10bn,shk_usd,6,0.612387391644683,0.452635419154234,0.191956732819371,,25186
threshold_10bn,shk_usd,12,2.43687516673145,0.544297770257119,0.000331605916830558,0.003003003003003,22912
threshold_10bn,shk_usd,18,1.8030561967893,0.580507343013584,0.00642142747792313,,20982
FCusd_PYGnominal,shk_usd,6,0.223207991938977,0.537173033469887,0.682413893963414,,30590
FCusd_PYGnominal,shk_usd,12,1.39423869255784,0.872372797869324,0.128414748007959,0.137137137137137,28048
FCusd_PYGnominal,shk_usd,18,1.2267381240919,1.02139855411302,0.24620379317559,,25828
UNADJUSTED_valuation_bias_demo,shk_usd,6,1.2197692749453,0.485708594045903,0.0212274304099383,,32212
UNADJUSTED_valuation_bias_demo,shk_usd,12,2.12743722857887,0.773884320608472,0.0127615596594463,0.022022022022022,29608
UNADJUSTED_valuation_bias_demo,shk_usd,18,1.59931807874161,0.929167582626656,0.103353757656162,,27168
asymmetric_pos,shk_pos_usd,6,2.15386146365463,0.75772012898921,0.0104104172476229,,30590
asymmetric_pos,shk_neg_usd,6,-0.815257703025061,0.99409728074211,0.422329583914879,,30590
asymmetric_pos,shk_pos_usd,12,4.14961269386649,1.19620949683365,0.00293496865691407,0.002002002002002,28048
asymmetric_pos,shk_neg_usd,12,-0.717816553354961,2.09336552527329,0.735876697687619,0.742742742742743,28048
asymmetric_pos,shk_pos_usd,18,4.82809481971748,1.46237096440103,0.00421594165061917,,25828
asymmetric_pos,shk_neg_usd,18,-2.02825037406334,2.23050889693028,0.375892429169139,,25828
cell_linear_trends,shk_usd,6,0.500617856730695,0.541456917909294,0.366781158754191,,30598
cell_linear_trends,shk_usd,12,1.74333290541272,0.880946710975553,0.0633306551566838,0.0730730730730731,28066
cell_linear_trends,shk_usd,18,1.41543318576194,1.03971548130599,0.19117052979569,,25828
winsor_2.5pct,shk_usd,6,0.404845485330285,0.487374828095896,0.416479131269461,,30590
winsor_2.5pct,shk_usd,12,1.72383975610921,0.807533596226641,0.0476403979227975,0.0670670670670671,28048
winsor_2.5pct,shk_usd,18,1.4428850123003,0.959749829023112,0.151086523759294,,25828
no_winsorizing,shk_usd,6,0.529211296899086,0.559557649513812,0.356140792774358,,30590
no_winsorizing,shk_usd,12,1.72219563121332,0.908231791438726,0.0750603486850982,0.0790790790790791,28048
no_winsorizing,shk_usd,18,1.35729752329841,1.03694515138241,0.207973639097976,,25828
