"","FCI_COMP_AVG","FCI_ENDO_AVG","FCI_exNPL_AVG","FCI_exCredit_AVG"
"FCI_COMP_AVG",1,0.960208604436804,0.938860580247757,0.974658348732344
"FCI_ENDO_AVG",0.960208604436804,1,0.876753952285525,0.915173140540398
"FCI_exNPL_AVG",0.938860580247757,0.876753952285525,1,0.921606711348614
"FCI_exCredit_AVG",0.974658348732344,0.915173140540398,0.921606711348614,1
