"horizon","response","shock","contribution"
12,"VIX","Selic_rate",0.00943567864906302
12,"VIX","d_ToT",0.041876778336126
12,"VIX","FCI_ENDO_AVG",0.0121994166387059
12,"VIX","Cred_Real_Total",0.000694851851956899
12,"VIX","IMAEP_yoy",0.0101727565369142
12,"VIX","IPC_yoy",0.0121773294741063
13,"VIX","VIX",0.819272352926829
13,"VIX","SP500",0.0331008829447017
13,"VIX","DXY",0.0278791502654743
13,"VIX","US_10Y",0.0173962016978849
13,"VIX","FFER",0.0106406868852533
13,"VIX","Selic_rate",0.0101690692711411
13,"VIX","d_ToT",0.0455020092123875
13,"VIX","FCI_ENDO_AVG",0.0130424232695943
13,"VIX","Cred_Real_Total",0.000798763731217719
13,"VIX","IMAEP_yoy",0.0101421282849485
13,"VIX","IPC_yoy",0.0120563315105673
14,"VIX","VIX",0.811747875876229
14,"VIX","SP500",0.0328260207962327
14,"VIX","DXY",0.0293011122655378
14,"VIX","US_10Y",0.018358817697744
14,"VIX","FFER",0.0113881137219239
14,"VIX","Selic_rate",0.0109521102454788
14,"VIX","d_ToT",0.0485325090439243
14,"VIX","FCI_ENDO_AVG",0.0138975536490799
14,"VIX","Cred_Real_Total",0.000899831400345169
14,"VIX","IMAEP_yoy",0.0101527768328611
14,"VIX","IPC_yoy",0.0119432784706434
15,"VIX","VIX",0.805479142389351
15,"VIX","SP500",0.0325987439904113
15,"VIX","DXY",0.0304039692047687
15,"VIX","US_10Y",0.0190855019783605
15,"VIX","FFER",0.0118563277400804
15,"VIX","Selic_rate",0.0117688950177571
15,"VIX","d_ToT",0.0509862445669721
15,"VIX","FCI_ENDO_AVG",0.0147399999363028
15,"VIX","Cred_Real_Total",0.000992128460606565
15,"VIX","IMAEP_yoy",0.0101866385494886
15,"VIX","IPC_yoy",0.0119024081659006
16,"VIX","VIX",0.800320160463474
16,"VIX","SP500",0.032414657184111
16,"VIX","DXY",0.0312291876777786
16,"VIX","US_10Y",0.0196139809417585
16,"VIX","FFER",0.0120955265354047
16,"VIX","Selic_rate",0.0125997529288718
16,"VIX","d_ToT",0.0529041117099251
16,"VIX","FCI_ENDO_AVG",0.0155518551167927
16,"VIX","Cred_Real_Total",0.0010712545265999
16,"VIX","IMAEP_yoy",0.0102284460097506
16,"VIX","IPC_yoy",0.0119710669055328
17,"VIX","VIX",0.796106416520836
17,"VIX","SP500",0.0322680495280404
17,"VIX","DXY",0.031820582539622
17,"VIX","US_10Y",0.019982096827098
17,"VIX","FFER",0.0121711082655743
17,"VIX","Selic_rate",0.0134232839498337
17,"VIX","d_ToT",0.0543427699791675
17,"VIX","FCI_ENDO_AVG",0.0163209609615297
17,"VIX","Cred_Real_Total",0.00113450379086982
17,"VIX","IMAEP_yoy",0.0102671657224348
17,"VIX","IPC_yoy",0.0121630619149935
18,"VIX","VIX",0.792670106719088
18,"VIX","SP500",0.0321528706682454
18,"VIX","DXY",0.0322213179016251
18,"VIX","US_10Y",0.0202251541672321
18,"VIX","FFER",0.0121535792848054
18,"VIX","Selic_rate",0.0142182761915122
18,"VIX","d_ToT",0.055368412981894
18,"VIX","FCI_ENDO_AVG",0.0170398025517385
18,"VIX","Cred_Real_Total",0.0011808929931645
18,"VIX","IMAEP_yoy",0.010296101266466
18,"VIX","IPC_yoy",0.0124734852742288
19,"VIX","VIX",0.789851459366025
19,"VIX","SP500",0.0320633089781958
19,"VIX","DXY",0.0324718286027687
19,"VIX","US_10Y",0.0203742888877403
19,"VIX","FFER",0.0121103521643819
19,"VIX","Selic_rate",0.0149653594918574
19,"VIX","d_ToT",0.056051442128949
19,"VIX","FCI_ENDO_AVG",0.0177045203263462
19,"VIX","Cred_Real_Total",0.00121107827143226
19,"VIX","IMAEP_yoy",0.0103123170282151
19,"VIX","IPC_yoy",0.0128840447540884
20,"VIX","VIX",0.787506481658614
20,"VIX","SP500",0.0319941051034332
20,"VIX","DXY",0.0326084688907345
20,"VIX","US_10Y",0.0204556486647176
