"horizon","variable","coef","se","p_value","ci_lower","ci_upper","n_obs"
1,"FCI_ENDO_exCredit_exTCN_AVG",-1.03337693041016,0.890685584340903,0.246858514849931,-2.49842434428668,0.43167048346637,323
1,"d_ToT",0.0243138716515921,0.0113740247516676,0.0333257866811356,0.00560526578577579,0.0430224775174085,323
1,"FCI_x_ToT",-0.0238597482470818,0.0124471091607475,0.0561708924446967,-0.0443334208951982,-0.00338607559896531,323
2,"FCI_ENDO_exCredit_exTCN_AVG",-1.22460384558734,1.03973700260275,0.239782044552373,-2.93481902539412,0.485611334219442,322
2,"d_ToT",0.0212974431685769,0.0159724873274459,0.183388265785895,-0.00497496054340891,0.0475698468805628,322
2,"FCI_x_ToT",-0.0450979703858574,0.0187982973981522,0.0170300929448343,-0.0760184180417205,-0.0141775227299943,322
3,"FCI_ENDO_exCredit_exTCN_AVG",-2.4935326323311,1.3499067495217,0.0656787120170551,-4.71393164532814,-0.273133619334067,321
3,"d_ToT",0.0182294825597906,0.0188505454551223,0.334276105096307,-0.0127769055020809,0.049235870621662,321
3,"FCI_x_ToT",-0.0640392755534202,0.0245594851221469,0.00956430039360657,-0.104436033732644,-0.0236425173741961,321
4,"FCI_ENDO_exCredit_exTCN_AVG",-4.2357413041366,1.4711902763372,0.0042679515595414,-6.65563396610558,-1.81584864216761,320
4,"d_ToT",0.0157845430598645,0.0232769882375568,0.49820770736507,-0.0225026954671876,0.0540717815869165,320
4,"FCI_x_ToT",-0.0856716904670668,0.0300995428097806,0.00472115460968869,-0.135181032627315,-0.0361623483068181,320
5,"FCI_ENDO_exCredit_exTCN_AVG",-4.66725601985023,1.66092542674088,0.005272774208059,-7.39923523212089,-1.93527680757958,319
5,"d_ToT",0.00481660383441071,0.0256315861999851,0.851066478948686,-0.037343603691154,0.0469768113599754,319
5,"FCI_x_ToT",-0.103721857407679,0.0358437404334841,0.00408047350073526,-0.162679563863202,-0.0447641509521556,319
6,"FCI_ENDO_exCredit_exTCN_AVG",-4.2456557272308,1.73156937928994,0.0147703683496019,-7.09383390107397,-1.39747755338763,318
6,"d_ToT",-0.00288469071167638,0.0291602261848166,0.921262386537179,-0.0508489945144973,0.0450796130911445,318
6,"FCI_x_ToT",-0.127264378668854,0.0426555270086265,0.00307953336140258,-0.19742647697852,-0.0571022803591881,318
7,"FCI_ENDO_exCredit_exTCN_AVG",-4.66978347390751,1.71758518889895,0.00692817036612141,-7.49495970146608,-1.84460724634895,317
7,"d_ToT",-0.0121970781852272,0.0315205109049826,0.699058877895181,-0.0640437048706513,0.0396495485001968,317
7,"FCI_x_ToT",-0.141482940920345,0.0471371483932562,0.00290907704888246,-0.219016650419142,-0.0639492314215478,317
8,"FCI_ENDO_exCredit_exTCN_AVG",-5.13821610639492,1.81337204263517,0.00491286418590185,-8.12094768773578,-2.15548452505407,316
