"shock","response","horizon","irf_val","lower","upper"
"VIX","FCI_ENDO_AVG",0,0.0127280709310027,-0.00165798351700755,0.0252051429648558
"VIX","FCI_ENDO_AVG",1,0.0248782602317014,0.00322167434874684,0.0401114563147173
"VIX","FCI_ENDO_AVG",2,0.026556610308159,0.0009850351652944,0.0445029442657042
"VIX","FCI_ENDO_AVG",3,0.0304591266021792,0.000990622671995787,0.0497407247134159
"VIX","FCI_ENDO_AVG",4,0.0338399948292899,0.00131040645305164,0.0547907634636262
"VIX","FCI_ENDO_AVG",5,0.0369696127797094,0.00261656200908817,0.059283352906309
"VIX","FCI_ENDO_AVG",6,0.0398224759219238,0.00362447642416567,0.0638349033762366
"VIX","FCI_ENDO_AVG",7,0.0423972261374175,0.00455622315773228,0.0671852424134579
"VIX","FCI_ENDO_AVG",8,0.0446629662803199,0.00430393853944034,0.0707747067699542
"VIX","FCI_ENDO_AVG",9,0.0466231539594564,0.00463697291718026,0.0740274922620804
"VIX","FCI_ENDO_AVG",10,0.0482952878739408,0.00446908606113779,0.0760169915899951
"VIX","FCI_ENDO_AVG",11,0.0497030512827996,0.00391861372290154,0.0776532979608207
"VIX","FCI_ENDO_AVG",12,0.0508705480455064,0.00305041302650045,0.0787216542425585
"VIX","FCI_ENDO_AVG",13,0.0518206515967213,0.00272573003036633,0.0787209929383875
"VIX","FCI_ENDO_AVG",14,0.0525742971518058,0.00240878656597187,0.0785320183991652
"VIX","FCI_ENDO_AVG",15,0.0531504209516007,0.00181106139247312,0.0777605569253352
"VIX","FCI_ENDO_AVG",16,0.0535660764731954,0.00109630787375529,0.0776865415391123
"VIX","FCI_ENDO_AVG",17,0.0538366164300652,0.000462589029298029,0.0774536915090388
"VIX","FCI_ENDO_AVG",18,0.0539758632095482,-0.000483772291366641,0.0765700054377379
"VIX","FCI_ENDO_AVG",19,0.0539962561220488,-0.000448625652091545,0.076526993377144
"VIX","FCI_ENDO_AVG",20,0.0539089756312968,-0.00153361259731229,0.0750784335324189
"VIX","FCI_ENDO_AVG",21,0.0537240518328054,-0.00234471028486574,0.0745696721810663
"VIX","FCI_ENDO_AVG",22,0.0534504634430848,-0.00270300043927395,0.0740034748911335
"VIX","FCI_ENDO_AVG",23,0.053096231898577,-0.00302950211653976,0.0736915860349729
"VIX","FCI_ENDO_AVG",24,0.052668513077481,-0.00473096864966006,0.0725941984390735
"VIX","Cred_Real_Total",0,0.23964942128752,-0.113256222830887,0.666341375134993
"VIX","Cred_Real_Total",1,0.231285073543939,-0.14604214544315,0.651386062781091
"VIX","Cred_Real_Total",2,0.252940114395158,-0.152305681882271,0.68288462521574
"VIX","Cred_Real_Total",3,0.284759824876468,-0.143006581263296,0.714566812807327
"VIX","Cred_Real_Total",4,0.295547473695558,-0.149038309152103,0.722554114697898
"VIX","Cred_Real_Total",5,0.294737831959583,-0.158799200213463,0.712230666950731
"VIX","Cred_Real_Total",6,0.287486738714182,-0.178796027351719,0.690303475885398
"VIX","Cred_Real_Total",7,0.277101691084842,-0.20945807832225,0.661977723311496
"VIX","Cred_Real_Total",8,0.264533112761775,-0.250672821738735,0.632732425557984
"VIX","Cred_Real_Total",9,0.250201881087935,-0.276424170176406,0.596159003430711
"VIX","Cred_Real_Total",10,0.234291064969399,-0.299257932733652,0.556484614038867
"VIX","Cred_Real_Total",11,0.216979766752409,-0.317992037882914,0.539045561450637
"VIX","Cred_Real_Total",12,0.198467854918071,-0.338314363415595,0.506420462772766
"VIX","Cred_Real_Total",13,0.178984008800435,-0.351215880426002,0.479548232307
"VIX","Cred_Real_Total",14,0.158769002587076,-0.368373718594485,0.472673875517389
"VIX","Cred_Real_Total",15,0.138061032639584,-0.394989811430535,0.446260882234494
"VIX","Cred_Real_Total",16,0.117083754207225,-0.412140137790704,0.428546026268731
"VIX","Cred_Real_Total",17,0.0960392601695686,-0.453396002958037,0.403675562501732
"VIX","Cred_Real_Total",18,0.075104791315189,-0.475629347032143,0.393422794415646
"VIX","Cred_Real_Total",19,0.0544322463470368,-0.487800562474768,0.365673117695646
"VIX","Cred_Real_Total",20,0.0341494391706081,-0.488282774658475,0.33878375531249
"VIX","Cred_Real_Total",21,0.0143623408252234,-0.488382378522935,0.324989130446707
"VIX","Cred_Real_Total",22,-0.00484225406084874,-0.507376284044859,0.311099828069387
"VIX","Cred_Real_Total",23,-0.0233939996279445,-0.514694424737163,0.292563506014203
"VIX","Cred_Real_Total",24,-0.0412364323719589,-0.520733019301871,0.267929044257434
"VIX","IMAEP_yoy",0,-0.0283990822576079,-0.361971529887519,0.305183595370623
"VIX","IMAEP_yoy",1,-0.51413497962448,-0.874113155814127,-0.106119075272196
"VIX","IMAEP_yoy",2,-0.645284625669479,-0.947101404329427,-0.268537228815461
"VIX","IMAEP_yoy",3,-0.619680861442332,-0.882308519311218,-0.184497778768043
"VIX","IMAEP_yoy",4,-0.556940730987375,-0.76882864670262,-0.129669489761467
"VIX","IMAEP_yoy",5,-0.475573645358917,-0.649642698220436,-0.0794039171573464
"VIX","IMAEP_yoy",6,-0.390093284305735,-0.53335548820051,-0.0192729909308144
"VIX","IMAEP_yoy",7,-0.310398859185519,-0.451236128449609,0.0200463386860859
"VIX","IMAEP_yoy",8,-0.241318969695643,-0.387128576185427,0.055803235641216
"VIX","IMAEP_yoy",9,-0.183861446181571,-0.322614874254218,0.084034110275691
"VIX","IMAEP_yoy",10,-0.137196420224347,-0.263689544230088,0.109374989400287
"VIX","IMAEP_yoy",11,-0.0998246714486721,-0.216220925145101,0.12274680290506
"VIX","IMAEP_yoy",12,-0.070138049527538,-0.188191757229646,0.132652210100164
"VIX","IMAEP_yoy",13,-0.0466629920496285,-0.163344141370517,0.134324077964995
"VIX","IMAEP_yoy",14,-0.0281444668324813,-0.143823469556838,0.143592316009874
"VIX","IMAEP_yoy",15,-0.0135549308114288,-0.126451877077666,0.144387727146577
"VIX","IMAEP_yoy",16,-0.00207119831205736,-0.113773466995842,0.14549229301778
"VIX","IMAEP_yoy",17,0.00695850176951452,-0.102221591486918,0.14203080871453
"VIX","IMAEP_yoy",18,0.0140473647579077,-0.0936609268093641,0.140923330060109
"VIX","IMAEP_yoy",19,0.0195988273556505,-0.0866229491875957,0.140165196814366
"VIX","IMAEP_yoy",20,0.0239303646469272,-0.08161933537585,0.133224464776521
"VIX","IMAEP_yoy",21,0.0272924853767346,-0.0795048086375558,0.133089034251155
"VIX","IMAEP_yoy",22,0.0298835965588883,-0.0743758649693602,0.130473463807265
"VIX","IMAEP_yoy",23,0.0318614982882245,-0.0701436080044967,0.128519187309642
"VIX","IMAEP_yoy",24,0.0333522136113311,-0.0665200772769281,0.129238777278298
"VIX","IPC_yoy",0,-0.00107693844658119,-0.134945724850605,0.150102002044341
"VIX","IPC_yoy",1,0.0554772444160845,-0.0913527647290885,0.242331541898854
"VIX","IPC_yoy",2,0.0132526670062785,-0.159915273895047,0.21865052262467
"VIX","IPC_yoy",3,-0.0511293952443312,-0.241745101154328,0.169761109881501
"VIX","IPC_yoy",4,-0.0951461839213139,-0.297574824203808,0.143473298795713
"VIX","IPC_yoy",5,-0.119089113709325,-0.318226293208408,0.132470023845913
"VIX","IPC_yoy",6,-0.129943343017634,-0.320502129894181,0.120670404007727
"VIX","IPC_yoy",7,-0.133127994320527,-0.301178658945577,0.109642471833361
"VIX","IPC_yoy",8,-0.131829938130308,-0.290232193749044,0.107641584992098
"VIX","IPC_yoy",9,-0.128020577789556,-0.263584238995567,0.0998332671897824
"VIX","IPC_yoy",10,-0.122887515887746,-0.251751886011756,0.0855508418869619
"VIX","IPC_yoy",11,-0.117145795918502,-0.230701413162454,0.0812835794651911
"VIX","IPC_yoy",12,-0.111217704943555,-0.210888766250511,0.0762888759676484
"VIX","IPC_yoy",13,-0.105351286146518,-0.195015376096548,0.0690066190355286
"VIX","IPC_yoy",14,-0.0996887199751317,-0.183175037574599,0.0634882917564927
"VIX","IPC_yoy",15,-0.0943076848533995,-0.170144736154293,0.0586598307263087
"VIX","IPC_yoy",16,-0.0892461581262552,-0.156940200271378,0.0572149945626405
"VIX","IPC_yoy",17,-0.0845178497756379,-0.150328190931883,0.054383047262386
"VIX","IPC_yoy",18,-0.0801218660623006,-0.137401561026456,0.052393935588737
"VIX","IPC_yoy",19,-0.0760488179888325,-0.129525806442088,0.0481128448386514
"VIX","IPC_yoy",20,-0.0722846486478279,-0.125688109421122,0.0485440395909275
"VIX","IPC_yoy",21,-0.0688129876464658,-0.120998798678593,0.0481590208511515
"VIX","IPC_yoy",22,-0.0656165477532655,-0.117229825459544,0.0509127179440842
"VIX","IPC_yoy",23,-0.0626779071180097,-0.115039200687076,0.0511042237038836
"VIX","IPC_yoy",24,-0.0599799073208391,-0.109738568930018,0.0519930371345258
"SP500","FCI_ENDO_AVG",0,-0.00722579770844588,-0.0247679311606231,0.0107098956278173
"SP500","FCI_ENDO_AVG",1,-0.0289357525781237,-0.0472274731375495,-0.00572151167408088
"SP500","FCI_ENDO_AVG",2,-0.0283544580795588,-0.0451257621268758,-0.00691186684158602
"SP500","FCI_ENDO_AVG",3,-0.0325927230754268,-0.0477059625978757,-0.00988119985006439
"SP500","FCI_ENDO_AVG",4,-0.0351439680374054,-0.0502754666134078,-0.0114924833927636
"SP500","FCI_ENDO_AVG",5,-0.0376070224125567,-0.0535070433540645,-0.0123942522678181
"SP500","FCI_ENDO_AVG",6,-0.0394483799938395,-0.0554416603856824,-0.0129211004434762
"SP500","FCI_ENDO_AVG",7,-0.0410106060501754,-0.0568354395170139,-0.0128154583174535
"SP500","FCI_ENDO_AVG",8,-0.0422747279912166,-0.0572009871727348,-0.0125351701826136
"SP500","FCI_ENDO_AVG",9,-0.0433157485023334,-0.0576827227091282,-0.0128696576715166
